查询,命中,国家,省份,城市,地区,区域编码,城市编码,经度,纬度,匹配级别,已查
武汉市第二中学,湖北省武汉市江岸区武汉市第二中学,中国,湖北省,武汉市,江岸区,420102,27,114.308393,30.606368,兴趣点,1
大连市第二十四中学,辽宁省大连市中山区第二十四中学,中国,辽宁省,大连市,中山区,210202,411,121.638942,38.909904,兴趣点,1
北京市第五中学,北京市东城区北京市第五中学,中国,北京市,北京市,东城区,110101,10,116.414397,39.937866,兴趣点,1
西安市铁一中学,陕西省西安市碑林区铁一中,中国,陕西省,西安市,碑林区,610103,29,108.973288,34.240467,兴趣点,1
复旦大学附属中学,上海市杨浦区复旦大学附属中学,中国,上海市,上海市,杨浦区,310110,21,121.505588,31.289988,兴趣点,1
北京市第八中学,北京市西城区北京市第八中学,中国,北京市,北京市,西城区,110102,10,116.35413,39.901124,兴趣点,1
北京市第二中学,北京市东城区北京市第二中学,中国,北京市,北京市,东城区,110101,10,116.423637,39.919716,兴趣点,1
首都师范大学附属中学,北京市通州区首都师范大学附属中学,中国,北京市,北京市,通州区,110112,10,116.650653,39.90463,兴趣点,1
天津市第一中学,天津市和平区天津市第一中学,中国,天津市,天津市,和平区,120101,22,117.194669,39.114863,兴趣点,1
天津市耀华中学,天津市和平区耀华中学,中国,天津市,天津市,和平区,120101,22,117.200698,39.118214,兴趣点,1
本溪市高级中学,辽宁省本溪市高级中学,中国,辽宁省,本溪市,平山区,210502,414,123.779888,41.292787,兴趣点,1
襄阳市第五中学,湖北省襄阳市襄城区襄阳市第五中学,中国,湖北省,襄阳市,襄城区,420602,710,112.148807,32.016753,兴趣点,1
天津市南开中学,天津市南开区南开中学,中国,天津市,天津市,南开区,120104,22,117.171223,39.129586,兴趣点,1
华南师范大学附属中学,广东省广州市天河区华南师范大学附属中学,中国,广东省,广州市,天河区,440106,20,113.344441,23.137653,兴趣点,1
安徽省安庆第一中学,安徽省安庆市大观区安庆第一中学,中国,安徽省,安庆市,大观区,340803,556,117.03815,30.507497,兴趣点,1
天津市杨村第一中学,天津市武清区杨村第一中学,中国,天津市,天津市,武清区,120114,22,117.002615,39.40547,兴趣点,1
衡水市第二中学,河北省衡水市桃城区衡水市第二中学,中国,河北省,衡水市,桃城区,131102,318,115.711345,37.742989,兴趣点,1
北京市第一七一中学,北京市东城区一七一中学,中国,北京市,北京市,东城区,110101,10,116.41195,39.962785,兴趣点,1
浙江省温州中学,浙江省温州市瓯海区温州中学,中国,浙江省,温州市,瓯海区,330304,577,120.687992,27.961084,兴趣点,1
北京市第八十中学,北京市朝阳区第八十中学,中国,北京市,北京市,朝阳区,110105,10,116.459783,39.926949,兴趣点,1
北京市第十二中学,北京市丰台区北京市第十二中学,中国,北京市,北京市,丰台区,110106,10,116.307849,39.862097,兴趣点,1
北京市第十三中学,北京市西城区北京市第十三中学,中国,北京市,北京市,西城区,110102,10,116.386896,39.948381,兴趣点,1
景山学校,北京市东城区景山学校,中国,北京市,北京市,东城区,110101,10,116.426851,39.94836,兴趣点,1
襄阳市第四中学,湖北省襄阳市襄城区襄阳市第四中学,中国,湖北省,襄阳市,襄城区,420602,710,112.158853,32.017588,兴趣点,1
南昌县莲塘第一中学,江西省南昌市南昌县莲塘第一中学,中国,江西省,南昌市,南昌县,360121,791,115.924267,28.562683,兴趣点,1
汇文中学,北京市东城区汇文中学,中国,北京市,北京市,东城区,110101,10,116.42166,39.882588,兴趣点,1
北京师范大学附属中学,北京市西城区北京师范大学附属中学,中国,北京市,北京市,西城区,110102,10,116.386302,39.880146,兴趣点,1
安阳市第一中学,河南省安阳市文峰区安阳市第一中学,中国,河南省,安阳市,文峰区,410502,372,114.362817,36.089627,兴趣点,1
交通大学附属中学,上海市宝山区交通大学附属中学,中国,上海市,上海市,宝山区,310113,21,121.488939,31.319022,兴趣点,1
哈尔滨市第三中学,黑龙江省哈尔滨市南岗区哈尔滨市第三中学,中国,黑龙江省,哈尔滨市,南岗区,230103,451,126.639487,45.76451,兴趣点,1
北京市一六一中学,北京市西城区一六一中学,中国,北京市,北京市,西城区,110102,10,116.389021,39.901206,兴趣点,1
乐成公立寄宿学校,浙江省温州市乐清市乐成公立寄宿学校,中国,浙江省,温州市,乐清市,330382,577,120.955262,28.109448,兴趣点,1
云南师范大学附属中学,云南省昆明市五华区云南师范大学附属中学,中国,云南省,昆明市,五华区,530102,871,102.665585,25.05748,兴趣点,1
辽宁省实验中学,辽宁省沈阳市皇姑区辽宁省实验中学,中国,辽宁省,沈阳市,皇姑区,210105,24,123.421603,41.834383,兴趣点,1
牛栏山一中,北京市朝阳区牛栏山一中,中国,北京市,北京市,朝阳区,110105,10,116.468466,39.998204,兴趣点,1
成都市第七中学,四川省成都市武侯区成都市第七中学,中国,四川省,成都市,武侯区,510107,28,104.074929,30.635495,兴趣点,1
福建省厦门双十中学,福建省厦门市海沧区厦门市双十中学,中国,福建省,厦门市,海沧区,350205,592,118.051974,24.494459,兴趣点,1
乌鲁木齐市第一中学,新疆维吾尔自治区乌鲁木齐市天山区乌鲁木齐市第一中学,中国,新疆维吾尔自治区,乌鲁木齐市,天山区,650102,991,87.622451,43.799081,兴趣点,1
福建省厦门第一中学,福建省厦门市思明区厦门第一中学,中国,福建省,厦门市,思明区,350203,592,118.096129,24.457284,兴趣点,1
北京市第十五中学,北京市西城区北京市第十五中学,中国,北京市,北京市,西城区,110102,10,116.371637,39.880608,兴趣点,1
延安中学,上海市长宁区延安中学,中国,上海市,上海市,长宁区,310105,21,121.435405,31.21543,兴趣点,1
贵阳市第一中学,贵州省贵阳市观山湖区贵阳市第一中学,中国,贵州省,贵阳市,观山湖区,520115,851,106.626939,26.622527,兴趣点,1
新疆生产建设兵团第二中学,新疆维吾尔自治区乌鲁木齐市天山区兵团第二中学,中国,新疆维吾尔自治区,乌鲁木齐市,天山区,650102,991,87.635971,43.802693,兴趣点,1
海南中学,海南省海口市琼山区海南中学,中国,海南省,海口市,琼山区,460107,898,110.344514,19.992953,兴趣点,1
曲靖第一中学,云南省曲靖市麒麟区曲靖第一中学,中国,云南省,曲靖市,麒麟区,530302,874,103.802749,25.490524,兴趣点,1
呼和浩特市第二中学,内蒙古自治区呼和浩特市赛罕区呼和浩特市第二中学,中国,内蒙古自治区,呼和浩特市,赛罕区,150105,471,111.752413,40.833286,兴趣点,1
汕头市金山中学,广东省汕头市濠江区金山中学,中国,广东省,汕头市,濠江区,440512,754,116.681024,23.33349,兴趣点,1
广州市执信中学,广东省广州市越秀区执信中学,中国,广东省,广州市,越秀区,440104,20,113.293467,23.132344,兴趣点,1
河南省实验中学,河南省郑州市金水区河南省实验中学,中国,河南省,郑州市,金水区,410105,371,113.666989,34.79181,兴趣点,1
邯郸县第一高级中学,河北省邯郸市邯山区第一高级中学,中国,河北省,邯郸市,邯山区,130402,310,114.568477,36.649277,区县,1
南阳市第一中学,河南省南阳市宛城区南阳市第一中学,中国,河南省,南阳市,宛城区,411302,377,112.580181,33.005109,兴趣点,1
河南省开封高级中学,河南省开封市禹王台区开封高中,中国,河南省,开封市,禹王台区,410205,378,114.36022,34.776466,兴趣点,1
成都市外国语学校,四川省成都市金牛区成都市实验外国语学校,中国,四川省,成都市,金牛区,510106,28,104.047892,30.684809,兴趣点,1
林州市第一中学,河南省安阳市林州市林州市第一中学,中国,河南省,安阳市,林州市,410581,372,113.815511,36.072151,兴趣点,1
河南师范大学附属中学,河南省新乡市牧野区河南师范大学附属中学,中国,河南省,新乡市,牧野区,410711,373,113.911416,35.321935,兴趣点,1
赤峰市第二中学,内蒙古自治区赤峰市松山区赤峰市第二中学,中国,内蒙古自治区,赤峰市,松山区,150404,476,118.879144,42.252744,兴趣点,1
天津市新华中学,天津市河西区新华中学,中国,天津市,天津市,河西区,120103,22,117.211401,39.110236,兴趣点,1
天津市第四中学,天津市河西区天津市第四中学,中国,天津市,天津市,河西区,120103,22,117.221442,39.09072,兴趣点,1
天津市第六十一中学,天津市和平区第六十一中学,中国,天津市,天津市,和平区,120101,22,117.212861,39.118182,兴趣点,1
天津市宝坻区第一中学,天津市宝坻区宝坻区第一中学,中国,天津市,天津市,宝坻区,120115,22,117.330245,39.732763,兴趣点,1
天津市静海区第一中学,天津市静海区静海区第一中学,中国,天津市,天津市,静海区,120118,22,116.969866,38.941715,兴趣点,1
昆明市第一中学,云南省昆明市五华区昆明市第一中学,中国,云南省,昆明市,五华区,530102,871,102.692682,25.047832,兴趣点,1
玉溪市第一中学,云南省玉溪市红塔区玉溪市第一中学,中国,云南省,玉溪市,红塔区,530402,877,102.539951,24.366839,兴趣点,1
昆明市第三中学,云南省昆明市呈贡区昆明市第三中学,中国,云南省,昆明市,呈贡区,530114,871,102.836491,24.884513,兴趣点,1
大理市下关第一中学,云南省大理白族自治州大理市下关一中,中国,云南省,大理白族自治州,大理市,532901,872,100.217939,25.603645,兴趣点,1
昭通市第一中学,云南省昭通市昭阳区昭通市第一中学,中国,云南省,昭通市,昭阳区,530602,870,103.726196,27.323125,兴趣点,1
云天化中学,云南省昭通市水富县云天化中学,中国,云南省,昭通市,水富市,530681,870,104.404559,28.632556,兴趣点,1
临沧市第一中学,云南省临沧市临翔区临沧市第一中学,中国,云南省,临沧市,临翔区,530902,883,100.106194,23.874742,兴趣点,1
长郡中学,湖南省长沙市天心区长郡中学,中国,湖南省,长沙市,天心区,430103,731,112.975043,28.185704,兴趣点,1
重庆市第十一中学校,重庆市南岸区重庆市第十一中学,中国,重庆市,重庆市,南岸区,500108,23,106.59528,29.58024,兴趣点,1
江苏省天一中学,江苏省无锡市锡山区天一中学,中国,江苏省,无锡市,锡山区,320205,510,120.364047,31.593233,兴趣点,1
江苏省常州高级中学,江苏省常州市天宁区常州高级中学,中国,江苏省,常州市,天宁区,320402,519,119.967167,31.777087,兴趣点,1
江苏省海门中学,江苏省南通市海门市镇海门中学,中国,江苏省,南通市,海门区,320614,513,121.177224,31.896741,兴趣点,1
无锡市大桥实验学校,江苏省无锡市新吴区无锡市大桥实验学校,中国,江苏省,无锡市,新吴区,320214,510,120.376831,31.472108,兴趣点,1
江苏省淮阴中学,江苏省淮安市淮阴区淮阴中学,中国,江苏省,淮安市,淮阴区,320804,517,118.99426,33.645837,兴趣点,1
西安市高新第一中学,陕西省西安市雁塔区高新第一中学,中国,陕西省,西安市,雁塔区,610113,29,108.881399,34.178121,兴趣点,1
江西师范大学附属中学,江西省南昌市青山湖区江西师范大学附属中学,中国,江西省,南昌市,青山湖区,360111,791,115.88147,28.713477,兴趣点,1
临川市第一中学,江西省抚州市抚州市临川区第一中学,中国,江西省,抚州市,南丰县,361023,794,116.324052,27.947829,兴趣点,1
南昌市第二中学,江西省南昌市青山湖区南昌市第二中学,中国,江西省,南昌市,青山湖区,360111,791,115.853044,28.700155,兴趣点,1
临川第二中学,江西省抚州市临川区临川第二中学,中国,江西省,抚州市,临川区,361002,794,116.302005,27.93125,兴趣点,1
重庆市育才中学,重庆市黔江区育才中学,中国,重庆市,重庆市,黔江区,500114,23,108.805158,29.524152,兴趣点,1
广东广雅中学,广东省广州市荔湾区广雅中学,中国,广东省,广州市,荔湾区,440103,20,113.24088,23.138599,兴趣点,1
江西省鹰潭市第一中学,江西省鹰潭市贵溪市鹰潭市第一中学,中国,江西省,鹰潭市,贵溪市,360681,701,117.208352,28.273822,兴趣点,1
新余市第一中学,江西省新余市渝水区新余市第一中学,中国,江西省,新余市,渝水区,360502,790,114.944652,27.814594,兴趣点,1
成都市石室中学,四川省成都市成华区石室中学,中国,四川省,成都市,成华区,510108,28,104.114385,30.653253,兴趣点,1
四川省绵阳中学,四川省绵阳市涪城区绵阳中学,中国,四川省,绵阳市,涪城区,510703,816,104.725718,31.46367,兴趣点,1
浙江省杭州高级中学,浙江省杭州市下城区杭州高级中学,中国,浙江省,杭州市,拱墅区,330105,571,120.171249,30.265673,兴趣点,1
合肥市第一中学,安徽省合肥市包河区合肥市第一中学,中国,安徽省,合肥市,包河区,340111,551,117.283382,31.736234,兴趣点,1
绵阳东辰国际学校,四川省绵阳市涪城区东辰国际学校,中国,四川省,绵阳市,涪城区,510703,816,104.71965,31.458618,兴趣点,1
成都实验外国语学校,四川省成都市金牛区成都实验外国语学校,中国,四川省,成都市,金牛区,510106,28,104.047892,30.684809,兴趣点,1
四川省南充高级中学,四川省南充市嘉陵区南充高级中学,中国,四川省,南充市,嘉陵区,511304,817,106.072235,30.759692,兴趣点,1
绵阳中学实验学校,四川省绵阳市涪城区绵阳中学实验学校,中国,四川省,绵阳市,涪城区,510703,816,104.681338,31.499734,兴趣点,1
固原市第一中学,宁夏回族自治区固原市原州区固原市第一中学,中国,宁夏回族自治区,固原市,原州区,640402,954,106.269511,36.036682,兴趣点,1
天津外国语大学附属滨海外国语学校,天津市南开区天津外国语大学附属滨海外国语学校,中国,天津市,天津市,南开区,120104,22,117.18007,39.13564,兴趣点,1
吴忠高级中学,宁夏回族自治区吴忠市利通区吴忠高级中学,中国,宁夏回族自治区,吴忠市,利通区,640302,953,106.215301,37.98361,兴趣点,1
湖南省长沙市第一中学,湖南省长沙市开福区长沙市第一中学,中国,湖南省,长沙市,开福区,430105,731,112.987942,28.201771,兴趣点,1
宁夏平罗中学,宁夏回族自治区石嘴山市平罗县平罗中学,中国,宁夏回族自治区,石嘴山市,平罗县,640221,952,106.523446,38.907131,兴趣点,1
中卫市第一中学,宁夏回族自治区中卫市沙坡头区中卫市第一中学,中国,宁夏回族自治区,中卫市,沙坡头区,640502,1953,105.207876,37.506816,兴趣点,1
石嘴山市第一中学,宁夏回族自治区石嘴山市惠农区石嘴山市第一中学,中国,宁夏回族自治区,石嘴山市,惠农区,640205,952,106.761353,39.216959,兴趣点,1
江苏省海安高级中学,江苏省南通市海安县海安高级中学,中国,江苏省,南通市,海安市,320685,513,120.462612,32.549155,兴趣点,1
武汉市汉铁高级中学,湖北省武汉市江岸区汉铁高级中学,中国,湖北省,武汉市,江岸区,420102,27,114.321762,30.657681,兴趣点,1
武汉市育才高级中学,湖北省武汉市江岸区育才高级中学,中国,湖北省,武汉市,江岸区,420102,27,114.299587,30.603757,兴趣点,1
武汉市第一中学,湖北省武汉市江汉区武汉市第一中学,中国,湖北省,武汉市,江汉区,420103,27,114.285283,30.579462,兴趣点,1
武汉市第十二中学,湖北省武汉市江汉区武汉市第十二中学,中国,湖北省,武汉市,江汉区,420103,27,114.260521,30.588372,兴趣点,1
湖北省荆州中学,湖北省荆州市荆州区荆州中学,中国,湖北省,荆州市,荆州区,421003,716,112.192141,30.348958,兴趣点,1
湖北省黄冈中学,湖北省黄冈市黄州区黄冈中学,中国,湖北省,黄冈市,黄州区,421102,713,114.930837,30.437813,兴趣点,1
襄阳市致远中学,湖北省襄阳市樊城区致远中学,中国,湖北省,襄阳市,樊城区,420606,710,112.149128,32.057053,兴趣点,1
湖北省天门中学,湖北省天门市湖北省天门中学,中国,湖北省,[],天门市,429006,,113.139527,30.649853,兴趣点,1
鞍山市第一中学,辽宁省鞍山市立山区鞍山市第一中学,中国,辽宁省,鞍山市,立山区,210304,412,123.084562,41.111583,兴趣点,1
盘锦市高级中学,辽宁省盘锦市双台子区盘锦市高级中学,中国,辽宁省,盘锦市,双台子区,211102,427,122.060347,41.164059,兴趣点,1
辽河油田第一高级中学,辽宁省盘锦市兴隆台区辽河油田第一高级中学,中国,辽宁省,盘锦市,兴隆台区,211103,427,122.075957,41.144999,兴趣点,1
阜新市实验中学,辽宁省阜新市海州区阜新市实验中学,中国,辽宁省,阜新市,海州区,210902,418,121.643018,42.012505,兴趣点,1
丹东市第二中学,辽宁省丹东市振兴区丹东市第二中学,中国,辽宁省,丹东市,振兴区,210603,415,124.351703,40.096172,兴趣点,1
抚顺市第二中学,辽宁省抚顺市顺城区抚顺市第二中学,中国,辽宁省,抚顺市,顺城区,210411,413,123.961262,41.88642,兴趣点,1
锦州市锦州中学,辽宁省锦州市凌河区锦州中学,中国,辽宁省,锦州市,凌河区,210703,416,121.193591,41.116571,兴趣点,1
乌鲁木齐八一中学,新疆维吾尔自治区乌鲁木齐市天山区八一中学,中国,新疆维吾尔自治区,乌鲁木齐市,天山区,650102,991,87.628048,43.806651,兴趣点,1
新疆兵团农二师华山中学,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市华山中学,中国,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,652801,996,86.135991,41.756656,兴趣点,1
乌鲁木齐市第八中学,新疆维吾尔自治区乌鲁木齐市水磨沟区乌鲁木齐市第八中学,中国,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,650105,991,87.64526,43.832957,兴趣点,1
乌鲁木齐市第七十中学,新疆维吾尔自治区乌鲁木齐市新市区乌鲁木齐市第七十中学,中国,新疆维吾尔自治区,乌鲁木齐市,新市区,650104,991,87.562601,43.864632,兴趣点,1
新疆师范大学附属中学,新疆维吾尔自治区乌鲁木齐市新市区新疆师范大学附属中学,中国,新疆维吾尔自治区,乌鲁木齐市,新市区,650104,991,87.591442,43.837273,兴趣点,1
新疆实验中学,新疆维吾尔自治区乌鲁木齐市天山区新疆实验中学,中国,新疆维吾尔自治区,乌鲁木齐市,天山区,650102,991,87.618646,43.775014,兴趣点,1
石河子市第一中学,新疆维吾尔自治区石河子市石河子市第一小学,中国,新疆维吾尔自治区,[],石河子市,659001,,86.034405,44.307033,兴趣点,1
东营市胜利第一中学,山东省东营市东营区胜利第一中学,中国,山东省,东营市,东营区,370502,546,118.592178,37.478548,兴趣点,1
唐山市第一中学,河北省唐山市路南区唐山市第二中学,中国,河北省,唐山市,路南区,130202,315,118.141003,39.619184,兴趣点,1
东营市第一中学,山东省东营市东营区东营市第一中学,中国,山东省,东营市,东营区,370502,546,118.658129,37.495135,兴趣点,1
慈溪中学,浙江省宁波市慈溪市慈溪中学,中国,浙江省,宁波市,慈溪市,330282,574,121.289252,30.187986,兴趣点,1
乐青市知临中学,浙江省温州市乐清市知临中学,中国,浙江省,温州市,乐清市,330382,577,120.956058,28.110632,兴趣点,1
浙江省杭州市第二中学,浙江省杭州市上城区杭州市第二中学,中国,浙江省,杭州市,上城区,330102,571,120.180828,30.249917,兴趣点,1
浙江省诸暨中学,浙江省绍兴市诸暨市诸暨中学,中国,浙江省,绍兴市,诸暨市,330681,575,120.238854,29.719484,兴趣点,1
绍兴市第一中学,浙江省绍兴市越城区绍兴市第一中学,中国,浙江省,绍兴市,越城区,330602,575,120.553478,30.006876,兴趣点,1
吉林省实验中学,吉林省长春市朝阳区吉林省实验中学,中国,吉林省,长春市,朝阳区,220104,431,125.32525,43.85075,兴趣点,1
长春外国语学校,吉林省长春市朝阳区长春外国语学校,中国,吉林省,长春市,朝阳区,220104,431,125.28544,43.859289,兴趣点,1
吉林市第一中学,吉林省吉林市船营区吉林市第一中学,中国,吉林省,吉林市,船营区,220204,432,126.525998,43.812148,兴趣点,1
辽源市第五中学,吉林省辽源市龙山区辽源市第五中学,中国,吉林省,辽源市,龙山区,220402,437,125.16011,42.901838,兴趣点,1
通化市第一中学,吉林省通化市东昌区通化市第一中学,中国,吉林省,通化市,东昌区,220502,435,125.925715,41.721436,兴趣点,1
长白市第二中学,吉林省白山市临江市白山市第二中学,中国,吉林省,白山市,临江市,220681,439,126.436907,41.953687,兴趣点,1
吉林油田高级中学,吉林省松原市宁江区油田高级中学,中国,吉林省,松原市,宁江区,220702,438,124.816149,45.132465,兴趣点,1
东北师范大学长白山实验中学,吉林省长春市南关区东北师范大学长白山实验中学,中国,吉林省,长春市,南关区,220102,431,126.436907,41.953687,兴趣点,1
河北正定中学,河北省石家庄市正定县正定中学,中国,河北省,石家庄市,正定县,130123,311,114.569506,38.154892,兴趣点,1
河北武邑中学,河北省衡水市武邑县宏达武邑中学,中国,河北省,衡水市,武邑县,131122,318,115.880828,37.796882,兴趣点,1
河北冀州中学,河北省衡水市冀州区冀州中学,中国,河北省,衡水市,冀州区,131103,318,115.605955,37.557967,兴趣点,1
邯郸市第一中学,河北省邯郸市邯山区邯郸市第一中学,中国,河北省,邯郸市,邯山区,130402,310,114.489942,36.539524,兴趣点,1
南宁市第二中学,广西壮族自治区南宁市青秀区南宁市第二中学,中国,广西壮族自治区,南宁市,青秀区,450103,771,108.32723,22.811709,兴趣点,1
南宁市武鸣区武鸣高级中学,广西壮族自治区南宁市武鸣区武鸣高级中学,中国,广西壮族自治区,南宁市,武鸣区,450110,771,108.272013,23.146598,兴趣点,1
柳州市第一中学,广西壮族自治区柳州市鱼峰区柳州市第一中学,中国,广西壮族自治区,柳州市,鱼峰区,450203,772,109.411688,24.295566,兴趣点,1
桂林市桂林中学,广西壮族自治区桂林市秀峰区桂林中学,中国,广西壮族自治区,桂林市,秀峰区,450302,773,110.29224,25.280311,兴趣点,1
桂林市第十八中学,广西壮族自治区柳州市柳南区第十八中学,中国,广西壮族自治区,柳州市,柳南区,450204,772,109.406698,24.296285,兴趣点,1
福州高级中学,福建省福州市仓山区福州高级中学,中国,福建省,福州市,仓山区,350104,591,119.312959,26.043256,兴趣点,1
北海市北海中学,广西壮族自治区北海市银海区北海中学,中国,广西壮族自治区,北海市,银海区,450503,779,109.194743,21.429446,兴趣点,1
河池高级中学,广西壮族自治区河池市金城江区河池高级中学,中国,广西壮族自治区,河池市,金城江区,451202,778,108.037172,24.686088,兴趣点,1
甘肃省兰州第一中学,甘肃省兰州市城关区兰州第一中学,中国,甘肃省,兰州市,城关区,620102,931,103.834648,36.050968,兴趣点,1
兰州大学附属中学,甘肃省兰州市城关区兰州大学附属中学,中国,甘肃省,兰州市,城关区,620102,931,103.853294,36.046038,兴趣点,1
天水市第一中学,甘肃省天水市秦州区天水市第一中学,中国,甘肃省,天水市,秦州区,620502,938,105.72766,34.585334,兴趣点,1
定西市第一中学,甘肃省定西市安定区定西市第一中学,中国,甘肃省,定西市,安定区,621102,932,104.617499,35.568815,兴趣点,1
甘肃省庆阳第一中学,甘肃省庆阳市西峰区庆阳第一中学,中国,甘肃省,庆阳市,西峰区,621002,934,107.638277,35.729248,兴趣点,1
金川公司总校第一高级中学,甘肃省金昌市金川区第一高级中学,中国,甘肃省,金昌市,金川区,620302,935,102.181839,38.501244,兴趣点,1
兰化公司第一中学,甘肃省兰州市西固区兰化公司第一中学,中国,甘肃省,兰州市,西固区,620104,931,103.619948,36.103367,兴趣点,1
静宁县第一中学,甘肃省平凉市静宁县静宁县第一中学,中国,甘肃省,平凉市,静宁县,620826,933,105.734744,35.521638,兴趣点,1
兴义市第八中学,贵州省黔西南布依族苗族自治州兴义市兴义市第八中学,中国,贵州省,黔西南布依族苗族自治州,兴义市,522301,859,104.896265,25.070601,兴趣点,1
遵义市第四中学,贵州省遵义市红花岗区遵义市第四中学,中国,贵州省,遵义市,红花岗区,520302,852,106.919961,27.691894,兴趣点,1
遵义市南白中学,贵州省遵义市播州区南白中学,中国,贵州省,遵义市,播州区,520304,852,106.83448,27.53765,兴趣点,1
贵阳市第三实验中学,贵州省贵阳市云岩区第三实验中学,中国,贵州省,贵阳市,云岩区,520103,851,106.733516,26.58924,兴趣点,1
贵阳市清华中学,贵州省贵阳市花溪区贵阳市清华中学,中国,贵州省,贵阳市,花溪区,520111,851,106.679613,26.434152,兴趣点,1
贵州师范大学附属中学,贵州省贵阳市云岩区贵州师范大学附属中学,中国,贵州省,贵阳市,云岩区,520103,851,106.720487,26.585708,兴趣点,1
遵义航天高级中学,贵州省遵义市汇川区航天高级中学,中国,贵州省,遵义市,汇川区,520303,852,106.932512,27.711703,兴趣点,1
贵州省思南中学,贵州省铜仁市思南县贵州省思南中学,中国,贵州省,铜仁市,思南县,520624,856,108.254183,27.941278,兴趣点,1
太原市第五中学,山西省太原市迎泽区太原市第五中学,中国,山西省,太原市,迎泽区,140106,351,112.565996,37.84917,兴趣点,1
晋城市第一中学,山西省晋城市城区晋城市第一中学,中国,山西省,晋城市,城区,140502,356,112.850835,35.507838,兴趣点,1
长治市第二中学,山西省长治市城区长治市第二中学,中国,山西省,长治市,潞州区,140403,355,113.107452,36.19044,兴趣点,1
临汾市第一中学,山西省临汾市尧都区临汾市第一中学,中国,山西省,临汾市,尧都区,141002,357,111.510263,36.087544,兴趣点,1
大同市第一中学,山西省大同市城区大同市第一中学,中国,山西省,大同市,平城区,140213,352,113.313451,40.067699,兴趣点,1
怀仁县第一中学,山西省朔州市朔城区朔州市第一中学,中国,山西省,朔州市,朔城区,140602,349,112.419994,39.331177,兴趣点,1
大庆市实验中学,黑龙江省大庆市龙凤区大庆市实验中学,中国,黑龙江省,大庆市,龙凤区,230603,459,125.180398,46.628083,兴趣点,1
牡丹江市第一高级中学,黑龙江省牡丹江市东安区牡丹江市第一高级中学,中国,黑龙江省,牡丹江市,东安区,231002,453,129.645994,44.548888,兴趣点,1
哈尔滨师范大学附属中学,黑龙江省哈尔滨市南岗区哈尔滨师范大学附属中学,中国,黑龙江省,哈尔滨市,南岗区,230103,451,126.613151,45.719172,兴趣点,1
大庆铁人中学,黑龙江省大庆市让胡路区铁人中学,中国,黑龙江省,大庆市,让胡路区,230604,459,124.870862,46.541978,兴趣点,1
哈尔滨市第九中学,黑龙江省哈尔滨市松北区哈尔滨市第九中学,中国,黑龙江省,哈尔滨市,松北区,230109,451,126.51771,45.80968,兴趣点,1
哈尔滨市第六中学,黑龙江省哈尔滨市香坊区哈尔滨市第六中学,中国,黑龙江省,哈尔滨市,香坊区,230110,451,126.682006,45.729112,兴趣点,1
