序号,地区,学校名,位置,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
42,重庆,重庆巴蜀中学,重庆市 渝中区,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区
43,重庆,重庆第一中学,重庆市 沙坪坝区,市重点,公办,中学,重庆市沙坪坝区沙南街2号,023-65303495  65307121,重庆市,重庆市,沙坪坝区
44,重庆,重庆市第八中学,重庆市 沙坪坝区,市重点,公办,中学,重庆市沙坪坝区小龙坎正街96号,023-61703000,重庆市,重庆市,沙坪坝区
45,重庆,西南大学附属中学,重庆市 北碚区,市重点,公办,中学,重庆市北碚区杜家街43号,023-68356002,重庆市,重庆市,北碚区
46,重庆,重庆巴川中学,重庆市 铜梁区,市重点,民办,中学,重庆市铜梁县东城街道办事处塔山东街666号,023-45670333,重庆市,重庆市,铜梁区
47,重庆,重庆市育才中学校,重庆市 九龙坡区,市重点,公办,中学,重庆市九龙坡区谢家湾正街92号,023-68822468 023-86051188,重庆市,重庆市,九龙坡区
48,重庆,重庆外国语学校,重庆市 九龙坡区,市重点,公办,中学,重庆市高新区石桥铺红育坡1号（A区）重庆市九龙园区华龙大道10号（B区）,023-68612896,重庆市,重庆市,九龙坡区
49,重庆,重庆求精中学,重庆市 渝中区,市重点,公办,中学,重庆市渝中区中山四路69号,023-63866652,重庆市,重庆市,渝中区
50,重庆,重庆市第十一中学校,重庆市 南岸区,市重点,公办,中学,重庆市南岸区弹子石,023-62511889,重庆市,重庆市,南岸区
51,江苏,南京师范大学附属中学,江苏省 南京市 鼓楼区,省重点,公办,中学,南京市鼓楼区察哈尔路37号（校本部）,0527-82898588,江苏省,南京市,鼓楼区
52,江苏,南京外国语学校,江苏省 南京市 玄武区,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区
53,江苏,江苏省天一中学,江苏省 无锡市 锡山区,省重点,公办,中学,江苏省无锡锡山区东亭二泉中路18号,0510-88223001,江苏省,无锡市,锡山区
54,江苏,江苏省常州高级中学,江苏省 常州市,省重点,公办,中学,江苏省常州市罗汉路8号,0519-88111202,江苏省,常州市,
55,江苏,江苏省海门中学,江苏省 南通市 海门市,省重点,公办,中学,江苏省海门市海门镇育才路1号,0513-82212218,江苏省,南通市,海门市
56,江苏,无锡市大桥实验学校,江苏省 无锡市 滨湖区,市重点,民办,中学,江苏省无锡市学前街38号/江苏无锡菱湖大道和具区路交界口,0510-82758311,江苏省,无锡市,滨湖区
57,江苏,南京市金陵中学,江苏省 南京市 鼓楼区,省重点,公办,中学,江苏省南京市鼓楼区中山路169号,025-84786227  025-84786296,江苏省,南京市,鼓楼区
58,江苏,苏州中学,江苏省 苏州市 沧浪区,省重点,公办,中学,江苏省苏州市人民路699号,0512-65194261  0512-65195262,江苏省,苏州市,沧浪区
59,江苏,江苏省淮阴中学,江苏省 淮安市 淮阴区,省重点,公办,中学,江苏省淮安市解放东路99号,0517-83518888,江苏省,淮安市,淮阴区
60,江苏,江苏省海安高级中学,江苏省 南通市 海安县,省重点,公办,中学,江苏海安市新华东路1号,0513-88826048,江苏省,南通市,海安县
61,江西,江西师范大学附属中学,江西省 南昌市 青山湖区,省重点,公办,中学,江西省南昌市青山湖区北京西路194号,0791-8507088,江西省,南昌市,青山湖区
62,江西,临川市第一中学,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州市临川区上顿渡镇建设路205号,0794-8441447   0794-8430071,江西省,抚州市,临川区
63,江西,南昌市第二中学,江西省 南昌市 南昌县,普通,公办,中学,南昌市苏圃路1号,,江西省,南昌市,南昌县
64,江西,临川第二中学,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州临川区上顿渡镇龙津路67号,0794-8441448,江西省,抚州市,临川区
65,江西,九江市第一中学,江西省 九江市 九江县,省重点,公办,中学,江西省九江市滨湖路1号,0792-8238623,江西省,九江市,九江县
66,江西,南昌县莲塘一中,江西省 南昌市 南昌县,省重点,公办,中学,江西省南昌县莲塘镇澄湖西路1566号,0791-5715981,江西省,南昌市,南昌县
67,江西,吉安市第一中学,江西省 吉安市 吉州区,省重点,公办,中学,江西省吉安市吉州区沿江路97-1号,0796---8263254,江西省,吉安市,吉州区
68,江西,江西省鹰潭市第一中学,江西省 鹰潭市,省重点,公办,中学,江西省鹰潭市胜利西路8号,0701-6221343  0701—6289277,江西省,鹰潭市,
69,江西,余江区第一中学,江西省 鹰潭市 余江县,省重点,私立,中学,江西省鹰潭市余江县白塔路,0701-5885968,江西省,鹰潭市,余江县
70,江西,新余市第一中学,江西省 新余市,普通,公办,中学,江西省新余市沿江路358号,0790-6660011/0790-6660039,江西省,新余市,
71,四川,成都市石室中学,四川省 成都市 青羊区,省重点,公办,中学,四川省成都市青羊区文庙前街93号,028-86119108 028-86139976,四川省,成都市,青羊区
72,四川,四川省绵阳中学,四川省 绵阳市 涪城区,省重点,公办,中学,四川省绵阳市剑门路西段26号,0816-2366440,四川省,绵阳市,涪城区
73,四川,成都市第七中学,四川省 成都市 高新区,省重点,公办,中学,四川省高新区剑南大道中段盛安街（高新校区）/林荫中街1号（林荫校区）,028-85483869  028-69152577,四川省,成都市,高新区
74,四川,成都市树德中学,四川省 成都市 青羊区,省重点,公办,中学,成都市宁夏街树德里４号,028-86697520,四川省,成都市,青羊区
75,四川,成都市外国语学校,四川省 成都市 高新区,省重点,民办,中学,成都市高新西区百草路东段35号,028-87820768、87822188,四川省,成都市,高新区
76,四川,四川省绵阳南山中学,四川省 绵阳市,省重点,公办,中学,四川省绵阳市南塔路3号,0816-2862314,四川省,绵阳市,
77,四川,绵阳东辰国际学校,四川省 绵阳市 ,市重点,民办,中学,四川省绵阳市科创园区,0816-2324410,四川省,绵阳市,
78,四川,成都实验外国语学校,四川省 成都市 温江区,市重点,民办,中学,成都市羊犀线高新西区百草路,028-87855781  028-87857591,四川省,成都市,温江区
79,四川,四川省南充高级中学,四川省 南充市,省重点,公办,中学,四川省南充市涪江路27号,0817-2224270,四川省,南充市,
80,四川,绵阳中学实验学校,四川省 绵阳市 涪城区,市重点,公办,中学,四川省绵阳市园艺山教育园区,0816-8119666 / 8119777,四川省,绵阳市,涪城区
81,宁夏,银川市第一中学,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区
82,宁夏,银川市第二中学,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏回族自治区银川市兴庆区中山北街英才巷151号,18209510188,宁夏,银川市,兴庆区
83,宁夏,六盘山高级中学,宁夏 银川市 金凤区,省重点,公办,中学,宁夏银川市金凤区长城中路423号,0951-751861051,宁夏,银川市,金凤区
84,宁夏,固原市第一中学,宁夏 固原市,市重点,公办,中学,宁夏固原市文化街8号,0954-7285516,宁夏,固原市,
85,宁夏,石嘴山市第三中学,宁夏 石嘴山市 大武口区,市重点,公办,中学,宁夏石嘴山市大武口区台湾北路199号,0952-5815333,宁夏,石嘴山市,大武口区
86,宁夏,吴忠高级中学,宁夏 吴忠市,省重点,公办,中学,"宁夏吴忠市市区文卫街中段与朝阳街交 	      宁夏吴忠市利通区明珠西路439号 汇处","0953—2121561 	      0953-2039855",宁夏,吴忠市,
87,宁夏,银川唐徕回民中学,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏回族自治区银川市兴庆区,"0951-6085027,0951-5045303",宁夏,银川市,兴庆区
88,宁夏,宁夏平罗中学,宁夏 石嘴山市 平罗县,省重点,公办,中学,宁夏回族自治区石嘴山市平罗县团结西路185,0952-6093109,宁夏,石嘴山市,平罗县
89,宁夏,中卫市第一中学,宁夏 中卫市,市重点,公办,中学,宁夏中卫市沙坡头区中央大道,0955-7012582,宁夏,中卫市,
90,宁夏,石嘴山市第一中学,,,,,,,宁夏,石嘴山市,
91,上海,上海中学,上海市 闵行区,全国重点,公办,中学,上海市百色路989号（南大门：上中路400号）,021-64100430 64554819,上海市,上海市,闵行区
92,上海,华东师范大学第二附属中学,上海市 浦东新区,市重点,公办,中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,上海市,上海市,浦东新区
93,上海,复旦大学附属中学,上海市 杨浦区,市重点,公办,中学,上海市杨浦区国权路383号,021-65640560,上海市,上海市,杨浦区
94,上海,上海交通大学附属中学,上海市 嘉定区,区重点,公办,中学,上海市嘉定区洪德路1000号,021-59103686,上海市,上海市,嘉定区
95,上海,上海外国语大学附属外国语学校,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
96,上海,上海市七宝中学,上海市 闵行区,市重点,公办,中学,上海市徐汇区农南路22号,021-64592100,上海市,上海市,闵行区
97,上海,上海市建平中学,上海市 浦东新区,市重点,公办,中学,上海市浦东区东方路420号,021-58310316,上海市,上海市,浦东新区
98,上海,上海市南洋模范中学,上海市 徐汇区,市重点,公办,中学,上海市徐汇区天平路200号,021-62826734,上海市,上海市,徐汇区
99,上海,上海市延安中学,上海市 长宁区,市重点,公办,中学,上海市长宁区茅台路1111号,021-62901188,上海市,上海市,长宁区
100,上海,上海市控江中学,上海市 杨浦区,市重点,公办,中学,上海市杨浦区双阳路388号,021-65434038,上海市,上海市,杨浦区
101,湖北,武汉市第二中学,湖北省 武汉市 江岸区,省重点,公办,中学,武汉市中山大道1469号,027-83801823,湖北省,武汉市,江岸区
102,湖北,武汉市汉铁高级中学,湖北省 武汉市 江岸区,省重点,公办,中学,湖北省武汉市江岸区后湖大道341号,（027）82354585,湖北省,武汉市,江岸区
103,湖北,武汉市育才高级中学,湖北省 武汉市 江岸区,市重点,公办,中学,武汉市蔡家田小区阳电里44号,027-82624996,湖北省,武汉市,江岸区
104,湖北,武汉市第一中学,湖北省 武汉市 江汉区,省重点,公办,中学,武汉市江汉区红旗渠路特1号,027-85626682 65691217,湖北省,武汉市,江汉区
105,湖北,武汉市第十二中学,湖北省 武汉市 江汉区,市重点,公办,中学,武汉市江汉区航空小路15号,（027）83613972、83633082、83633180,湖北省,武汉市,江汉区
106,湖北,宜昌市一中,湖北省 宜昌市 西陵区,省重点,公办,中学,宜昌市西陵二路4号,0717-6774074,湖北省,宜昌市,西陵区
107,湖北,湖北省荆州中学,湖北省 荆州市 荆州区,省重点,公办,中学,湖北省荆州市荆州区人民路,（0716）8495766,湖北省,荆州市,荆州区
108,湖北,湖北省黄冈中学,湖北省 黄冈市 黄州区,全国重点,公办,中学,湖北黄冈开发区明珠大道,0713-8838888,湖北省,黄冈市,黄州区
109,湖北,襄阳市致远中学,湖北省 襄阳市 襄州区,市重点,公办,中学,襄阳市襄城区,0710-3230592 3230258,湖北省,襄阳市,襄州区
110,湖北,湖北省天门中学,湖北省 湖北直辖 天门市,省重点,公办,中学,湖北省天门市竟陵元春街52号,0728-5338111,湖北省,湖北直辖,天门市
111,辽宁,大连市第二十四中学,辽宁省 大连市 中山区,省重点,公办,中学,辽宁省大连市中山区解放路217号,0411-39912434 0411-82307507,辽宁省,大连市,中山区
112,辽宁,本溪市高级中学,辽宁省 本溪市 平山区,省重点,公办,中学,辽宁省本溪市平山区东明路91号,0414-3286000,辽宁省,本溪市,平山区
113,辽宁,大连市育明高级中学,辽宁省 大连市 沙河口区,省重点,公办,中学,辽宁省大连市沙河口区杨树街70号,0411-84759193  0411-84759866 0411-8475,辽宁省,大连市,沙河口区
114,辽宁,鞍山市第一中学,辽宁省 鞍山市,省重点,公办,中学,辽宁省鞍山市高新区鞍千路300号,0412-5227777,辽宁省,鞍山市,
115,辽宁,盘锦市高级中学,辽宁省 盘锦市 ,省重点,公办,中学,辽宁省盘锦市兴隆台区科技大街,0427-2216222,辽宁省,盘锦市,
116,辽宁,辽河油田第一高级中学,辽宁省 盘锦市 ,省重点,公办,中学,辽宁省盘锦市兴隆台区,0427-2884403   0427-2885424,辽宁省,盘锦市,
117,辽宁,阜新市实验中学,辽宁省 阜新市,省重点,公办,中学,辽宁省阜新市中华路95号,0418-6519437  0418-6519467,辽宁省,阜新市,
118,辽宁,丹东市第二中学,,,,,丹东市振兴区兴三路141号,0415-5123672,辽宁省,丹东,
119,辽宁,抚顺市第二中学,,,,,抚顺市新抚区公园五路14号,0413-2422008,辽宁省,抚顺,
120,辽宁,锦州市锦州中学,,,,,辽宁省锦州市凌海市南海路,,辽宁省,锦州,
121,新疆,乌鲁木齐市第一中学,新疆 乌鲁木齐市 天山区,省重点,公办,中学,新疆乌鲁木齐市健康路一巷9号,9912826965,新疆,乌鲁木齐市,天山区
122,新疆,新疆生产建设兵团第二中学,新疆 乌鲁木齐市,省重点,公办,中学,新疆乌鲁木齐市五星南路376号,0991-2633933  0991-2630704,新疆,乌鲁木齐市,
123,新疆,乌鲁木齐八一中学,新疆 乌鲁木齐市 天山区,省重点,公办,中学,乌鲁木齐市青年路15号,0991-8844839 8835514 8873444,新疆,乌鲁木齐市,天山区
124,新疆,新疆哈密地区第二中学,新疆 哈密地区 哈密市,省重点,公办,中学,新疆哈密地区哈密市爱国南路5号,0902-2258614,新疆,哈密地区,哈密市
125,新疆,新疆兵团农二师华山中学,,,,,,,新疆,,
126,新疆,乌鲁木齐市第八中学,新疆 乌鲁木齐市,省重点,公办,中学,乌鲁木齐市东风路125号,0991-2616907,新疆,乌鲁木齐市,
127,新疆,乌鲁木齐市第七十中学,新疆 乌鲁木齐市 新市区,省重点,公办,中学,新疆乌鲁木齐新市区南纬一路54号,（0991）3696357,新疆,乌鲁木齐市,新市区
128,新疆,新疆师范大学附属中学,新疆 乌鲁木齐市,市重点,公办,中学,乌鲁木齐市银川路107号,0991-4332282,新疆,乌鲁木齐市,
129,新疆,新疆实验中学,新疆 乌鲁木齐市,省重点,公办,中学,新疆乌鲁木齐延安路65号,0991-2879212,新疆,乌鲁木齐市,
130,新疆,石河子市第一中学,新疆,市重点,公办,中学,新疆维吾尔族自治区石河子市12小区北四路159号,0993-2037304,新疆,,
131,山东,山东省实验中学,山东省 济南市 市中区,省重点,公办,中学,山东省济南市市中区经七路73号,0531-86926496 18243000924,山东省,济南市,市中区
132,山东,山东省实验中学,山东省 济南市 市中区,省重点,公办,中学,山东省济南市市中区经七路73号,0531-86926496 18243000924,山东省,济南市,市中区
133,山东,东营市胜利第一中学,山东省 东营市 ,市重点,公办,中学,山东东营市济南路55、66号,0546-8232013,山东省,东营市,
134,山东,山东师范大学附属中学,山东省 济南市 历下区,省重点,公办,中学,山东省济南市历下区山师北街3号,0531-86187151,山东省,济南市,历下区
135,山东,济南市历城第二中学,山东省 济南市 历城区,省重点,公办,中学,山东省济南市历城区董家843号,0531－88722886,山东省,济南市,历城区
136,山东,山东省青岛第五十八中学,山东省 青岛市 李沧区,省重点,公办,中学,青岛市李沧区九水路20号,0532-87895410,山东省,青岛市,李沧区
137,山东,东营市第一中学,山东省 东营市 东营区,省重点,公办,中学,山东省东营市东营区新区新泰路17号,0546-8261775,山东省,东营市,东营区
138,山东,烟台第一中学,山东省 烟台市 芝罘区,省重点,公办,中学,山东省烟台市芝罘区二马路17号,5354218848,山东省,烟台市,芝罘区
139,山东,日照第一中学,山东省 日照市 东港区,省重点,公办,中学,山东省日照市东港区日照北路30号,0633-8222086,山东省,日照市,东港区
140,山东,淄博实验中学,山东省 淄博市 张店区,省重点,公办,中学,山东省淄博市张周路11号,0533-2865532,山东省,淄博市,张店区
141,浙江,宁波市镇海中学,浙江省 宁波市 镇海区,省重点,公办,中学,浙江省宁波市镇海区鼓楼东路32号,0574-86272378,浙江省,宁波市,镇海区
142,浙江,杭州第二中学,浙江省 杭州市 上城区,省重点,公办,中学,杭州市建国中路36号,0571-87072869,浙江省,杭州市,上城区
143,浙江,杭州学军中学,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市文三路188号,0571-88088529  0571-88052280,浙江省,杭州市,西湖区
144,浙江,杭州外国语学校,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市小和山高教园299号,0571-85289110,浙江省,杭州市,西湖区
145,浙江,慈溪中学,浙江省 宁波市 慈溪市,省重点,公办,中学,浙江省慈溪市浒山镇环城北路110号,0574-63023049,浙江省,宁波市,慈溪市
146,浙江,浙江省温州中学,浙江省 温州市 瓯海区,省重点,公办,中学,浙江省温州市瓯海区梧田大道2号,0577-86760802　,浙江省,温州市,瓯海区
147,浙江,乐青市知临中学,浙江省 温州市 乐清市,省重点,民办,中学,浙江省乐清市城南街道朋岙村,0577-27882222,浙江省,温州市,乐清市
148,浙江,杭州高级中学,浙江省 杭州市 下城区,省重点,公办,中学,浙江省杭州市下城区凤起路238号,0571-85155827 / 85155951 / 85179872,浙江省,杭州市,下城区
149,浙江,浙江省诸暨中学,浙江省 绍兴市 诸暨市,普通,公办,中学,诸暨市暨阳路47号,0575—87011543   邮编：311800地址：诸暨市暨阳路47号,浙江省,绍兴市,诸暨市
150,浙江,绍兴市第一中学,浙江省 绍兴市,省重点,公办,中学,浙江省绍兴市胜利西路1199号,0575-85173853,浙江省,绍兴市,
151,吉林,东北师范大学附属中学,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区
152,吉林,吉林省实验中学,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市人民大街6465号,0431-85376541,吉林省,长春市,朝阳区
153,吉林,长春外国语学校,吉林省 长春市,省重点,公办,中学,吉林省长春市红旗街1946号,0431-85936780,吉林省,长春市,
154,吉林,吉林市第一中学,吉林省 吉林市 船营区,省重点,公办,中学,吉林省吉林市船营区松江西路155号,0432-64826007,吉林省,吉林市,船营区
155,吉林,辽源市第五中学,,,,,,,吉林省,辽源市,
156,吉林,通化市第一中学,,,,,,,吉林省,通化市,
157,吉林,长白市第二中学,,,,,,,吉林省,长白市,
158,吉林,吉林油田高级中学,吉林省 松原市 宁江区,省重点,公办,中学,吉林省松原市锦江大街1608号,0438—622446,吉林省,松原市,宁江区
159,吉林,松原市实验高中,吉林省 松原市 宁江区,省重点,公办,中学,吉林省松原市宁江区长宁南街358号,0438—5082988,吉林省,松原市,宁江区
160,吉林,京北师范大学长白山实验中学,,,,,,,吉林省,,
161,河北,河北衡水中学,河北省 衡水市 桃城区,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区
162,河北,石家庄第二中学,河北省 石家庄市 新华区,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区
163,河北,唐山市第一中学,河北省 唐山市 路北区,省重点,公办,中学,河北省唐山市路南区友谊路2号,0315-2595128,河北省,唐山市,路北区
164,河北,河北正定中学,河北省 石家庄市 正定县,省重点,公办,中学,河北省正定县正定镇府西街80号,0311--8022837,河北省,石家庄市,正定县
165,河北,衡水市第二中学,河北省 衡水市,省重点,公办,中学,河北省衡水市问津北街98号/衡水市新华西路256号,0318-2135271 2817707,河北省,衡水市,
166,河北,石家庄第一中学,河北省 石家庄市 桥东区,省重点,公办,中学,河北省石家庄市平安北大街13号,0311--6034130,河北省,石家庄市,桥东区
167,河北,河北武邑中学,河北省 衡水市 武邑县,省重点,公办,中学,河北省衡水市武邑县城新区宏达路1号,0318--5738058,河北省,衡水市,武邑县
168,河北,河北翼州中学,,,,,,,河北省,,
169,河北,邯郸市第一中学,河北省 邯郸市 丛台区,省重点,公办,中学,河北省邯郸市丛台路21号,0310--3122208,河北省,邯郸市,丛台区
170,河北,石家庄外国语学校,河北省 石家庄市 鹿泉市,普通,民办,中学,河北省石家庄市鹿泉区山前大道66号,,河北省,石家庄市,鹿泉市
171,广西,南宁市第二中学,广西 南宁市 西乡塘区,省重点,公办,中学,广西南宁市新民路29号,0771--2804263,广西,南宁市,西乡塘区
172,广西,南宁市第三中学,广西 南宁市 青秀区,省重点,公办,中学,广西南宁市青秀区青山路5号,0771--5311268,广西,南宁市,青秀区
173,广西,南宁市武鸣区武鸣高级中学,广西 南宁市 武鸣县,市重点,公办,中学,广西南宁市武鸣县灵水路6号,0771-6226071,广西,南宁市,武鸣县
174,广西,柳州高级中学,广西 柳州市,市重点,公办,中学,东台路44号,0772-2822557,广西,柳州市,
175,广西,柳州市第一中学,广西 柳州市 柳南区,省重点,公办,中学,广西柳州市城站路391号,0772--3953677,广西,柳州市,柳南区
176,广西,桂林市桂林中学,广西 桂林市,省重点,公办,中学,解放西路58号,0773--2825101,广西,桂林市,
177,广西,桂林市第十八中学,广西 柳州市,省重点,公办,中学,广西桂林市横塘路17号,0773-5865365,广西,柳州市,
178,广西,福州高级中学,福建省 福州市 仓山区,省重点,公办,中学,福建省福州市乐群路18号,0591-3441216,福建省,福州市,仓山区
179,广西,北海市北海中学,上海市 普陀区,普通,公办,中学,上海市普陀区管弄路51号,021-62147566,上海市,上海市,普陀区
180,广西,河池高级中学,广西 河池市,普通,公办,中学,河池市教育路105号,,广西,河池市,
181,甘肃,西北师范大学附属中学,甘肃省 兰州市 安宁区,省重点,公办,中学,甘肃省兰州市安宁区十里店南街21号,（0931）7752517,甘肃省,兰州市,安宁区
182,甘肃,甘肃省兰州第一中学,甘肃省 兰州市 城关区,省重点,公办,中学,甘肃省兰州市城关小沟头150号,0931—8824122,甘肃省,兰州市,城关区
183,甘肃,兰州大学附属中学,甘肃省 兰州市 城关区,省重点,公办,中学,甘肃省兰州市城关区一只船南街2号,0931-8846809,甘肃省,兰州市,城关区
184,甘肃,天水市第一中学,甘肃省 天水市 秦城区,省重点,公办,中学,甘肃省天水市秦州区泰山东路8号,0938-8271002,甘肃省,天水市,秦城区
185,甘肃,兰炼一中,,,,,,,甘肃省,,
186,甘肃,定西市第一中学,,,,,,,甘肃省,定西市,
