学校名称,官网
北京化工大学附属中学,http://www.bjhdfz.com
北京化工大学附属中学,http://bjhdfz.com
北京北外附属外国语学校,http://www.bwfx.com.cn/Junior-High-School.aspx
北京北外附属外国语学校,http://www.bwfx.com.cn
北京北大附属实验学校,http://www.pkuschool.net.cn/newsite/index.asp
北京北大附属实验学校,http://www.pkuschool.net...
北京北达资源中学,http://bdzy.pku.edu.cn
北京北达资源中学,http://bdzy.pku.edu.cn
北京华夏女子中学,http://www.hxgs.net
北京华夏女子中学,http://www.hxgs.net
北京和平街第一中学,http://www.phs.bj.cn/ind...
北京和平街第一中学,http://www.phs.bj.cn
北京垂杨柳中学,http://www.chylzhx.org
北京垂杨柳中学,http://www.chylzhx.org
北京大学附属中学,http://www.pkuschool.edu.cn
北京大学附属中学,http://www.pkuschool.edu.cn
北京大杜社中学,http://www.bjtzddszx.com
北京大杜社中学,http://www.btdzx.com
北京太平路中学,http://www.hdtplzx.bjedu.cn/cms/jsp/index.jsp#
北京太平路中学,http://www.hdtplzx.bjedu...
北京宏志中学,http://www.bjhzzx.com
北京宏志中学,http://www.bjhzzx.com
北京崇文门中学,http://www.bjcwm.cn
北京崇文门中学,www.bjcwm.cn
北京工业大学附属中学,http://www.bjgdfz.com
北京工业大学附属中学,http://www.bjgdfz.com
北京师范大学第一附属中学,http://www.bjsdfz.com
北京师范大学第一附属中学,http://www.bjsdfz.com
北京师范大学第三附属中学,http://www.hd123z.bjedu....
北京师范大学第三附属中学,http://www.hd123z.bjedu.cn
北京师范大学第二附属中学 ,http://www.shsbnu.net
北京师范大学第二附属中学 ,http://www.shsbnu.net
北京徐悲鸿中学,http://www.bjxbh.net/show.asp?uver=cn
北京徐悲鸿中学,http://www.bjxbh.net/sho...
北京教育学院附属中学,http://www.bjjyfzh.org
北京教育学院附属中学,www.xjfyfzh.org
北京日坛中学,http://rtzx.bjchyedu.cn
北京日坛中学,http://rtzx.bjchyedu.cn/index.php
北京永乐店中学,http://www.yongzhong.net
北京永乐店中学,http://www.yongzhong.net
北京求实中学,http://www.qsces.org
北京求实中学,http://www.qsces.org
北京汇成中学,http://site.dcjy.net/school/huicheng
北京汇成中学,http://site.dcjy.net/sch...
北京汇才中学,http://www.huicai.org
北京汇才中学,http://www.huicai.org
北京温泉第二中学,http://www.wqez.bjedu.go...
北京温泉第二中学,http://www.wqez.bjedu.gov.cn/etcms/home
北京玉渊潭中学,http://www.hdyytzx.bjedu.cn
北京玉渊潭中学,http://www.hdyytzx.bjedu...
北京知春里中学,http://zhichunli.30edu.com
北京知春里中学,http://www.hdzclzx.bjedu...
北京私立新亚中学,http://www.xinyaschool.com
北京私立新亚中学,http://www.xinyaschool.com
北京私立正则中学,http://www.zhengze.org
北京私立正则中学,http://www.ezjy.cn/vipco...
北京私立汇才中学,http://www.huicai.org
北京私立汇才中学,http://www.huicai.org
北京科迪实验中学 ,http://www.bjkedi.com
北京科迪实验中学 ,http://www.bjkedi.com/cms
北京第一一九中学,http://www.bjd-119.com
北京第一一九中学,http://www.bjd-119.com
北京第一七一中学,http://www.171sch.com
北京第一七一中学,www.171sch.com
北京第一中学,www.bj1z.net
北京第一中学,http://www.bj1z.net
北京第一二五中学,www.bj125z.bj001.net
北京第一二五中学,www.bj125z.bj001.net
北京第一五六中学,j156.xchedu.cn
北京第一五六中学,http://bj156.xchedu.cn
北京第一五四中学,www.bj154zhx.org
北京第一五四中学,http://www.bj154zhx.org
北京第一六六中学,www.bj166z.cn
北京第一六六中学,www.bj166z.cn
北京第七中学,http://www.bj7zhx.org
北京第七中学,http://www.bj7zhx.org
北京第七十一中学,http://www.bj71zh.com
北京第七十一中学,www.bj41z.com
北京第三中学,http://www.bj3zhx.org
北京第三中学,www.bj3zhx.org
北京第三十九中学,www.bj39zhx.org
北京第三十九中学,http://www.bj39zhx.org
北京第三十五中学,www.bj35.com
北京第三十五中学,http://www.bj35.com
北京第九十四中学,http://www.bj94zhong.cn/bj94zhong
北京第九十四中学,http://www.bj94zhong.cn
北京第二一四中学,www.bj214zx.cn
北京第二一四中学,http://www.bj214zx.cn
北京第二中学,http://www.bjn2ms.net
北京第二中学,http://www.tjez.com.cn
北京第二十一中学,site.dcjy.net/school/21
北京第二十一中学,http://site.dcjy.net/sch...
北京第二十七中学,http://www.bj27zx.com
北京第二十七中学,www.bj27zx.com
北京第二十中学,http://www.bj20zx.com/in...
北京第二十中学,http://www.bj20zx.com
北京第二十二中学,http://www.bj22z.com
北京第二十二中学,www.bj22z.com
北京第五中学,http://www.bj5hs.cn
北京第五中学,http://mywz.miyunedu.net
北京第五十七中学,http://www.57class.net
北京第五十七中学,http://www.57class.net
北京第五十中学,http://www.bj50.com
北京第五十中学,http://www.bj50.com
北京第五十五中学,http://www.bj55.cn
北京第五十五中学,www.bj55.cn
北京第五十六中学,http://www.bj56zhx.org
北京第五十六中学,http://www.bj56zhx.org
北京第五十四中学,site.dcjy.net/school/54
北京第五十四中学,http://site.dcjy.net/school/54
北京第八十中学,www.bj80.com
北京第八十中学,http://www.bj80.com
北京第六十七中学,http://www.67zx.cn/Html/jian
北京第六十七中学,http://www.67zx.cn
北京第六十六中学,http://www.bj66zx.com
北京第六十六中学,http://www.bj66zx.com
北京第十七中学,http://www.bj17z.com
北京第十七中学,http://www.bj17z.com
北京第十三中学,http://www.bj13zhx.org
北京第十三中学,http://www.bj13zhx.com
北京第十中学,http://www.bj10z.com.cn
北京第十中学,http://www.bj10z.com.cn
北京第十五中学,http://www.bj15.cn/index.php/Home/Index/index
北京第十五中学,http://www.bj15.cn
北京第十八中学,http://www.bj18.net
北京第十八中学,http://www.bj18.net
北京第四十一中学,http://www.bj41z.com
北京第四十一中学,http://www.bj41z.com
北京第四十七中学,http://www.bj47.com
北京第四十七中学,www.bj47.com
北京第四十三中学,http://www.bj43zx.com
北京第四十三中学,http://www.bj43zx.com
北京第四十四中学,http://www.bj44zhx.org
北京第四十四中学,http://www.bj44zhx.org
北京红螺寺中学,http://www.hlszx.com
北京红螺寺中学,http://www.hlszx.com
北京育才学校,http://www.bjyucai.com
北京育才学校,http://www.bjyucai.com
北京育英学校,http://www.yuying.org.cn...
北京育英学校,http://www.yuying.org.cn/yuying/index.jsp
北京航天中学,http://www.fthtzx.bjedu....
北京航天中学,http://www.fthtzx.bjedu.cn
北京苹果园中学,http://pz.sjsedu.cn
北京苹果园中学,http://pz.sjsedu.cn/inde...
北京赵全营中学,58.133.182.9
北京赵全营中学,http://58.133.182.9
北京铁路第二中学,http://www.bjt2z.org
北京铁路第二中学,http://www.bjt2z.cn
北京陈经纶中学,http://www.bjcjl.net
北京陈经纶中学,http://www.bjcjl.net
北京陈经纶中学分校,http://www.cjlfx.net.cn
北京陈经纶中学分校,http://cjlfx.net.cn
北京首都医科大学附属中学,http://syfz.ftedu.cn
北京首都医科大学附属中学,http://syfz.ftedu.gov.cn
北京首都师范大学附属中学,http://www.cnuschool.org...
北京首都师范大学附属中学,http://www.cnuschool.org
北京鲁迅中学,http://www.lxzx.org
北京鲁迅中学,http://www.lxzx.org
华南师范大学中山附属中学,http://www.hszsfz.com
华南师范大学中山附属中学,http://www.hszsfz.com
南充第十中学,http://www.ncsz.net/IndexHS.aspx
南充第十中学,http://www.ncsz.net
南充顺庆区第一中学,http://www.ncyzedu.cn
南充顺庆区第一中学,http://www.ncyzedu.cn
南平元坑中学,222.78.249.43:81
南平元坑中学,--
南平剑津中学,--
南平剑津中学,www.npjjzx.cn
南平司前中学,--
南平司前中学,http:
南平岚下中学,www.sclxzx.com
南平岚下中学,--
南平崇仁中学,--
南平崇仁中学,http:
南平李坊中学,--
南平李坊中学,http:
南平杨源中学,--
南平杨源中学,http:
南平第五中学,www.npypjy.com
南平第五中学,--
南平第六中学,www.swlz.net
南平第六中学,--
南平茶富中学,--
南平茶富中学,http:
南平镇前中学,--
南平镇前中学,http:
南平际会中学,--
南平际会中学,http:
南通实验中学,http://www.ntsyzx.com
南通实验中学,http://www.ntsyzx.com
厦门松柏中学,http://sbzx.xmedu.cn
厦门松柏中学,http://sbzx.xmedu.cn
厦门槟榔中学,lzx.xmedu.cn
厦门槟榔中学,http://blzx.xmedu.cn
厦门湖滨中学,hubin.xmedu.cn
厦门湖滨中学,http://hubin.xmedu.cn
厦门第三中学,http://www.xmsz.net/index.html
厦门第三中学,www.xmsz.ne
厦门第六中学,www.liuzhong.xm.fj.cn
厦门第六中学,www.liuzhong.xm.fj.cn
厦门集美中学,http://jmzx.xmedu.cn
厦门集美中学,http://jmzx.xmedu.cn
合肥琥珀中学,http://www.hpzx.net.cn
合肥琥珀中学,http://www.hpzx.net.cn
合肥第三十二中学,http://www.hefei32.cn
合肥第三十二中学,http://www.hefei32.cn
嘉兴清河中学,http://www.qinghe.com.cn
嘉兴清河中学,http://www.qinghe.com.cn
天津中学,www.tjzx.cn
天津中学,--
天津南开大学附属中学,www.ndfz.nkedu.org
天津南开大学附属中学,www.nkedu.org
天津和平区兴南中学,http://www.2nankai.cn
天津和平区兴南中学,http:
天津开发区第一中学,--
天津开发区第一中学,http://www.tedayz.net/index-new.htm
天津汇文中学,http://tjhw.hpjy.edu.cn/...
天津汇文中学,http://tjhw.hpjy.edu.cn
天津河西区第四十二中学,http://www.tj42.cn
天津河西区第四十二中学,http://www.tj42.org
天津海河中学,http://www.hhzx.com.cn
天津海河中学,http://www.hhzx.cn
天津第三中学,http://www.tj3z.net
天津第三中学,www.tj3z.net
天津第五中学,http://www.tj5ms.cn
天津第五中学,http:
天津第五十一中学,http://www.tj51z.com/site
天津第五十一中学,http:
天津第五十七中学,http://www.tj57.com
天津第五十七中学,--
天津第五十四中学,http://www.tjwssz.cn
天津第五十四中学,http://www.tjwssz.cn
天津第四十一中学,http://www.tj41.cn/index...
天津第四十一中学,http://www.tj41.cn
天津第四十三中学,fuzhong.nankai.edu.cn
天津第四十三中学,http://www.tj43zx.cn
天津第四十五中学,tjsswz.com
天津第四十五中学,http://www.tjsswz.com/html/index.aspx
天津耀华中学,http://www.yaohua.org
天津耀华中学,http://www.yaohua.org
太原第三十七中学,http://www.ty37z.com/index.asp
太原第三十七中学,http://www.ty37z.com
太原第二外国语学校,http://www.sxty18.com
太原第二外国语学校,http://www.sxty18.com
如皋第一中学,http://www.rgsyz.com
如皋第一中学,http://www.rgsyz.com
宁波中学,http://www.nbzx.org
宁波中学,http://www.nbzx.org
宁波效实中学,http://www.nbxiaoshi.net
宁波效实中学,http://www.nbxiaoshi.net
宁波樟村中学,http://zczx.nbyzedu.cn
宁波樟村中学,http://zczx.nbyzedu.cn
宁波镇海中学,http://www.zhzx.net.cn
宁波镇海中学,http://www.zhzx.net.cn
尤溪县第一中学,http://www.fjyxyz.net
尤溪县第一中学,www.fjyxyz.net
山东省实验中学,http://www.sdshiyan.cn
山东省实验中学,http://www.sdshiyan.cn
山西省实验中学,http://www.sxsyzx.com
山西省实验中学,http://www.sxsyzx.com
嵊州城关中学,http://www.cgzx.net
嵊州城关中学,http://www.cgzx.net
广州东环中学,http://gzdhms.yuexiu.edu.cn
广州东环中学,http://gzdhms.gzyxedu.net
广州华南师范大学附属中学,http://www.hsfz.net.cn
广州华南师范大学附属中学,http://www.hsfz.net.cn
广州培正中学,http://www.pzms.com
广州培正中学,http://www.pzms.com
广州大学附属中学,http://www.gdfz.edu.cn
广州大学附属中学,http://www.gdfz.edu.cn
广州广雅中学,www.gyzx.edu.cn
广州广雅中学,http://www.gyzx.edu.cn
广州开发区中学,http://kfqzx.gzluogang.edu.cn
广州开发区中学,http://kfqzx.gzluogang.edu.cn
广州汾水中学,http://fs.lwedu.com
广州汾水中学,http://fs.lwedu.com
广州第七中学,http://www.gzqz.com
广州第七中学,http://www.gzqz.com
广州第七十五中学,http://www.gz75.cn
广州第七十五中学,http://www.gz75.cn
广州第十中学,http://www.10-100.net
广州第十中学,http://www.10-100.net
广州第四十一中学,http://www.haizhuedu.net/hzssyzx
广州第四十一中学,http://www.gz41z.com
广州西关外国语学校,http://gzxw.lwedu.com
广州西关外国语学校,http://gzxw.lwedu.com
建瓯房道中学,www.jojy.net
建瓯房道中学,--
建瓯第四中学,--
建瓯第四中学,http:
建阳县徐市中学,--
建阳县徐市中学,http:
建阳崇雒中学,http:
建阳崇雒中学,--
建阳第三中学,--
建阳第三中学,http:
建阳莒口中学,www.jyjkzx.com
建阳莒口中学,--
建阳黄坑中学,--
建阳黄坑中学,http:
徐州第一中学,http://www.jsxzyz.cn
徐州第一中学,http://www.jsxzyz.cn
德阳第一中学,http://www.scdyzx.com
德阳第一中学,http://www.scdyzx.com
惠州实验中学,http://www.hzsz.gd.cn
惠州实验中学,http://www.hzsz.gd.cn
惠州崇雅中学,http://www.hycyzx.com.cn
惠州崇雅中学,www.hzcyzx.com
惠州第八中学,http://www.hz8z.net
惠州第八中学,www.hz8z.net
惠州黄冈中学,www.hgzxhz.com
惠州黄冈中学,www.hgzxhz.com
成都树德实验中学,http://www.cdsdsy.net
成都树德实验中学,http://www.cdsdsy.net
成都石室双楠实验学校,http://www.snsyxx.com
成都石室双楠实验学校,http://www.snsyxx.com
成都铁路中学,http://www.cdtz.net/index.html
成都铁路中学,http://www.cdtz.net
杭州外国语学校,http://www.chinahw.net/html
杭州外国语学校,http://www.chinahw.net/html
杭州学军中学,http://www.hzxjhs.com
杭州学军中学,http://www.hzxjhs.com
杭州市建兰中学,http://www.jianlan.com.cn/IneduPortal/index.aspx
杭州市建兰中学,http://www.jianlan.com.cn/IneduPortal/index.aspx
杭州第十四中学,http://www.h14z.com
杭州第十四中学,http://www.h14z.com
杭州育才外国语学校,http://www.hzycedu.com
杭州育才外国语学校,http://www.hzycedu.com
桐城中学,http://www.tongzhong.cn
桐城中学,http://www.tongzhong.cn
梅州嘉应中学,http://www.mzsjyzx.com
梅州嘉应中学,http://www.mzsjyzx.com
武夷山星村中学,--
武夷山星村中学,xczx.wysjy.com
武平县实验中学,http://www.wpsz.com
武平县实验中学,www.wpsz.com
武昌实验中学,http://www.ssyzx.net
武昌实验中学,http://www.ssyzx.net
汕头澄海中学,http://www.stchzx.com
汕头澄海中学,http://www.stchzx.com
汕头玉兰中学,http://www.stjpedu.net
汕头玉兰中学,http://www.stjpedu.net
汕头达濠华侨中学,http://dhqz.stedu.net
汕头达濠华侨中学,http://dhqz.stedu.net
沈阳第六十一中学,http://www.sy61.cn
沈阳第六十一中学,http://www.sy61.cn
沈阳雨田实验中学,http://www.yutianzx.com
沈阳雨田实验中学,http://www.yutianzx.com
沙市中学,http://www.ssyz.net
沙市中学,http://www.ssyz.net
泉州现代中学,http://www.qzfx.cn
泉州现代中学,http://www.qzfx.cn
济南回民中学,http://www.jnhz.cn
济南回民中学,http://www.jnhz.cn
深圳中学,http://www.shenzhong.net
深圳中学,www.shenzhong.net
深圳元平特殊教育学校,http://www.szyptx.net
深圳元平特殊教育学校,http://www.szyptx.net
深圳南头中学,www.ntzx.com.cn
深圳南头中学,http://www.ntzx.com.cn
深圳外国语学校,http://www.sfls.net.cn
深圳外国语学校,http://www.sfls.net.cn
深圳学府中学,http://www.szxfzx.com
深圳学府中学,www.szxfzx.com
深圳文汇中学,http://whzx.baoan.edu.cn
深圳文汇中学,http://whzx.baoan.net.cn
深圳新华中学,http://xhzx.baoan.net.cn
深圳新华中学,http://xhzx.baoan.net.cn
深圳福景外国语学校,http://www.ffls-edu.com/index.asp
深圳福景外国语学校,www.ffls-edu.com
深圳第三高级中学,http://www.sz3gao.com
深圳第三高级中学,http://www.sz3gao.com
深圳第二外国语学校,http://www.sflsn.com
深圳第二外国语学校,http://www.shenzhenew.com/systemplateweb/Column.aspx?XXDM=440300000002&amp;CatalogId=1101
深圳红岭中学,http://hlzx.szftedu.cn
深圳红岭中学,http://hlzx.szftedu.cn
深圳罗湖外语学校,http://lhwy.school.luohuedu.net
深圳罗湖外语学校,http://lhwy.luohuedu.net
温州狮山中学,http://www.cnsszx.net
温州狮山中学,http://www.cnsszx.net
滁州李二庄中学,http://www.lezzx.com
滁州李二庄中学,http://www.lezzx.com
漳州第一中学,http://www.zzyz.net/inde...
漳州第一中学,www.zzyz.net
漳州第八中学,www.fjzzbz.cn
漳州第八中学,http://www.fjzzbz.cn
潮州金山中学,http://www.czjszx.com
潮州金山中学,http://www.czjszx.com
灵璧中学,http://www.lbschool.net
灵璧中学,http://www.lbschool.net
石家庄第二中学,http://www.sjzez.com
石家庄第二中学,http://www.sjzez.com
福州华南实验中学,http://www.hnsyzx.cn
福州华南实验中学,http://www.hnsyzx.cn
福州屏东中学,http://www.fzpdzx.com
福州屏东中学,http://www.fzpdzx.com
福州格致中学,http://www.gezhixq.net
福州格致中学,http://www.gezhixq.net
福州私立三牧中学,http://xuexiao.chazidian...
福州私立三牧中学,http://www.fzyz.net
福州长乐第一中学,http://www.fjclyz.com
福州长乐第一中学,http://www.fjclyz.com
福清高山育才中学,http://www.fqyc.com
福清高山育才中学,http://www.fqyc.com
绍兴稽山中学,http://www.sxjszx.com
绍兴稽山中学,http://www.sxjszx.com
肥西中学,http://www.fxzx.net.cn
肥西中学,http://www.fxzx.net.cn
荆州中学,http://www.hbjzzx.com
荆州中学,http://www.hbjzzx.com
莆田哲理中学,http://www.ptzlzx.cn
莆田哲理中学,http://zl.ptez.cn
衢州第二中学,http://www.qzez.com
衢州第二中学,http://www.qzez.com/index.html
辛集中学,http://www.hbxjzx.net.cn
辛集中学,http://www.hbxjzx.net.cn
连江第一中学,http://www.fjljyz.net
连江第一中学,http://www.fjljyz.net
邵武第三中学,www.swdszx.com
邵武第三中学,http:
邵武第六中学,www.swlz.net
邵武第六中学,--
重庆垫江中学,http://www.cqdz.com.cn
重庆垫江中学,http://www.cqdz.com.cn
重庆复旦中学,http://www.cqfudan.com
重庆复旦中学,http://www.cqfudan.com
重庆巴川中学,www.bcschool.cn
重庆巴川中学,http://www.bcschool.cn
重庆求精中学,http://www.qjzx.cn
重庆求精中学,http://www.qjzx.cn
重庆渝北中学,www.cqybzx.com.cn
重庆渝北中学,Http: // www.cqybzx.com.cn
重庆渝北区实验中学,http://www.ybsyzx.net
重庆渝北区实验中学,http://www.ybsyzx.net
重庆珊瑚中学,http://www.cqshzx.com.cn
重庆珊瑚中学,http://www.cqshzx.com.cn
重庆第一中学,http://www.cqyz.cn
重庆第一中学,http://www.cqyz.cn
重庆第二外国语学校,http://www.cqew.com.cn
重庆第二外国语学校,http://www.cqew.com.cn
重庆铜梁中学,http://www.cqtlzx.com
重庆铜梁中学,http://www.bcschool.cn
铜陵第十五中学,http://www.tl15z.cn
铜陵第十五中学,http:
长沙周南中学,http://www.zhounan.com
长沙周南中学,http://www.zhounan.net
长沙明德中学,http://www.mdzx.net/new/index.aspx
长沙明德中学,http://www.mdzx.net/new/index.aspx
长沙第一中学,http://www.hnfms.com.cn/hnfms/index.html
长沙第一中学,http://www.hnfms.com.cn/hnfms/index.html
黄冈文都中学,http://www.hgwdzx.com/http://www.wendu.com
黄冈文都中学,http://www.hgwdzx.com/http://www.wendu.com
黄石第十四中学,http://www.hsssz.com
黄石第十四中学,http://www.hsssz.com
龙岩连城第一中学,www.fjlcyz.com
龙岩连城第一中学,http://www.fjlcyz.com
