地区,学校名称,搜学网名称,地域,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
广东省,华南师范大学附属中学,华南师范大学附属中学,广东省 广州市 天河区,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区
广东省,深圳中学,深圳中学,广东省 深圳市 罗湖区,省重点,公办,中学,广东省深圳市罗湖区人民北路深中街18号,0755-82222572,广东省,深圳市,罗湖区
广东省,中山纪念学校,广东中山纪念中学,广东省 中山市,省重点,公办,中学,中山市南朗镇翠亨村正街,0760-85501869,广东省,中山市,
广东省,深圳外国语学校,深圳外国语学校高中部,广东省 深圳市 盐田区,省重点,公办,中学,深圳市盐田区盐田路1号,0755-25282036 0755-25282089,广东省,深圳市,盐田区
广东省,广东实验中学,广东省实验中学（荔湾校区）,广东省 广州市 荔湾区,省重点,公办,中学,广东省广州市荔湾区龙溪大道省实路 1号,（020）81506381,广东省,广州市,荔湾区
广东省,汕头市潮阳实验学校,汕头市潮阳实验学校,广东省 汕头市 潮阳区,省重点,民办,中学,广东省汕头市潮阳区棉北街道城北四路东段,0754-88726528 88722222,广东省,汕头市,潮阳区
广东省,深圳实验学校,深圳市实验学校（高中部）,广东省 深圳市 南山区,省重点,公办,中学,广东省深圳市南山区西丽街道同发路99号,0755-83361223,广东省,深圳市,南山区
广东省,汕头市金山中学,汕头市金山中学,广东省 汕头市 濠江区,省重点,公办,中学,广东省汕头市石海关顶,0754-87374368,广东省,汕头市,濠江区
广东省,广州执信中学,广州执信中学,广东省 广州市 越秀区,省重点,公办,中学,广州市越秀区执信南路152号,020-87778382,广东省,广州市,越秀区
广东省,东莞市东华高级中学,东莞市东华高级中学,广东省 东莞市,省重点,民办,中学,广东省东莞市莞长路33号,0769-22696988,广东省,东莞市,
广西省,广西柳州高级中学,广西柳州高级中学,广西 柳州市,市重点,公办,中学,东台路44号,0772-2822557,广西,柳州市,
广西省,柳州铁一中学,柳州铁路第一中学（柳铁一中）,广西 柳州市 柳南区,省重点,公办,中学,广西柳州市城站路391号,0772--3953677,广西,柳州市,柳南区
广西省,广西师范大学附属外国语学校,广西师范大学附属外国语学校,广西 桂林市 七星区,省重点,公办,中学,广西桂林市铁山工业园紫杉路10号,0773-8993005,广西,桂林市,七星区
广西省,广西南宁市第三中学,南宁市第三中学,广西 南宁市 青秀区,省重点,公办,中学,广西南宁市青秀区青山路5号,0771--5311268,广西,南宁市,青秀区
广西省,广西玉林高级中学,广西玉林高级中学,广西 玉林市,省重点,公办,中学,广西玉林市人民东路77号,0775-2684268,广西,玉林市,
广西省,南宁市第二中学,南宁市第二中学（南宁二中）,广西 南宁市 西乡塘区,省重点,公办,中学,广西南宁市新民路29号,0771--2804263,广西,南宁市,西乡塘区
广西省,桂林市第十八中学,桂林市第十八中学,广西 柳州市,省重点,公办,中学,广西桂林市横塘路17号,0773-5865365,广西,柳州市,
广西省,桂林中学,桂林市桂林中学,广西 桂林市,省重点,公办,中学,解放西路58号,0773--2825101,广西,桂林市,
广西省,广西师范大学附属中学,广西师范大学附属中学,广西 桂林市,省重点,公办,中学,中山北路15号,0773--2803103,广西,桂林市,
广西省,玉林一中,广西玉林市第一中学（玉林一中）,广西 玉林市,市重点,公办,中学,广西玉林市大北路（玉灵一中）,0775-2082207,广西,玉林市,
贵州省,贵阳市第一中学,贵阳市第一中学,贵州省 贵阳市 乌当区,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区
贵州省,兴义市第八中学,兴义八中,贵州省 黔西南 兴义市,普通,公办,中学,贵州省黔西南布依族苗族自治州兴义市富民路188号,,贵州省,黔西南,兴义市
贵州省,贵阳市第三实验中学,贵阳市第三实验中学,贵州省 贵阳市 ,普通,公办,中学,贵阳市富水南路中山大厦B座,0851-8645477,贵州省,贵阳市,
贵州省,遵义市第四中学,遵义市第四中学,贵州省 遵义市,省重点,公办,中学,贵州省遵义市红花岗区石龙路14号,0852-8223172,贵州省,遵义市,
贵州省,贵州师范大学附属中学,贵州师范大学附属中学,贵州省 贵阳市 云岩区,省重点,公办,中学,贵州省贵阳市宝山北路199号,0851-—5934305,贵州省,贵阳市,云岩区
贵州省,遵义县第一中学,遵义第一中学（遵义一中）,贵州省 遵义市,省重点,公办,中学,贵州省遵义市银河大道中段,0851-28432568,贵州省,遵义市,
贵州省,贵阳市清华中学,贵阳市清华中学,贵州省 贵阳市 花溪区,省重点,公办,中学,贵阳市花溪区清华路30号,0851-3851955,贵州省,贵阳市,花溪区
贵州省,贵州市铜仁第一中学,铜仁市第一中学（铜仁一中）,贵州省 铜仁地区 铜仁市,省重点,公办,中学,贵州省铜仁市向阳路7号,0856-5223234,贵州省,铜仁地区,铜仁市
贵州省,遵义航天高级中学,贵州遵义航天高级中学,贵州省 遵义市 汇川区,省重点,公办,中学,遵义市汇川区宁波路176号,0852-8611619 8611987,贵州省,遵义市,汇川区
贵州省,贵州省思南中学,贵州省思南中学,贵州省 铜仁地区 思南县,省重点,公办,中学,贵州省思南县思唐镇文化街197号,0856-7225114,贵州省,铜仁地区,思南县
海南省,海南中学,海南中学,上海市 虹口区,普通,公办,中学,上海市虹口区百官街1号,63242016,上海市,上海市,虹口区
海南省,海南华侨中学,海南省华侨中学,海南省 海口市,省重点,公办,中学,海南省海口市海秀路59号,0898-66712692,海南省,海口市,
海南省,海口市第一中学,海口市第一中学（海口一中）,海南省 海口市,省重点,公办,中学,海南省海口市龙华路14号,0898—66225979,海南省,海口市,
海南省,海南省农垦实验中学,,,,,,,,,,
海南省,琼海市嘉积中学,海南省琼海市嘉积中学,海南省 海口市,省重点,公办,中学,海南省琼海市嘉积镇富侨路1号,0898-31692345,海南省,海口市,
海南省,文昌中学,海南省文昌中学,海南省 三亚市,省重点,公办,中学,海南省三亚市教育路46号 海南岛文昌市,0898-63222395,海南省,三亚市,
海南省,湖南师大附中海口中学,,,,,,,,,,
海南省,海南师范大学附属中学,海南师范大学附属中学,海南省 海口市,省重点,公办,中学,海南省海口市美兰区灵山镇新大洲大道机场北路,0898-65728566,海南省,海口市,
海南省,三亚市第一中学,三亚市第一中学（三亚一中）,海南省 三亚市 ,省重点,公办,中学,海南省三亚市 三亚河东路82号,0898-88245478,海南省,三亚市,
海南省,海南市琼山中学,海口市琼山中学,海南省 海口市,省重点,公办,中学,:海口市琼山区文庄路10号,0898-65865927,海南省,海口市,
河北省,河北衡水中学,河北衡水中学,河北省 衡水市 桃城区,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区
河北省,石家庄第二中学,石家庄市第二中学（河北省实验中学）（高中部）,河北省 石家庄市 新华区,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区
河北省,衡水市第二中学,衡水市第二中学,河北省 衡水市,省重点,公办,中学,河北省衡水市问津北街98号/衡水市新华西路256号,0318-2135271 2817707,河北省,衡水市,
河北省,河北武邑中学,河北武邑中学,河北省 衡水市 武邑县,省重点,公办,中学,河北省衡水市武邑县城新区宏达路1号,0318--5738058,河北省,衡水市,武邑县
河北省,唐山市第一中学,唐山市第一中学（唐山一中）,河北省 唐山市 路北区,省重点,公办,中学,河北省唐山市路南区友谊路2号,0315-2595128,河北省,唐山市,路北区
河北省,河北正定中学,河北正定中学,河北省 石家庄市 正定县,省重点,公办,中学,河北省正定县正定镇府西街80号,0311--8022837,河北省,石家庄市,正定县
河北省,河北冀州中学,河北省冀州中学,河北省 衡水市 冀州市,省重点,公办,中学,河北省冀州市振商街4号,0318--8613714 8612660,河北省,衡水市,冀州市
河北省,石家庄第一中学,石家庄市第一中学（石家庄一中）,河北省 石家庄市 桥东区,省重点,公办,中学,河北省石家庄市平安北大街13号,0311--6034130,河北省,石家庄市,桥东区
河北省,邯郸市第一中学,河北省邯郸市第一中学（邯郸一中）,河北省 邯郸市 丛台区,省重点,公办,中学,河北省邯郸市丛台路21号,0310--3122208,河北省,邯郸市,丛台区
河北省,河北辛集中学,河北辛集中学,河北省 石家庄市,省重点,公办,中学,河北省石家庄辛集市辛中路1号,0311--83387109,河北省,石家庄市,
河南省,郑州外国语学校,郑州外国语学校,河南省 郑州市 高新区,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区
河南省,郑州市第一中学,郑州市第一中学（郑州一中）,河南省 郑州市 中原区,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区
河南省,河南省实验中学,河南省实验中学,河南省 郑州市 金水区,省重点,公办,中学,河南省郑州市金水区农业路10号（河南博物院西200米）,0371-63943667,河南省,郑州市,金水区
河南省,南阳市第一中学,南阳市第一中学（南阳一中）,河南省 南阳市,省重点,公办,中学,河南省南阳市建设东路1366号,0377-63035139,河南省,南阳市,
河南省,开封高级中学,开封高级中学（开封高中）,河南省 开封市,省重点,公办,中学,河南省开封铁路北沿街223号,0378-5951776,河南省,开封市,
河南省,安阳市第一中学,安阳市第一中学（安阳一中）,河南省 安阳市,省重点,公办,中学,河南省安阳市文明大道327号,0372-2988976,河南省,安阳市,
河南省,河南师范大学附属中学,河南师范大学附属中学,河南省 新乡市,省重点,公办,中学,河南省新乡市建设路164号,0373-3383049,河南省,新乡市,
河南省,林州市第一中学,林州市第一中学（林州一中）,河南省 安阳市 林州市,省重点,公办,中学,河南省安阳市林州市龙山路中路35号,0372-6811510,河南省,安阳市,林州市
河南省,郸城县第一高级中学,郸城县第一高级中学（郸城县一高）,河南省 周口市 郸城县,市重点,公办,中学,河南省郸城县新华路23号,0394--3222324,河南省,周口市,郸城县
河南省,信阳高级中学,河南省信阳高级中学,河南省 信阳市 狮河区,省重点,公办,中学,河南省信阳市浉河区文化街6号,0376-6682186,河南省,信阳市,狮河区
黑龙江省,哈尔滨市第三中学,哈尔滨市第三中学,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
黑龙江省,大庆实验中学,黑龙江省大庆实验中学,黑龙江 大庆市,省重点,公办,中学,大庆市高新技术产业开发园区秀水路6号,0459—8156179,黑龙江,大庆市,
黑龙江省,牡丹江市第一高级中学,牡丹江市第一高级中学（牡丹江一中）,黑龙江 牡丹江市 东安区,省重点,公办,中学,牡丹江市江南新城区,0453-6471809,黑龙江,牡丹江市,东安区
黑龙江省,哈尔滨师范大学附属中学,哈尔滨师范大学附属中学,黑龙江 哈尔滨市 南岗区,普通,公办,中学,学府路30号,0451 88675547,黑龙江,哈尔滨市,南岗区
黑龙江省,大庆铁人中学,大庆铁人中学,黑龙江 大庆市 让胡路区,省重点,公办,中学,黑龙江省大庆市让胡路区乘风西路6号,0459－5683040,黑龙江,大庆市,让胡路区
黑龙江省,哈尔滨市第九中学,哈尔滨市第九中学,黑龙江 哈尔滨市 香坊区,省重点,公办,中学,黑龙江省哈尔滨市香坊区和平路165号,0451-82801485,黑龙江,哈尔滨市,香坊区
黑龙江省,黑龙江省实验中学,黑龙江省实验中学,黑龙江 哈尔滨市,省重点,公办,中学,黑龙江省哈尔滨市南岗区海城街1号,0451-86431159,黑龙江,哈尔滨市,
黑龙江省,哈尔滨市第六中学,哈尔滨市第六中学,黑龙江 哈尔滨市 香坊区,省重点,公办,中学,黑龙江省哈尔滨市公滨路467号,0451-55641821,黑龙江,哈尔滨市,香坊区
黑龙江省,佳木斯市第一中学,佳木斯市第一中学（佳木斯一中）,黑龙江 佳木斯市,省重点,公办,中学,黑龙江省佳木斯市光复路1399号,0454-8605037,黑龙江,佳木斯市,
黑龙江省,大庆第一中学,大庆第一中学（大庆一中）,黑龙江 大庆市 让胡路区,市重点,公办,中学,黑龙江省大庆市让胡路区胜利路284号,0459-5168163  5168057,黑龙江,大庆市,让胡路区
湖北省,华中师范大学第一附属中学,湖北华中师范大学第一附属中学（华中师大一附中）,湖北省 武汉市 武昌区,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027-87920655,湖北省,武汉市,武昌区
湖北省,武汉市第二中学,武汉市第二中学,湖北省 武汉市 江岸区,省重点,公办,中学,武汉市中山大道1469号,027-83801823,湖北省,武汉市,江岸区
湖北省,襄阳市第五中学,襄阳五中,湖北省 襄阳市 襄州区,省重点,公办,中学,湖北省襄阳市高新区邓城大道66号,0710-3530727,湖北省,襄阳市,襄州区
湖北省,襄阳市第四中学,襄阳市第四中学,湖北省 襄阳市 襄州区,省重点,公办,中学,湖北省襄阳市襄城东街26号,0710-3511057（校办） 0710-3553666（招办）,湖北省,襄阳市,襄州区
湖北省,武汉外国语学校,武汉外国语学校,湖北省 武汉市 江汉区,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区
湖北省,湖北省宜昌市夷陵中学,宜昌市夷陵中学,湖北省 宜昌市 夷陵区,省重点,公办,中学,湖北省宜昌市城东大道51号,0717-6924505 6924507 6924106,湖北省,宜昌市,夷陵区
湖北省,黄冈中学,湖北黄冈中学,湖北省 黄冈市 黄州区,全国重点,公办,中学,湖北黄冈开发区明珠大道,0713-8838888,湖北省,黄冈市,黄州区
湖北省,武汉钢铁集团公司第三子弟中学,,,,,,,,,,
湖北省,湖北省宜昌市第一中学,宜昌市第一中学（宜昌一中）,湖北省 宜昌市 西陵区,省重点,公办,中学,宜昌市西陵二路4号,0717-6774074,湖北省,宜昌市,西陵区
湖北省,武昌实验中学,湖北省武汉市武昌实验中学,湖北省 武汉市 武昌区,省重点,公办,中学,武汉市武昌火炬路48号,027-88873891,湖北省,武汉市,武昌区
湖南省,长沙市长郡中学,长沙市长郡中学,湖南省 长沙市,省重点,公办,中学,长沙市黄兴南路309号,0731-5815387  邮编：410002　地址：长沙市黄兴南路309号,湖南省,长沙市,
湖南省,长沙市雅礼中学,长沙市雅礼中学,湖南省 长沙市 雨花区,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区
湖南省,湖南师范大学附属中学,湖南师范大学附属中学,湖南省 长沙市 岳麓区,省重点,公办,中学,湖南长沙岳麓区桃子湖路48号,0731-88885855、88886669、88882315,湖南省,长沙市,岳麓区
湖南省,湖南师范大学附属中学,湖南师范大学附属中学,湖南省 长沙市 岳麓区,普通,民办,中学,湖南长沙岳麓区桃子湖路48号,,湖南省,长沙市,岳麓区
湖南省,湖南省长沙市第一中学,长沙市第一中学（长沙一中）,湖南省 长沙市 开福区,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区
湖南省,长沙市明德中学,长沙明德中学,湖南省 长沙市 天心区,省重点,公办,中学,湖南省长沙市天心区新韶西路豹子岭　,0731-88237799　,湖南省,长沙市,天心区
湖南省,长沙市南雅中学,长沙市南雅中学,湖南省 长沙市 雨花区,市重点,公办,中学,湖南省长沙市雨花区香樟东路178号,0731-85065645,湖南省,长沙市,雨花区
湖南省,麓山国际实验学校,长沙麓山国际实验学校,湖南省 长沙市 岳麓区,省重点,公办,中学,湖南省长沙市河西望月湖小区9片月华街59号,0731-8615610,湖南省,长沙市,岳麓区
湖南省,株洲市第二中学,湖南省株洲市第二中学,湖南省 株洲市,省重点,公办,中学,湖南省株洲市天元区珠江南路518号,0733--28827802,湖南省,株洲市,
湖南省,湖南省石门县第一中学,石门县第一中学（石门一中）,湖南省 常德市 石门县,省重点,公办,中学,湖南省常德市石门县黄金路,0736-5323351,湖南省,常德市,石门县
湖南省,岳阳市第一中学,岳阳市第一中学（岳阳一中）,湖南省 岳阳市,市重点,公办,中学,湖南省岳阳市岳阳楼区洞庭北路124号,0730-8318395,湖南省,岳阳市,
吉林省,东北师范大学附属中学,东北师范大学附属中学,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市自由大路506号,0431-85608927 85677272,吉林省,长春市,朝阳区
吉林省,吉林大学附属中学,吉林大学附属中学高中部,吉林省 长春市,省重点,公办,中学,吉林省长春市南关区解放大路3059号,0431-88499352,吉林省,长春市,
吉林省,吉林市第一中学,吉林市第一中学（吉林一中）,吉林省 吉林市 船营区,省重点,公办,中学,吉林省吉林市船营区松江西路155号,0432-64826007,吉林省,吉林市,船营区
吉林省,长春市第十一中学,长春市第十一中学,吉林省 长春市 绿园区,普通,公办,中学,长春市绿园区景阳大路2666号,0431—87615586 学区范围：绿园区 地址：长春市绿园区景阳大路2666号,吉林省,长春市,绿园区
吉林省,吉林省延边第二中学,吉林省延边第二中学（延边二中）,吉林省 延边 延吉市,省重点,公办,中学,吉林省延边朝鲜族自治州延吉市,,吉林省,延边,延吉市
吉林省,吉林毓文中学,吉林毓文中学,吉林省 吉林市 船营区,市重点,公办,中学,吉林省吉林市松江中路101号,0432-64833505 64833516 13294468855,吉林省,吉林市,船营区
吉林省,吉林省实验中学,吉林省实验中学（高中）,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市人民大街6465号,0431-85376541,吉林省,长春市,朝阳区
吉林省,梅河口第五中学,,,,,,,,,,
吉林省,长春市第二中学,长春市第二中学（长春二中）,吉林省 长春市 朝阳区,省重点,公办,中学,吉林省长春市朝阳区清和街38号,0431-88524768,吉林省,长春市,朝阳区
吉林省,吉化第一高级中学,吉化第一高级中学（吉化一中）,吉林省 吉林市 龙潭区,省重点,公办,中学,吉林省吉林市龙潭区武汉路25号,0432－63968098,吉林省,吉林市,龙潭区
江苏省,南京师范大学附属中学,南京师范大学附属中学,江苏省 南京市 鼓楼区,省重点,公办,中学,南京市鼓楼区察哈尔路37号（校本部）,0527-82898588,江苏省,南京市,鼓楼区
江苏省,南京外国语学校,南京外国语学校,江苏省 南京市 玄武区,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区
江苏省,南京外国语学校,南京外国语学校,江苏省 南京市 玄武区,市重点,民办,中学,江苏省南京市玄武区北京东路30号,025-83282300,江苏省,南京市,玄武区
江苏省,天一中学,江苏省天一中学,江苏省 无锡市 锡山区,省重点,公办,中学,江苏省无锡锡山区东亭二泉中路18号,0510-88223001,江苏省,无锡市,锡山区
江苏省,常州高级中学,江苏省常州高级中学,江苏省 常州市,省重点,公办,中学,江苏省常州市罗汉路8号,0519-88111202,江苏省,常州市,
江苏省,启东中学,江苏启东中学,江苏省 南通市 启东市,省重点,公办,中学,江苏省启东市人民西路2188号（高中部）/启东市民乐中路580号（初中部）,0513-83116432,江苏省,南通市,启东市
江苏省,苏州中学,江苏省苏州中学,江苏省 苏州市 沧浪区,省重点,公办,中学,江苏省苏州市人民路699号,0512-65194261  0512-65195262,江苏省,苏州市,沧浪区
江苏省,海门中学,江苏省海门中学,江苏省 南通市 海门市,省重点,公办,中学,江苏省海门市海门镇育才路1号,0513-82212218,江苏省,南通市,海门市
江苏省,扬州高级中学,,,,,,,,,,
江苏省,淮阴中学,江苏淮阴中学,江苏省 淮安市 淮阴区,省重点,公办,中学,江苏省淮安市解放东路99号,0517-83518888,江苏省,淮安市,淮阴区
江苏省,海安高级中学,,,,,,,,,,
江西省,江西师范大学附属中学,江西师范大学附属中学（师大附中）（初中）,江西省 南昌市 青山湖区,省重点,公办,中学,江西省南昌市青山湖区北京西路194号,0791-8507088,江西省,南昌市,青山湖区
江西省,抚州市临川第一中学,江西省临川第一中学（临川一中）,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州市临川区上顿渡镇建设路205号,0794-8441447   0794-8430071,江西省,抚州市,临川区
江西省,九江市第一中学,江西九江第一中学,江西省 九江市 九江县,省重点,公办,中学,江西省九江市滨湖路1号,0792-8238623,江西省,九江市,九江县
江西省,南昌市第二中学,南昌二中（南昌市第二中学）,江西省 南昌市 青山湖区,省重点,公办,中学,江西省南昌市青山湖区绿茵路1282号,0791-83839278,江西省,南昌市,青山湖区
江西省,江西省吉安市第一中学,江西省吉安市第一中学（吉安市一中）,江西省 吉安市 吉州区,省重点,公办,中学,江西省吉安市吉州区沿江路97-1号,0796---8263254,江西省,吉安市,吉州区
江西省,余江县第一中学,余江县第一中学（余江一中）,江西省 鹰潭市 余江县,省重点,私立,中学,江西省鹰潭市余江县白塔路,0701-5885968,江西省,鹰潭市,余江县
江西省,南昌县莲塘第一中学,江西省南昌县莲塘第一中学（莲塘一中）,江西省 南昌市 南昌县,省重点,公办,中学,江西省南昌县莲塘镇澄湖西路1566号,0791-85761902,江西省,南昌市,南昌县
江西省,鹰潭市第一中学,江西省鹰潭市第一中学,江西省 鹰潭市,省重点,公办,中学,江西省鹰潭市胜利西路8号,0701-6221343  0701—6289277,江西省,鹰潭市,
江西省,赣州中学,赣州中学,江西省 赣州市 章贡区,普通,公办,中学,江西省赣州市章贡区赣康路20号,,江西省,赣州市,章贡区
江西省,抚州市临川第二中学,江西省临川第二中学,江西省 抚州市 临川区,省重点,公办,中学,江西省抚州临川区上顿渡镇龙津路67号,0794-8441448,江西省,抚州市,临川区
辽宁省,大连市第二十四中学,大连市第二十四中学,辽宁省 大连市 中山区,省重点,公办,中学,辽宁省大连市中山区解放路217号,0411-39912434 0411-82307507,辽宁省,大连市,中山区
辽宁省,东北育才中学,东北育才学校,辽宁省 沈阳市 和平区,省重点,公办,中学,辽宁省沈阳市和平区南一马路100号,024-23783945,辽宁省,沈阳市,和平区
辽宁省,本溪市高级中学,本溪市高级中学,辽宁省 本溪市 平山区,省重点,公办,中学,辽宁省本溪市平山区东明路91号,0414-3286000,辽宁省,本溪市,平山区
辽宁省,大连育明高级中学,大连育明高级中学,辽宁省 大连市 沙河口区,省重点,公办,中学,辽宁省大连市沙河口区杨树街70号,0411-84759193  0411-84759866 0411-8475,辽宁省,大连市,沙河口区
辽宁省,辽宁省实验中学,辽宁省实验中学,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
辽宁省,辽宁省实验中学,辽宁省实验中学,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
