序号,学校名称,搜学网名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
33,复旦大学附属中学,复旦大学附属中学,上海市 杨浦区,市重点,公办,中学,上海市杨浦区国权路383号,021-65640560,上海市,上海市,杨浦区
34,北京市第八中学,北京市第八中学,北京市 西城区,市重点,公办,中学,北京市西城区学院小街2号,010-66034661,北京市,北京市,西城区
34,北京市第八中学,北京市第八中学,北京市 西城区,普通,公办,中学,北京市西城区学院小街2号,010-66020961,北京市,北京市,西城区
35,北京市第二中学,北京市第二中学,北京市 东城区,市重点,公办,中学,北京市东城区内务部街15号,010-65274375,北京市,北京市,东城区
35,北京市第二中学,北京市第二中学,北京市 东城区,普通,公办,中学,北京市东城区灯市东口内务部街,,北京市,北京市,东城区
36,首都师范大学附属中学,首都师范大学附属中学,北京市 海淀区,市重点,公办,中学,北京市海淀区北洼路33号,（010）68454176,北京市,北京市,海淀区
37,北京一零一中学,北京市一零一中学,北京市 海淀区,普通,公办,中学,北京市海淀区颐和园路11号,62566753,北京市,北京市,海淀区
38,东北育才中学,东北育才学校,辽宁省 沈阳市 和平区,省重点,公办,中学,辽宁省沈阳市和平区南一马路100号,024-23783945,辽宁省,沈阳市,和平区
39,天津市第一中学,天津市第一中学,天津市 和平区,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区
40,天津市耀华中学,天津市耀华中学,天津市 和平区,全国重点,公办,中学,天津市和平区南京路106号,022-23394521,天津市,天津市,和平区
41,本溪市高级中学,本溪市高级中学,辽宁省 本溪市 平山区,省重点,公办,中学,辽宁省本溪市平山区东明路91号,0414-3286000,辽宁省,本溪市,平山区
42,襄阳市第五中学,襄阳五中,湖北省 襄阳市 襄州区,省重点,公办,中学,湖北省襄阳市高新区邓城大道66号,0710-3530727,湖北省,襄阳市,襄州区
43,天津市南开中学,天津市南开中学,天津市 南开区,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区
44,华南师范大学附属中学,华南师范大学附属中学,广东省 广州市 天河区,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区
45,湖南长沙市第一中学,长沙市第一中学,湖南省 长沙市 开福区,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区
46,天津市杨村第一中学,天津市武清区杨村第一中学,天津市 武清区,市重点,公办,中学,天津市武清新城南东路282号,022－59689168  82171242,天津市,天津市,武清区
47,衡水市第二中学,衡水市第二中学,河北省 衡水市,省重点,公办,中学,河北省衡水市问津北街98号/衡水市新华西路256号,0318-2135271 2817707,河北省,衡水市,
48,大连育明高级中学,大连育明高级中学,辽宁省 大连市 沙河口区,省重点,公办,中学,辽宁省大连市沙河口区杨树街70号,0411-84759193  0411-84759866 0411-8475,辽宁省,大连市,沙河口区
49,天津新华中学,天津新华中学,天津市 河西区,全国重点,公办,中学,天津市河西区马场道99号,022-23288278,天津市,天津市,河西区
50,北京市第一七一中学,北京市一七一中学,北京市 东城区,普通,公办,中学,北京市东城区和平里北街8号,010-64279121,北京市,北京市,东城区
51,浙江省温州中学,浙江省温州中学,浙江省 温州市 瓯海区,省重点,公办,中学,浙江省温州市瓯海区梧田大道2号,0577-86760802　,浙江省,温州市,瓯海区
52,北京市第八十中学,北京市第八十中学,北京市 朝阳区,区重点,公办,中学,北京市朝阳区望京北路甲16号,010-58047000-7009（校长）010-58047000-7023（教学处）,北京市,北京市,朝阳区
52,北京市第八十中学,北京市第八十中学,北京市 朝阳区,普通,公办,中学,北京市朝阳区白家庄西里2号/北京市朝阳区望京北路甲16号,010-58047000,北京市,北京市,朝阳区
53,北京市第十二中学,北京市第十二中学,北京市 丰台区,普通,公办,中学,北京市丰台区益泽路15号,（010）63807904,北京市,北京市,丰台区
54,西北师范大学附属中学,西北师范大学附属中学,甘肃省 兰州市 安宁区,省重点,公办,中学,甘肃省兰州市安宁区十里店南街21号,（0931）7752517,甘肃省,兰州市,安宁区
55,上海市七宝中学,上海市七宝中学,上海市 闵行区,市重点,公办,中学,上海市徐汇区农南路22号,021-64592100,上海市,上海市,闵行区
56,北京市第十三中学,北京市第十三中学,北京市 西城区,市重点,公办,中学,北京市第十三中学坐落在西城区柳荫街27号,010 - 6185970,北京市,北京市,西城区
57,天津实验中学,天津市实验中学,天津市 河西区,全国重点,公办,中学,天津市河西区平山道1号,022-23358689,天津市,天津市,河西区
58,景山学校,北京景山学校,北京市 东城区,市重点,公办,中学,北京市东城区灯市口大街53号,010-65252555,北京市,北京市,东城区
59,襄阳市第四中学,襄阳市第四中学,湖北省 襄阳市 襄州区,省重点,公办,中学,湖北省襄阳市襄城东街26号,0710-3511057（校办） 0710-3553666（招办）,湖北省,襄阳市,襄州区
60,北京市八一中学,北京市八一中学,北京市 海淀区,市重点,公办,中学,北京市海淀区苏州街29号,010-62566896,北京市,北京市,海淀区
61,汇文中学,北京汇文中学,北京市 东城区,市重点,公办,中学,北京市东城区培新街6号,010-67117375,北京市,北京市,东城区
62,北京师范大学附属中学,北京师范大学附属中学,北京市 西城区,省重点,公办,中学,北京市西城区南新华街18号,010-63014680-207,北京市,北京市,西城区
63,吉林大学附属中学,吉林大学附属中学高中部,吉林省 长春市,省重点,公办,中学,吉林省长春市南关区解放大路3059号,0431-88499352,吉林省,长春市,
64,交通大学附属中学,交通大学附属中学,上海市 宝山区,普通,公办,中学,上海市宝山区殷高路42号,021-65911010,上海市,上海市,宝山区
65,哈尔滨市第三中学,哈尔滨市第三中学,黑龙江 哈尔滨市 南岗区,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区
66,上海交通大学附属中学,上海交大附中本部,上海市 宝山区,市重点,公办,中学,上海殷高路42号,021- 65911010,上海市,上海市,宝山区
67,福州第一中学,福州市第一中学,福建省 福州市 鼓楼区,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区
68,北京市一六一中学,北京市第一六一中学,北京市 西城区,市重点,公办,中学,北京市西城区西长安街1号,010-66054717,北京市,北京市,西城区
69,乐成公立寄宿学校,乐清乐成公立寄宿学校,浙江省 温州市 乐清市,市重点,公办,中学,浙江省温州市乐清市城南街道朋岙村,0577-27882222 27886111 27886101,浙江省,温州市,乐清市
70,深圳中学,深圳中学,广东省 深圳市 罗湖区,省重点,公办,中学,广东省深圳市罗湖区人民北路深中街18号,0755-82222572,广东省,深圳市,罗湖区
71,云南师范大学附属中学,云南师范大学附属中学,云南省 昆明市 ,省重点,公办,中学,云南省昆明市高新开发区洪源路36号,0871-68312226  0871-68313609,云南省,昆明市,
72,南京师范大学附属中学,南京师范大学附属中学,江苏省 南京市 鼓楼区,省重点,公办,中学,南京市鼓楼区察哈尔路37号（校本部）,0527-82898588,江苏省,南京市,鼓楼区
73,合肥市第一中学,合肥市第一中学,安徽省 合肥市 包河区,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区
74,辽宁省实验中学,辽宁省实验中学,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
74,辽宁省实验中学,辽宁省实验中学,辽宁省 沈阳市 皇姑区,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区
75,牛栏山一中,北京市顺义区牛栏山第一中学,北京市 顺义区,市重点,公办,中学,北京市顺义区顺安路99号,010 - 81480932,北京市,北京市,顺义区
76,武汉外国语学校,武汉外国语学校,湖北省 武汉市 江汉区,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区
77,上海市格致中学,上海市格致中学,上海市 黄浦区,市重点,公办,中学,上海市黄浦区广西北路66号,021-63615180 021-63510228,上海市,上海市,黄浦区
78,宁夏银川一中,宁夏银川一中,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区
79,福建省厦门双十中学,厦门市双十中学,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区
80,乌鲁木齐市第一中学,乌鲁木齐市第一中学,新疆 乌鲁木齐市 天山区,省重点,公办,中学,新疆乌鲁木齐市健康路一巷9号,9912826965,新疆,乌鲁木齐市,天山区
81,南京外国语学校,南京外国语学校,江苏省 南京市 玄武区,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区
81,南京外国语学校,南京外国语学校,江苏省 南京市 玄武区,市重点,民办,中学,江苏省南京市玄武区北京东路30号,025-83282300,江苏省,南京市,玄武区
82,成都外国语学校,成都外国语学校,四川省 成都市 高新区,省重点,民办,中学,成都市高新西区百草路东段35号,028-87820768、87822188,四川省,成都市,高新区
83,上海市建平中学,上海市建平中学,上海市 浦东新区,市重点,公办,中学,上海市浦东新区崮山路517号,021-58851542,上海市,上海市,浦东新区
84,福建省厦门第一中学,厦门市第一中学高中,福建省 厦门市 思明区,省重点,公办,中学,福建省厦门市思明区文园路93号,0592-2021908,福建省,厦门市,思明区
85,北京市第十五中学,北京市第十五中学,北京市 西城区,市重点,公办,中学,北京市西城区育新街2号,010-63520235,北京市,北京市,西城区
85,北京市第十五中学,北京市第十五中学,北京市 西城区,市重点,公办,中学,北京市西城区龙泉胡同11号,010-63522036,北京市,北京市,西城区
86,广渠门中学,北京市广渠门中学,北京市 东城区,区重点,公办,中学,北京市白桥大街甲1号,010-67183773,北京市,北京市,东城区
87,延安中学,上海市延安中学,上海市 长宁区,市重点,公办,中学,上海市长宁区茅台路1111号,021-62901188,上海市,上海市,长宁区
88,大庆实验中学,黑龙江省大庆实验中学,黑龙江 大庆市,省重点,公办,中学,大庆市高新技术产业开发园区秀水路6号,0459—8156179,黑龙江,大庆市,
89,上海市实验学校,上海市实验学校,上海市 浦东新区,区重点,公办,中学,上海市浦东区东明路300号,021-50866695,上海市,上海市,浦东新区
90,宝坻区第一中学,天津市宝坻区第一中学,天津市 宝坻区,市重点,公办,中学,天津市宝坻区海滨街北城路东段1号,022-29228996,天津市,天津市,宝坻区
91,杭州外国语学校,杭州市外国语学校,浙江省 杭州市 西湖区,省重点,公办,中学,浙江省杭州市小和山高教园299号,0571-85289110,浙江省,杭州市,西湖区
92,贵阳市第一中学,贵阳市第一中学,贵州省 贵阳市 乌当区,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区
93,天津市静海县第一中学,天津市静海县第一中学,天津市 静海区,市重点,公办,中学,天津市静海县地纬路中段,022-68600800,天津市,天津市,静海区
94,上海市曹杨第二中学,上海市曹杨第二中学,上海市 普陀区,市重点,公办,中学,上海市普陀区梅川路160号,021-62548322  62853210 62548645,上海市,上海市,普陀区
95,新疆生产建设兵团第二中学,新疆生产建设兵团第二中学,新疆 乌鲁木齐市,省重点,公办,中学,新疆乌鲁木齐市五星南路376号,0991-2633933  0991-2630704,新疆,乌鲁木齐市,
96,海南中学,海南中学,上海市 虹口区,普通,公办,中学,上海市虹口区百官街1号,63242016,上海市,上海市,虹口区
97,上海外国语大学附属外国语学校,上海外国语大学附属外国语学校,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
97,上海外国语大学附属外国语学校,上海外国语大学附属外国语学校,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
98,上海外国语大学附属浦东外国语学校,上海外国语大学附属浦东外国语学校,上海市 浦东新区,市重点,公办,中学,上海市浦东区达尔文路91号,021-58550028,上海市,上海市,浦东新区
99,曲靖第一中学,曲靖一中,云南省 曲靖市 麒麟区,省重点,公办,中学,云南省曲靖市麒麟区内环东路86号,0874-3122416,云南省,曲靖市,麒麟区
100,呼和浩特市第二中学,呼和浩特市第二中学,内蒙古 呼和浩特市,省重点,公办,中学,内蒙古呼和浩特市呼伦南路1号,0471-6920044,内蒙古,呼和浩特市,
