集团名称,牵头单位,主管机构,成员数据来源,链接
广州二中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广铁一中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州外国语学校教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州幼师学前教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
五中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
南武教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
海珠区第二实验小学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
真光教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州一中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州十六中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州体育东教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州华阳教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州培英中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
仲元中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
南沙小学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州南海中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
番禺中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
金隆小学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州市黄埔区怡园教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
增城区诚善教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州市第八十六中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
培正教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广大附中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州六中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州市第七中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
四中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
西外教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州天河外国语教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广州市六十五中教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
广东第二师范学院实验教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
秀全中学教育集团,,广东省，广州市,微信公众号：私家探校（2022-12-05 19:16）,https://mp.weixin.qq.com/s?__biz=MzA3NzUxMDEwNw==&mid=2649690691&idx=1&sn=17dc3a13884b20449feae0e587fab5b0&chksm=874b56f7b03cdfe1e8dcf711e0ec86f0c20820d36741979fae2abed61f8361b3e20258a3a4b6&scene=27
百外教育集团(民办),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
民治中学教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
龙华高级中学教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
龙城高级中学教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
龙岗区外国语学校(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
香港中文大学(深圳)附属学校(教育集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
宝安中学(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
新安中学(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
翠园教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
罗外教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
螺岭教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
翠竹教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
翠北教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
锦田教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
红岭教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
荔园教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
福田区实验教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
荔园外国语教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
明德实验学校(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
蛇口育才教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
南山外国语学校(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
南山实验教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
南山区第二外国语学校,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
南方科技大学教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
南山区文理实验学校（集团）,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
深圳大学附属教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
深圳中学教育共同体,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
深圳实验教育集团,,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
深圳外国语学校(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
深圳高级中学(集团),,广东省，深圳市,搜狐,https://learning.sohu.com/a/509122023_120086885
格致教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
格致教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
格致教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
格致教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
格致教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
格致教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
大同教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
大同教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
大同教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
大同教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
大同教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
大同教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
向明教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
向明教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
向明教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
向明教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市建平教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市进才教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市洋泾教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市洋泾教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市洋泾教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市洋泾教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市洋泾教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市洋泾教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区川中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
浦东新区南汇一中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华二浦东教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
行知教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
行知教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
行知教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
行知教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
行知教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗店教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗店教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗店教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
罗店教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海大学基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海大学基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海大学基础教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
世外宝山教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
世外宝山教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
宝山区陈伯吹教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海音乐学院实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海音乐学院实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海音乐学院实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海音乐学院实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海音乐学院实验学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市鞍山实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市鞍山实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市鞍山实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市鞍山实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区教师进修学院附属学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区教师进修学院附属学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区教师进修学院附属学校教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
上海市杨浦区控江中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
成功教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
成功教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
成功教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
成功教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
风华初级中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
风华初级中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
崇明东门中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
崇明东门中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
崇明实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
崇明实验中学教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
复兴教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
复兴教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
复兴教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
复兴教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华师大一附中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
华师大一附中教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
鲁迅教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
鲁迅教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
北郊教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
北郊教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
南模教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
南模教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
南模教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
南模教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
位育教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
位育教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
位育教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
位育教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
位育教育集团,,上海市,,https://zhuanlan.zhihu.com/p/276343574
