集团名称,牵头单位,集团类型,主管机构,成员数据来源,链接,成员名称,成员类型
洛阳市偃师区实验小学教育集团,,基础教育,河南省，洛阳市,,,,
洛阳市瀍河回族区第一实验小学教育集团,,基础教育,河南省，洛阳市,,,,
平顶山市三六联校教育集团,,基础教育,河南省，平顶山市,,,,
平顶山市新华区胜利街乐福联校,,基础教育,河南省，平顶山市,,,,
安阳市人民大道小学教育集团,,基础教育,河南省，安阳市,,,,
安阳市铁西路小学教育集团,,基础教育,河南省，安阳市,,,,
林州市第二实验小学教育集团,,基础教育,河南省，安阳市,,,,
安阳市八中教育集团,,基础教育,河南省，安阳市,,,,
鹤壁市淇滨区嵩山小学教育共同体,,基础教育,河南省，鹤壁市,,,,
鹤壁市淇滨区湘江中学教育集团,,基础教育,河南省，鹤壁市,,,,
新乡市第十中学教育联盟共同体,,基础教育,河南省，新乡市,,,,
新乡市红旗区和平教育集团,,基础教育,河南省，新乡市,,,,
新乡市卫滨区人民路小学办学联合体,,基础教育,河南省，新乡市,,,,
获嘉县第一初级中学教育集团,,基础教育,河南省，新乡市,,,,
新乡市第一中学教育集团,,基础教育,河南省，新乡市,,,,
新乡市实验小学教育集团,,基础教育,河南省，新乡市,,,,
新乡市育才小学教育集团,,基础教育,河南省，新乡市,,,,
新乡市高新区道清路小学教育集团,,基础教育,河南省，新乡市,,,,
卫辉市第一完全小学教育集团,,基础教育,河南省，新乡市,,,,
博爱县松林小学教育集团,,基础教育,河南省，焦作市,,,,
焦作市东环小学教育集团,,基础教育,河南省，焦作市,,,,
沁阳市第一小学教育集团,,基础教育,河南省，焦作市,,,,
清丰县明月湖小学教育集团,,基础教育,河南省，濮阳市,,,,
濮阳市实验小学教育集团,,基础教育,河南省，濮阳市,,,,
濮阳市昆吾小学教育集团,,基础教育,河南省，濮阳市,,,,
许昌市文化街学校教育集团,,基础教育,河南省，许昌市,,,,
许昌市古槐教育集团,,基础教育,河南省，许昌市,,,,
许昌市学府街小学教育集团,,基础教育,河南省，许昌市,,,,
许昌市第一中学教育集团,,基础教育,河南省，许昌市,,,,
禹州市夏都学校教育集团,,基础教育,河南省，许昌市,,,,
漯河市实验中学教育集团,,基础教育,河南省，漯河市,,,,
漯河市实验小学教育集团,,基础教育,河南省，漯河市,,,,
漯河小学教育集团,,基础教育,河南省，漯河市,,,,
漯河市源汇区许慎小学教育集团,,基础教育,河南省，漯河市,,,,
漯河市郾城区郾城中学教育集团,,基础教育,河南省，漯河市,,,,
漯河市郾城区第二实验小学教育集团,,基础教育,河南省，漯河市,,,,
三门峡市外国语中学教育集团,,基础教育,河南省，三门峡市,,,,
灵宝市第四小学教育联盟,,基础教育,河南省，三门峡市,,,,
南阳市第十五小学校教育集团,,基础教育,河南省，南阳市,,,,
南阳市油田实验小学教育集团,,基础教育,河南省，南阳市,,,,
南阳市第十三中学校教育集团,,基础教育,河南省，南阳市,,,,
南阳市第三中学教育集团,,基础教育,河南省，南阳市,,,,
淅川县小学教育第一集团,,基础教育,河南省，南阳市,,,,
南阳市第二十一学校教育集团,,基础教育,河南省，南阳市,,,,
内乡县北城区初中教育集团,,基础教育,河南省，南阳市,,,,
南阳市第十二小学校教育集团,,基础教育,河南省，南阳市,,,,
南阳市第十四小学校教育集团,,基础教育,河南省，南阳市,,,,
商丘市前进小学教育集团,,基础教育,河南省，商丘市,,,,
商丘市第一实验小学教育集团,,基础教育,河南省，商丘市,,,,
商丘市文化路小学教育集团,,基础教育,河南省，商丘市,,,,
夏邑县第二初级中学教育集团,,基础教育,河南省，商丘市,,,,
柘城县实验小学教育集团,,基础教育,河南省，商丘市,,,,
商丘市第一回民小学教育集团,,基础教育,河南省，商丘市,,,,
信阳市胜利路学校教育集团,,基础教育,河南省，信阳市,,,,
信阳市河中学教育集团,,基础教育,河南省，信阳市,,,,
新县首府实验学校教育集团,,基础教育,河南省，信阳市,,,,
扶沟县实验小学教育集团,,基础教育,河南省，周口市,,,,
沈丘县新区实验小学教育集团,,基础教育,河南省，周口市,,,,
西华县实验小学教育集团,,基础教育,河南省，周口市,,,,
项城市第二初级中学教育集团,,基础教育,河南省，周口市,,,,
驻马店市第四中学教育集团,,基础教育,河南省，驻马店市,,,,
驻马店实验小学教育集团,,基础教育,河南省，驻马店市,,,,
驻马店市第十中学教育集团,,基础教育,河南省，驻马店市,,,,
济源市济水一中教育集团,,基础教育,河南省，济源示范区,,,,
巩义市子美小学教育集团,,基础教育,河南省，巩义市,,,,
兰考县兰阳街道第一小学教育集团,,基础教育,河南省，兰考县,,,,
汝州市实验小学教育集团,,基础教育,河南省，汝州市,,,,
长垣市第一初级中学教育集团,,基础教育,河南省，长垣市,,,,
邓州市花洲实验小学教育集团,,基础教育,河南省，邓州市,,,,
河南省第二实验中学教育集团,,基础教育,河南省，厅直属实验学校,,,,
河南省实验小学教育集团,,基础教育,河南省，厅直属实验学校,,,,
河南师范大学附属中学教育集团,,基础教育,河南省，厅直属实验学校,,,,
