成员名称,成员类型
山东中茂实业集团有限公司电力设备厂,企业
德州新奥环保机械有限公司,企业
山东中大,
德州德工机械有限公司,企业
山东公路机械厂,
德州宇力液压有限公司,企业
德州方向机厂有限责任公司,企业
亚龙科技集团有限公司,企业
东营科英激光电子有限公司,企业
青岛地恩地机电科技股份有限公司,企业
德州市交通开发投资公司,企业
淄博蓄电池厂,
山东同大新能源有限公司,企业
德州轴承有限公司,企业
山东现代教具有限公司,企业
德州同方科贸电脑公司,企业
德州时伟建筑有限公司,企业
德州又一村酿酒有限公司,企业
德州供水总公司三水厂,企业
德州市环球酿造有限公司,企业
山东将军集团开元纸业有限公司,企业
德州汇利服装有限公司,企业
山东新华会计师事务所,
山东康博实业有限公司,企业
山东德州双汇食品有限公司,企业
中韩合资德州天宇混凝土有限公司,企业
德州市国际经济技术合作公司,企业
德州资通物流公司,企业
山东山河装饰工程有限公司,企业
山东中粮鲁德食品有限公司,企业
山东格瑞德空调有限公司,企业
德州乐华陶瓷洁具有限公司,企业
谷神集团,
德州同联科技发展公司,企业
德州亿维信息科技有限公司,企业
北京新航建材有限公司,企业
成都鹏博士科技股份有限公司,企业
青岛中一佳时装有限公司,企业
中国北车集团,
天津南玻工程玻璃有限公司,企业
美的制冷家电集团,
歌尔声学股份有限公司,企业
首钢迁安矿业,
河北奥冠电源有限公司,企业
济南轻骑摩托车股份公司,企业
新宇航空制造有限公司,企业
江苏熔盛重工有限公司,企业
北新建材集团有限公司,企业
中粮储备粮聊城直属库,
中粮集团北京八达岭粮库,
中铁十四局集团隧道工程有限公司,企业
山东钢铁集团,
华北电科院北京煜邦电力技术有限公司,企业
山东胜通集团股份有限公司,企业
东营吉奥汽车有限公司,企业
三星重工（荣成）有限公司,企业
青岛明和高分子材料有限公司,企业
中冶天工机电公司,企业
中铁电气化局集团电气化公司,企业
中铁电气化局集团运管公司,企业
中通客车控股股份有限公司,企业
东港安全印刷股份有限公司,企业
山东齐星铁塔科技股份有限公司,企业
山东六丰机械工业有限公司,企业
滨海环保装备（天津）有限公司,企业
天津英利新能源有限公司,企业
华道数据处理（北京）有限公司,企业
中粮面业（秦皇岛）鹏泰有限公司,企业
中粮丰通（北京）食品有限公司,企业
中国建材研究总院,
浩信集团,
东营市亚通石化有限公司,企业
上海通用东岳有限公司,企业
柳州五菱汽车有限公司山东分公司,企业
龙口港集团有限公司,企业
齐鲁制药有限公司,企业
山东海山药业有限公司,企业
德州正岩基础工程有限公司,企业
德州瑞安工程监理有限公司,企业
山东国瓷功能材料股份有限公司,企业
贝塔斯曼欧唯特（中国）北京公司,企业
万控(天津)电气有限公司,企业
中国电信山东分公司10000号客户服务中心,企业
德州银行,
滨州泰裕麦业有限公司,企业
山东禹城汉能光伏有限公司,企业
斗山工程机械(中国)有限公司,企业
中国光大水务投资有限公司,企业
福田汽车山东多功能汽车厂,
通裕重工股份有限公司,企业
德州凯元热电有限责任公司,企业
金锣集团山松公司,企业
德州德药制药有限公司,企业
志诚动漫产业集团,
北京京港国际餐饮管理管理控股集团,
首钢实业公司,企业
山东潍坊润丰化工有限公司,企业
阳光财产保险股份公司山东省分公司网电管理部,企业
法国索迪斯（Sodexo）集团,
山东传洋集团有限公司,企业
天津港国际物流发展有限公司,企业
上海谦福商贸有限公司总经理,企业
博宁福田智能通道设备（青岛）有限公司,企业
生命人寿保险股份有限公司副总经理,企业
北京通用航空产业基地投资控股有限公司,企业
山东友泰科技有限公司,企业
青岛鼎信通讯股份有限公司,企业
龙口农村商业银行,
青岛特锐德电气股份有限公司,企业
亚马逊中国天运营中心,
鲁泰集团,
华拓数码科技有限公司,企业
当当网,
青岛华东工程机械有限公司,企业
山东省地质测绘院,
亚马逊中国北京运营中心,
河北省通信建设有限公司,企业
天津人寿理财中心,
山东同力液压装备有限公司,企业
山东潍坊润丰化工有限公司,企业
山东东明石化集团有限公司,企业
