成员名称,成员类型
广州珠江啤酒股份有限公司,企业
瀚蓝环境股份有限公司,企业
广州市格林德森商贸发展有限公司,企业
广东鼎湖山泉有限公司,企业
广州珠江钢琴集团股份有限公司,企业
广东工业设计城发展有限公司,企业
广州悦己文化传播有限公司,企业
贵州领略农产品大数据有限公司,企业
深圳市固有色数码技术有限公司,企业
珠海红塔仁恒包装股份有限公司,企业
广东十二岭酒业有限公司,企业
广州玖的数码科技有限公司,企业
北京优联信驰文化发展有限公司,企业
广州市定锐职业技能培训有限公司,企业
欧界（北京）科技有限公司,企业
广州包装印刷集团有限责任公司,企业
广州美东产业园管理有限公司,企业
广东穗博企业咨询有限公司,企业
广东伊丽汇科技美容有限公司,企业
重庆飞亚实业有限公司,企业
佛山华数机器人有限公司,企业
广州市扬海数码科技有限公司,企业
广东泰格威机器人科技有限公司,企业
中山市得力雪食品有限公司,企业
广州元则网络科技有限公司,企业
广州动静界管理咨询有限公司,企业
广东雪莱特光电科技股份有限公司,企业
广州合智创享信息科技有限公司,企业
贵州省仁怀市茅台镇厚德酒业有限公司,企业
广州新堡声音响设备有限公司,企业
珠海市派特尔科技股份有限公司,企业
佛山市佳威节能环保设备有限公司,企业
广州市嘉卉园林绿化建筑工程有限公司,企业
深圳华数机器人有限公司,企业
江苏金晖墨粉有限公司,企业
立讯精密工业股份有限公司,企业
四川高地工程设计咨询有限公司,企业
广州市仁创环境科技有限公司,企业
唯品会（中国）有限公司,企业
广州汽车集团股份有限公司,企业
玖龙纸业（控股）有限公司,企业
深圳市讯方技术股份有限公司,企业
浙江华为通信技术有限公司,企业
保发集团国际控股有限公司,企业
广州力航培训有限公司,企业
广州师兄师弟汽车科技有限公司,企业
广州宝森汽车销售服务有限公司,企业
广东维中检测技术有限公司,企业
广东头狼教育科技有限公司,企业
广州天创食品配料有限公司,企业
广州长智清研教育科技有限公司,企业
广东卡达克汽车科技有限公司,企业
广州汇标检测技术中心,企业
广州市宝桃食品有限公司,企业
广州瀚客商务咨询有限公司,企业
广州斯旺莱电子科技有限公司,企业
深圳市雷诺表业有限公司,企业
广州轻机机械设备有限公司,企业
掌智通（广东）智能科技有限公司,企业
广州市瑞伦科技有限公司,企业
广州市新邦高分子材料有限公司,企业
中储粮油脂工业东莞有限公司,企业
好丽友食品有限公司,企业
广东麦田食品有限公司,企业
广州齐生物工程设备有限公司,企业
广东天普生化医药股份有限公司,企业
东莞大地食品有限公司,企业
广东兴亿海洋生物工程有限公司,企业
江门市三清环境技术工程有限公司,企业
东莞市南城南方物流限公司,企业
中国南方航空股份有限公司,企业
广州市非谱计算机科技有限公司,企业
广州舒泰生物技术有限公司,企业
佛山市顺德区嘉进包装印刷有限公司,企业
北京北大方正电子有限公司,企业
广州霞光技研有限公司,企业
深圳市精细达机电有限公司,企业
广东通科电子技术有限公司,企业
广东安顺电梯工程有限公司,企业
广州市雷之诺食品实业有限公司,企业
东莞市金娃食品工业有限公司,企业
广州柯内特环境科技发展有限公司,企业
广东建科建筑工程技术开发有限公司,企业
广州市第二市政工程有限公司,企业
海南亿德食品有限公司,企业
联积电子（深圳）有限公司,企业
广州联图电子科技有限公司,企业
鹤山市文华酒店有限公司,企业
广州金和物业有限公司,企业
广州市视高电子技术有限公司,企业
佛山市顺德区大汉园景有限公司,企业
四会市金圆回转支承有限公司,企业
佛山南海维尔乐饮品有限公司,企业
广州市真地信息技术有限公司,企业
深圳市露珠园园林景观设计有限公司,企业
广东诺维信息发展有限公司,企业
广州市中陵信息科技有限公司,企业
江苏豪蓓特食品化学有限公司,企业
广州植之元油脂有限公司,企业
广州珠丰彩印纸品有限公司,企业
中山市智力多食品有限公司,企业
广州市中大广利信息科技实业有限公司,企业
东莞市绿源水务有限公司,企业
广州天际展览工程有限公司,企业
佛山市威动供应链有限公司,企业
广州市盛兴科技有限公司,企业
新太科技股份有限公司,企业
广州市盛思广告有限公司,企业
广东环回科技有限公司,企业
广州致美斋食品有限公司,企业
增城市汇科科技有限公司,企业
广州市贤俊龙彩印有限公司,企业
福鑫电器实业有限公司,企业
广州穗润坊食品有限公司,企业
佛山市鼎天保护膜有限公司,企业
广州政广和企业顾问有限公司,企业
华为技术有限公司,企业
广州市美恒印刷有限公司,企业
广州市轻工职业学校,院校
广东省轻工职业技术学校,院校
广东省轻工高级技师学校,院校
佛山市南海区信息技术学校,院校
广州市信息工程职业学校,院校
佛山科学技术学院,院校
大兴安岭职业技术学院,院校
毕节工业职业技术学院,院校
韩山师范学院,院校
广东石油化工学院,院校
广东第二师范学院,院校
仲恺农业工程学院,院校
惠州学院,院校
广东轻工职业技术学院,院校
汕头职业技术学院,院校
广东省皮革协会,行业协会
佛山市建材行业协会,行业协会
广东省糖业协会,行业协会
广东省包装技术协会,行业协会
广东省鞋业行业协会,行业协会
佛山市汽车行业协会,行业协会
广东省玩具协会,行业协会
广东省造纸行业协会,行业协会
广东省家用电器行业协会,行业协会
佛山市五金机电行业协会,行业协会
佛山市南海区桂城高新人才协会,行业协会
广东省印刷复制业协会,行业协会
广东省物流行业协会,行业协会
佛山市南海区南海高新区总商会,行业协会
佛山市南海区照明行业协会,行业协会
佛山市南海区印刷包装业协会,行业协会
佛山市南海区人力资源协会,行业协会
广东省食品和包装机械行业协会,行业协会
广州市机动车维修行业协会,行业协会
广州市出版印刷行业协会,行业协会
广东省跨境电子商务协会,行业协会
广州大数据行业协会,行业协会
广州市四海民营企业家协会,行业协会
广州市汽车服务业协会,行业协会
广东省机器人协会,行业协会
广东省塑料工业协会,行业协会
广东省钟表行业协会,行业协会
中国五金交电化工商业协会,行业协会
广东省工业设计协会,行业协会
中国进出口商品交易会,行业协会
佛山市南海区环境科学学会,科研机构
广东省品牌研究会,科研机构
广东省化妆品学会,科研机构
佛山市南海区广工大数控装备协同创新研究院,科研机构
广东省造纸研究所,科研机构
广州市番禺区菲逊服装技术研究院,科研机构
广东产品质量监督检验研究院,科研机构
