成员名称,成员类型,成员级别
潍坊市产品质量监督检验所,,理事单位
潍坊诺达药业有限公司,企业,理事单位
山东亚康药业股份有限公司,企业,理事单位
济南维希尔生物技术有限公司,企业,理事单位
山东华尔康生物技术有限公司,企业,理事单位
山东鲁港福友药业有限公司,企业,理事单位
潍坊富邦药业有限公司,企业,理事单位
山东广元药业科技有限公司,企业,理事单位
山东瑞力生药业有限公司,企业,理事单位
颁尼菲克（山东）生物科技有限公司,企业,理事单位
山东天宇生物科技有限公司,企业,理事单位
山东百德生物科技有限公司,企业,理事单位
临沭县职业中等专业学校,,理事单位
甘孜州职业技术学校,,理事单位
平度市职业中等专业学校,,理事单位
临沂市农业学校（莒南县职业教育中心）,,理事单位
成武县职业技术教育中心,,理事单位
东明县职业中等专业学校,,理事单位
莘县职业中等专业学校,,理事单位
潍坊市畜牧检测中心,,理事单位
