成员名称,成员类型,成员级别
浙江中盈瑞博科技有限公司,企业,一般理事单位
浙江禾城工程管理有限公司,企业,一般理事单位
浙江圣普新能源科技有限公司,企业,一般理事单位
浙江亚特电器有限公司,企业,一般理事单位
浙江华年电机股份有限公司,企业,一般理事单位
浙江创智科技有限公司,企业,一般理事单位
浙江虹越花卉有限公司,企业,一般理事单位
浙江康桥康嘉汽车有限公司,企业,一般理事单位
浙江融信科技发展有限公司,企业,一般理事单位
海盐县华凌皮具服饰有限公司,企业,一般理事单位
嘉北街道阳光社区,,一般理事单位
嘉兴三珍斋食品有限公司,企业,一般理事单位
嘉兴大运河景观有限公司,企业,一般理事单位
嘉兴中博科技信息有限公司,企业,一般理事单位
嘉兴市大运河生态牧业有限责任公司,企业,一般理事单位
嘉兴市天香花苑花卉有限公司,企业,一般理事单位
嘉兴市计算机研究所有限公司,企业,一般理事单位
嘉兴市东和传媒有限公司,企业,一般理事单位
嘉兴市东信汽车销售有限公司,企业,一般理事单位
嘉兴市华严花边织造有限公司,企业,一般理事单位
嘉兴市兴和进出口有限公司,企业,一般理事单位
嘉兴市兴球信息技术有限公司,企业,一般理事单位
嘉兴市园林绿化工程公司,企业,一般理事单位
嘉兴市良友制衣有限公司,企业,一般理事单位
嘉兴市国科京禾电子有限公司,企业,一般理事单位
嘉兴市罗星化工有限公司,企业,一般理事单位
嘉兴市凯瑞汽车销售服务有限公司,企业,一般理事单位
嘉兴市香溢大酒店有限责任公司,企业,一般理事单位
嘉兴市恒硕文具制造有限公司,企业,一般理事单位
嘉兴市通泰科技有限公司,企业,一般理事单位
嘉兴市禄鼎记农林科技有限公司,企业,一般理事单位
嘉兴市锦丰纺织整理有限公司,企业,一般理事单位
嘉兴市新国鸿汽车销售服务有限公司,企业,一般理事单位
嘉兴市嘉绢制衣有限公司,企业,一般理事单位
嘉兴市潜福食品有限公司,企业,一般理事单位
嘉兴市澳杰进出口有限公司,企业,一般理事单位
嘉兴永乐家电有限公司,企业,一般理事单位
嘉兴红太阳饲料有限公司,企业,一般理事单位
嘉兴苏宁电器有限公司,企业,一般理事单位
嘉兴国际旅行社有限公司,企业,一般理事单位
嘉兴欣龙染整有限公司,企业,一般理事单位
嘉兴顺丰运输有限公司,企业,一般理事单位
嘉兴信元精密模具科技有限公司,企业,一般理事单位
嘉兴美之奥农业科技有限公司,企业,一般理事单位
嘉兴铁哥们企业管理有限公司,企业,一般理事单位
嘉兴曼德尼服饰有限公司,企业,一般理事单位
嘉兴淞海报关有限公司,企业,一般理事单位
嘉兴博润会计事务有限公司,企业,一般理事单位
嘉兴富胜达染整有限公司,企业,一般理事单位
嘉兴锦诚国际货运代理有限公司,企业,一般理事单位
嘉兴嘉冶成套设备制造有限公司,企业,一般理事单位
平湖市技工学校,,一般成员单位
嘉兴市建筑行业协会,行业协会,一般成员单位
嘉兴市南湖区餐饮行业协会,行业协会,一般成员单位
嘉兴市照相婚庆行业商会,,一般成员单位
嘉兴船舶行业协会,行业协会,一般成员单位
千代田电子（嘉兴）有限公司,企业,一般成员单位
平湖市华海造船有限公司,企业,一般成员单位
东海橡塑（嘉兴）有限公司,企业,一般成员单位
汇信进出口集团股份有限公司,企业,一般成员单位
民丰特种纸股份有限公司,企业,一般成员单位
浙江日立解决方案软件服务有限公司,企业,一般成员单位
浙江中达轴承有限公司,企业,一般成员单位
浙江生辉照明有限公司,企业,一般成员单位
浙江西塘旅游文化发展有限公司,企业,一般成员单位
浙江秀洲建设有限公司,企业,一般成员单位
浙江国贸天堃进出口有限公司,企业,一般成员单位
浙江欣欣饲料股份有限公司,企业,一般成员单位
浙江新正方实业股份有限公司,企业,一般成员单位
浙江新联工程管理咨询有限公司,企业,一般成员单位
浙江嘉宇工程管理有限公司,企业,一般成员单位
海宁爱朗服装有限公司,企业,一般成员单位
嘉兴中瑞生物科技有限公司,企业,一般成员单位
嘉兴市飞龙船舶技术服务有限公司,企业,一般成员单位
嘉兴市天天假期旅行社有限公司,企业,一般成员单位
嘉兴市天虹百货有限公司,企业,一般成员单位
嘉兴市禾东船业有限责任公司,企业,一般成员单位
嘉兴市伟佳船舶有限公司,企业,一般成员单位
嘉兴市佳宏电声科技有限公司,企业,一般成员单位
嘉兴市经典文苑凯悦摄影有限公司,企业,一般成员单位
嘉兴市通洋船舶机械设备有限公司,企业,一般成员单位
嘉兴市骏力服装有限公司,企业,一般成员单位
嘉兴市维高精工有限公司,企业,一般成员单位
嘉兴市富兴畜禽有限公司,企业,一般成员单位
嘉兴市锦佳船舶制造有限公司,企业,一般成员单位
嘉兴市锦泰电气有限公司,企业,一般成员单位
嘉兴永量电池配件有限公司,企业,一般成员单位
嘉兴红忠钢板加工有限公司,企业,一般成员单位
嘉兴金航船舶设计有限公司,企业,一般成员单位
嘉兴科技城管理委员会,,一般成员单位
嘉兴领尚纺织品有限公司,企业,一般成员单位
嘉善县翠南船舶修造有限公司,企业,一般成员单位
