中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
湖北省孝感市工业学校,湖北省 孝感市,全国重点,公办,职业学校,湖北省孝感市城站路235号,0712-2880524,湖北省,孝感市,
四川省生物科技学校,四川省 成都市 郫都区,全国重点,公办,职业学校,四川省成都市郫县县城红光路18号,028-86557536  15181050243,四川省,成都市,郫都区
青岛航空职业技术学校,山东省 青岛市 经济技术开发区,省重点,公办,职业学校,山东省青岛西海岸新区黄河中路388号,0532-58718085    58718086,山东省,青岛市,经济技术开发区
淄博职业学院,山东省 淄博市,全国重点,公办,职业学校,山东省淄博新区联通路西首,0533-2828000,山东省,淄博市,
上海市工商外国语学校,上海市 徐汇区,全国重点,公办,职业学校,上海市徐汇区百色路503号,021-64776468,上海市,上海市,徐汇区
湖南女子职业大学（湖南女子学院）,湖南省 长沙市,全国重点,公办,职业学校,湖南省长沙市井湾子中意一路132号,0731-2825010,湖南省,长沙市,
浙江金融职业学院,浙江省 杭州市,全国重点,公办,职业学校,浙江杭州下沙高教园东区学源街118号,0571-86739000,浙江省,杭州市,
南宁职业技术学院,广西 南宁市,全国重点,公办,职业学校,广西南宁市大学西路169号,0771-2029337,广西,南宁市,
广州民航职业技术学院,广东省 广州市 白云区,全国重点,公办,职业学校,广州市白云区向云西街10号,020-86120574,广东省,广州市,白云区
北京市求实职业学校（望京校区）,北京市 朝阳区,全国重点,民办,职业学校,北京市朝阳区望京北路20号,010-64391626 64391618,北京市,北京市,朝阳区
宁夏职业技术学院,宁夏 银川市 西夏区,全国重点,公办,职业学校,宁夏银川市西夏区文萃路宁夏职业教育园区,0951-2135023 2135053,宁夏,银川市,西夏区
安徽财贸职业学校,安徽省 合肥市,全国重点,公办,职业学校,安徽省合肥市翡翠路900号,0551-63865815,安徽省,合肥市,
武汉铁路职业技术学院,湖北省 武汉市 江夏区,省重点,公办,职业学校,武汉市江夏区藏龙大道特1号,027-51168641,湖北省,武汉市,江夏区
福建信息职业技术学院,福建省 福州市 鼓楼区,全国重点,公办,职业学校,福建省福州市鼓楼区福飞路106号,0591-87851280,福建省,福州市,鼓楼区
兰州石化职业技术学院,甘肃省 兰州市 西固区,省重点,公办,职业学校,甘肃省兰州市西固区山丹街1号,0931-7941284,甘肃省,兰州市,西固区
石家庄科技信息职业学院,河北省 石家庄市,省重点,公办,职业学校,石家庄市红旗大街南端学院路2号,0311-83819756,河北省,石家庄市,
上海行健职业学院,上海市 静安区,全国重点,公办,职业学校,上海市原平路55号,021-56075555,上海市,上海市,静安区
吉林艺术学院附属艺术学校,吉林省 长春市,全国重点,公办,职业学校,吉林长春市建设街2663号,0431-5643220,吉林省,长春市,
郑州理工职业学院,河南省 郑州市 惠济区,全国重点,公办,职业学校,河南省郑州市龙湖大学城南107国道西侧,0371-68506666,河南省,郑州市,惠济区
九江职业技术学院,江西省 九江市,全国重点,公办,职业学校,江西省九江市十里大道1188号,0792-8262600,江西省,九江市,
宁夏理工学院,宁夏 石嘴山市,全国重点,民办,职业学校,宁夏石嘴山市大武口区山水大道学院路1号,0952-2210016,宁夏,石嘴山市,
湖南财经高等专科学校（湖南财政经济学院）,湖南省 长沙市,省重点,公办,职业学校,湖南省长沙市枫林二路139号　,,湖南省,长沙市,
四川财经职业学院,四川省 成都市 龙泉驿区,省重点,公办,职业学校,成都市龙泉驿区驿都西路4111号,028-84642024,四川省,成都市,龙泉驿区
湖南环境生物职业技术学院,湖南省 长沙市,全国重点,公办,职业学校,湖南省衡阳市石鼓区望城路165号,0734-8591335,湖南省,长沙市,
上海电机学院,上海市 闵行区,全国重点,公办,职业学校,上海市闵行区江川路690号,021-64629982,上海市,上海市,闵行区
云南林业职业学院,云南省 昆明市 ,全国重点,公办,职业学校,云南省昆明市盘龙区金殿1号,0871-65015103,云南省,昆明市,
上海市工程技术管理学校（竖河职校）,上海市  崇明区,市重点,公办,职业学校,上海市崇明区竖新北路188号,021-59484358,上海市,,崇明区
广州番禺职业技术学院,广东省 广州市 番禺区,全国重点,公办,职业学校,广东省广州市番禺区沙湾镇市良路1342号,020-34874086,广东省,广州市,番禺区
漳州职业技术学院,福建省 漳州市,全国重点,公办,职业学校,福建省漳州市马鞍山路1号,0596-2660262,福建省,漳州市,
成都卫校（省卫校）,四川省 成都市 青羊区,全国重点,公办,职业学校,成都市羊市街鹦哥巷2号 望丛东路19号,028-86266736 86633539 65634060,四川省,成都市,青羊区
四川建筑职业技术学院,四川省 德阳市,全国重点,民办,职业学校,四川省德阳市嘉陵江西路4号,0838-2651997,四川省,德阳市,
广东省惠州商业学校,广东省 惠州市,全国重点,公办,职业学校,广东省惠州市江北文华二路86号,0752-2829158 2829100,广东省,惠州市,
北京铁路电气化学校,北京市 昌平区,全国重点,公办,职业学校,北京市昌平区南口镇道北文化路1号,"010-51025440 	      15810557057",北京市,北京市,昌平区
江西省民政学校,江西省 南昌市 青云谱区,全国重点,公办,职业学校,江西省南昌市青云谱区定山路98号,0791—5277283 85279510,江西省,南昌市,青云谱区
广州市土地房产管理职业学校,广东省 广州市 海珠区,全国重点,公办,职业学校,广东省广州市海珠区赤岗赤沙路12号,020-84091534,广东省,广州市,海珠区
山东商业职业技术学院（山东省商业学校）,山东省 济南市,全国重点,公办,职业学校,山东省济南市旅游路4516号,0531-86335888,山东省,济南市,
天津市第一轻工业学校,天津市 红桥区,市重点,公办,职业学校,天津市红桥区勤俭道24号,022-26370131,天津市,天津市,红桥区
重庆工业高级技术学校,重庆市 永川区,全国重点,公办,职业学校,重庆市渝北区（空港）桃源大道1000号,023-61879228,重庆市,重庆市,永川区
广西职业技术学院,广西 南宁市 江南区,省重点,公办,职业学校,广西南宁市江南区明阳工业园,0771-4212633,广西,南宁市,江南区
上海建桥学院,上海市 浦东新区,全国重点,民办,职业学校,上海市浦东新区康桥路1500号,021-58137788,上海市,上海市,浦东新区
深圳信息职业技术学院,广东省 深圳市 龙岗区,全国重点,公办,职业学校,深圳市龙岗区龙翔大道2188号,0755-89226360,广东省,深圳市,龙岗区
浙江水利水电专科学校,浙江省 杭州市 上城区,全国重点,公办,职业学校,浙江杭州下沙高教园区东区学林街583号,0571-86929012,浙江省,杭州市,上城区
沪东中华造船集团高级技工学校,上海市 浦东新区,省重点,公办,职业学校,上海市浦东区金桥路555号,021-50382020-505,上海市,上海市,浦东新区
海南职业技术学院,海南省,省重点,公办,职业学校,海南省海口市南海大道95号,0898-31930666,海南省,,
北京华文服装职业学校,北京市 丰台区,市重点,公办,职业学校,永外南木樨园6号楼 北京市丰台区和义西里职工大学,010-67231006,北京市,北京市,丰台区
厦门集美轻工业学校,福建省 厦门市 集美区,全国重点,公办,职业学校,福建省厦门市集美区杏前路22号,0592-6283333,福建省,厦门市,集美区
长沙航空职业技术学院（长沙航院）,湖南省 长沙市 天心区,全国重点,公办,职业学校,湖南省长沙市田心桥,0731-5473610,湖南省,长沙市,天心区
湖南铁道职业技术学院,湖南省 长沙市,全国重点,公办,职业学校,湖南省株洲市田心路18号,0733-2783888,湖南省,长沙市,
青岛工贸职业学校,山东省 青岛市 李沧区,全国重点,公办,职业学校,青岛市李沧区永年路25,0532-84627282  0532-84631488,山东省,青岛市,李沧区
福建船政交通职业技术学院,福建省 福州市 仓山区,全国重点,公办,职业学校,福建省福州市仓山区首山路112号,0591-83511759,福建省,福州市,仓山区
江苏省商贸职业学院,江苏省 南通市,全国重点,公办,职业学校,江苏省南通市江通路48号,0513-85238855,江苏省,南通市,
天津中华职业中等专业学校,天津市 和平区,全国重点,公办,职业学校,天津市荣安大街130号,022-27306187,天津市,天津市,和平区
重庆工商学校,重庆市 江津区,全国重点,公办,职业学校,重庆市江津区白沙镇马岗路2号,023-47333857,重庆市,重庆市,江津区
青岛市职业技术学院,山东省 青岛市,全国重点,公办,职业学校,山东省青岛经市市北区台东一路,0532-86105216,山东省,青岛市,
武汉职业技术学院,湖北省 武汉市 洪山区,全国重点,公办,职业学校,湖北省武汉市洪山区关山大道463号,027-87766779,湖北省,武汉市,洪山区
安徽省经济技术学校,安徽省 合肥市,全国重点,公办,职业学校,安徽省合肥市长江西路540号,0551-5561320,安徽省,合肥市,
海南外国语职业学院,海南省 三亚市,全国重点,公办,职业学校,海南省文昌市教育路178号,0898-63297287,海南省,三亚市,
深圳市职业技术学院,广东省 深圳市 ,全国重点,公办,职业学校,广东省深圳市南山区留仙大道2190号,0755-26731000,广东省,深圳市,
成都铁路运输学校,四川省 成都市 金牛区,全国重点,公办,职业学校,成都市金牛区沙湾路76号,028-67980317 69584650,四川省,成都市,金牛区
前郭县财政局财会职工学校,吉林省 辽源市,全国重点,公办,职业学校,吉林省前郭尔罗斯蒙古族自治前郭镇育才街,0438-2122285,吉林省,辽源市,
新乡烧烤烤鲜鱼培训,河南省 新乡市 卫滨区,全国重点,公办,职业学校,河南省新乡市解放路南路南桥派出所南临即到,13837303082,河南省,新乡市,卫滨区
安徽省劳动保护宣传教育中心职业技能培训,安徽省 合肥市,全国重点,公办,职业学校,长江路333号五楼,0551-2652003 王玮,安徽省,合肥市,
东华大学外语学院,上海市 长宁区,普通,公办,职业学校,延安西路1882号三主503室480信箱,021-62373575,上海市,上海市,长宁区
通榆县技工学校,吉林省,全国重点,公办,职业学校,吉林省通榆县开通镇,0436-4260775 李锐夫,吉林省,,
湖南省醴陵市华宇计算机专业学校,湖南省,全国重点,公办,职业学校,玉瓷北路,0733-32543252,湖南省,,
乐乐语言培训学校,上海市 闵行区,全国重点,公办,职业学校,古北新区裹昂花园荣华东道59弄4号59号304室,021-62788766,上海市,上海市,闵行区
芜湖县农广校,安徽省 芜湖市,全国重点,公办,职业学校,芜湖县农林大楼三楼,0553-8811150 王德霞,安徽省,芜湖市,
黑龙江南寻职业技术学校,黑龙江 双鸭山市,全国重点,公办,职业学校,新华书店三、四、五楼,0469-4242601,黑龙江,双鸭山市,
上海电视中等专业学校(总校),上海市 长宁区,普通,公办,职业学校,上海市长宁区安化路360号,021-62529950 62529432,上海市,上海市,长宁区
台湾崇仁医护管理专科学校,台湾省,普通,公办,职业学校,嘉义市东区卢厝里红毛埤217号,(05) 2773932 　2658880地址：嘉义市东区卢厝里红毛埤217号,台湾省,,
台湾新生醫護管理專科學校,台湾省,普通,公办,职业学校,桃园县龙潭乡中丰路高平段418号,886-3-4117578地址：桃园县龙潭乡中丰路高平段418号,台湾省,,
展沟达美服装学校,安徽省,全国重点,公办,职业学校,利辛县展沟镇,0558-8929532,安徽省,,
长沙湘味馆美食研发学校,湖南省 长沙市,普通,民办,职业学校,长沙市岳麓区望城坡商贸城2栋106～107号,15580920070,湖南省,长沙市,
上海市残疾人职业技能培训中心总部,上海市 长宁区,普通,公办,职业学校,上海市长宁区宣化路3号,021-62135896 62132632,上海市,上海市,长宁区
山东省淄博市盲人学校,山东省 淄博市,全国重点,公办,职业学校,淄博市张店区,0533-7568378,山东省,淄博市,
鞍山市高等职业专科学校,辽宁省 鞍山市,普通,公办,职业学校,,,辽宁省,鞍山市,
天津市华萃美术学校,天津市 河西区,全国重点,公办,职业学校,天津市河西区三水道南华萃美术学校,022-28340390,天津市,天津市,河西区
郧西县农广校,湖北省 十堰市,全国重点,公办,职业学校,郧西县南正街,0719-6227277,湖北省,十堰市,
新概念美发美容技能培训学校,天津市 河西区,全国重点,公办,职业学校,天津市河西区马场街三合里50号（佟楼邮局后）,022-24453240,天津市,天津市,河西区
博山党校,山东省 淄博市,普通,私立,职业学校,"博山区珑山路中段南侧,区委党校院内",4110399 4110321,山东省,淄博市,
湖北省力德职业培训中心,湖北省,县重点,民办,职业学校,湖北武汉洪山关山武汉职业技术学院东区,027-87767870,湖北省,,
济源市文化艺术学校,河南省,全国重点,公办,职业学校,文昌路北段（原东关小学）,0391-6628636,河南省,,
白城高级技工学校,吉林省,全国重点,公办,职业学校,白城市曙光西路13号,0436-3353352　 刘老师 林老师,吉林省,,
滨州医学院,山东省 淄博市,普通,私立,职业学校,淄博七中对面（山东大学蓝色牌子）,,山东省,淄博市,
通城县农广校,湖北省,全国重点,公办,职业学校,通城县隽水镇隽水大道146号,0715-4322801,湖北省,,
歌泽美容职业技能培训学校,四川省 成都市 锦江区,全国重点,公办,职业学校,四川省成都市锦江区总府路57号7楼,"13388176643   	      028-84702998",四川省,成都市,锦江区
三明市育英职业中学,福建省 三明市,全国重点,公办,职业学校,福建省三明市梅列区麒麟新村25幢,0598-5822373,福建省,三明市,
沙县农业机械化技术学校,福建省 三明市,全国重点,公办,职业学校,福建省沙县罗布,0598-5822430,福建省,三明市,
上海对外贸易学院,上海市,全国重点,公办,职业学校,上海市古北路620号,021－62745314,上海市,,
福建三明轻纺工业学校,福建省 三明市,全国重点,公办,职业学校,三明市新泉路8号,0-13950925995 吴子明,福建省,三明市,
平凉医学高等专科学校,甘肃省 平凉市,普通,公办,职业学校,平凉市柳湖路中段,0933-8612040  地址：平凉市柳湖路中段,甘肃省,平凉市,
潜山县农机化学校,安徽省 安庆市,全国重点,公办,职业学校,潜山县梅城镇舒州东路62号,0556-8921372 郭少军,安徽省,安庆市,
安徽省宣城市高级职业中学,安徽省,全国重点,公办,职业学校,宣州区梅溪路68号,0563-3022788 刘方国,安徽省,,
贵州省湄潭县职业中学,贵州省,普通,公办,职业学校,贵州省湄潭县职中（教育局）,0852-4225575,贵州省,,
贵州省安顺市民族师范学校,贵州省,全国重点,公办,职业学校,镇宁县城犀牛路,0853-6222510 杨晓曼、刘鹰,贵州省,,
扶余县永平乡职业中学,吉林省 辽源市,全国重点,公办,职业学校,吉林省扶余县永平乡,0438-5611328,吉林省,辽源市,
晋唐书画艺术学校,河南省,全国重点,公办,职业学校,农科路34号都市名座B座2单元102号,0371-65820522,河南省,,
大庆高等专科学校,黑龙江 大庆市,普通,公办,职业学校,世纪大道卡尔加里路7号,0459-5885647 0459-6325527地址：世纪大道卡尔加里路7号,黑龙江,大庆市,
北京航空航天大学法学院,北京市 海淀区,普通,公办,职业学校,北京市海淀区学院路37号,010-82315981,北京市,北京市,海淀区
南开大学现代远程教育学院,天津市 和平区,全国重点,公办,职业学校,天津市和平区大连道校区五楼南大远程办公室(大连道9号),022-23393603 王志宏,天津市,天津市,和平区
山东省淄博市直工业学校,山东省 淄博市,全国重点,公办,职业学校,淄博市临淄区齐兴路2号,0533-7311473,山东省,淄博市,
荆州职教中心劳动就业职业中专分校,湖北省,全国重点,公办,职业学校,荆州城郢都路294号,0736-8471457 姚君正、朱永坤,湖北省,,
中国科学院心理研究所,北京市 朝阳区,普通,公办,职业学校,,,北京市,北京市,朝阳区
贵池市高脊岭乡梅里初级职业中学,安徽省,全国重点,公办,职业学校,池州市郊秋浦河西畔,0566-2240105 吴宏富,安徽省,,
青岛市崂山区聋校,山东省 青岛市 市南区,全国重点,公办,职业学校,崂山区沙子口街道办事处南龙口村北,0532-8827775,山东省,青岛市,市南区
淄博市张店成人中专,山东省 淄博市,普通,私立,职业学校,山东省淄博市张店区南定镇政府东500米,0533-2981023,山东省,淄博市,
天津泰达足球职业学校,天津市 和平区,全国重点,公办,职业学校,天津市天津经济技术开发区第三大街22号,022-25320236,天津市,天津市,和平区
成都华普科技职业学校,四川省 成都市 都江堰,普通,公办,职业学校,都江堰青城山镇（太平镇）,,四川省,成都市,都江堰
长春市亦非电脑学校,吉林省 长春市,全国重点,公办,职业学校,长春市卫星路东 20 号,0431-4610248,吉林省,长春市,
十五冶金建筑公司技工学校,湖北省 黄石市,全国重点,公办,职业学校,黄石市老下陆,0714-5383988,湖北省,黄石市,
天津厨艺职业学校,天津市 南开区,全国重点,公办,职业学校,黄河道507号密云路交口,022-27649251 韩学文、闫玉琴,天津市,天津市,南开区
青岛科大技术专修学院,山东省 青岛市,全国重点,公办,职业学校,郑州路53号科大技术学院,0532-481352,山东省,青岛市,
宁夏工程机械学校,宁夏 银川市 西夏区,普通,公办,职业学校,德胜工业园新胜西路6号,0951-8988577,宁夏,银川市,西夏区
广播电视中等专业学校,山东省 青岛市 市北区,普通,公办,职业学校,青岛市市北区大连路16号,0532-82711449,山东省,青岛市,市北区
内蒙古大学艺术学院,天津市 和平区,全国重点,公办,职业学校,呼市新城区东风路960号,0471-4973202,天津市,天津市,和平区
湖南省常德三好音乐鼓校,湖南省 常德市,全国重点,公办,职业学校,人民中路 22 号（九芝堂医药大厦 7 楼）,0736-7250656,湖南省,常德市,
天津市政法管理干部学院,天津市 南开区,普通,公办,职业学校,天津市南开区水上公园路45号,022- 23361023,天津市,天津市,南开区
天津市南开体育学校,天津市 南开区,普通,公办,职业学校,天津市南开区三潭路165号,022- 60264371,天津市,天津市,南开区
天津工业大学,天津市 南开区,普通,公办,职业学校,天津市河东区成林道63号,022-24528000,天津市,天津市,南开区
河北（石家庄）广播电视学校,河北省 张家口市,省重点,公办,职业学校,河北省石家庄市南二环西路365号,0311-85041021/13315112018　,河北省,张家口市,
赤峰市艺术旅游学校,内蒙古 赤峰市,全国重点,公办,职业学校,赤峰市红山区解放街西段,0476-2209368 梁冰,内蒙古,赤峰市,
西安爱信诚潜能培训学校,陕西省 西安市,全国重点,公办,职业学校,陕西西安市文艺南路和平花园B座3楼,029-87898019 姜丰,陕西省,西安市,
广西南宁快康教育,广西 南宁市 西乡塘区,普通,公办,职业学校,明秀路187号,18776956596,广西,南宁市,西乡塘区
上海普陀室内设计培训学校,上海市 浦东新区,全国重点,民办,职业学校,上海多个校区，可就近安排学习，详情咨询请致电。,15821067520,上海市,上海市,浦东新区
河北商校,天津市 河北区,全国重点,公办,职业学校,河北区王串场正义道1号,022-46431876 吕学忠　胡龙昌,天津市,天津市,河北区
天津市宝坻区体育中学,天津市 宝坻区,普通,公办,职业学校,天津市宝坻区城关镇进京路刘辛庄宿舍北,022- 29241808,天津市,天津市,宝坻区
淄博市建筑工程公司技工学校,山东省 淄博市,全国重点,公办,职业学校,淄博市张店区,0533-2185575,山东省,淄博市,
山西师范大学教育与心理科学学院,山西省,全国重点,公办,职业学校,贡院街1号,0357-2051177,山西省,,
吕梁高等专科学校,山西省 吕梁市 离石区,普通,公办,职业学校,,,山西省,吕梁市,离石区
玉笛美容美发学校,天津市 河东区,全国重点,公办,职业学校,天津河东区十一经路73号增1号,022-84111550,天津市,天津市,河东区
陆家嘴聋哑学校,上海市 浦东新区,普通,公办,职业学校,上海市浦东区崂山路551弄40号,021-58353623,上海市,上海市,浦东新区
鄂尔多斯慧明厨艺学校,内蒙古 鄂尔多斯市 东胜区,普通,公办,职业学校,鄂尔多斯市东胜区伊化南路11号,0477-8530668,内蒙古,鄂尔多斯市,东胜区
贺州地区机电工程学校,广西 梧州市 苍梧县,普通,公办,职业学校,广西梧州市苍梧龙圩龙兴路62号,0774-2680005,广西,梧州市,苍梧县
山东省淄博市聋人学校,山东省 淄博市,全国重点,公办,职业学校,山东省淄博市张店区张南路96号,0533-2980440,山东省,淄博市,
安徽省凤台县农广校,安徽省 淮南市,全国重点,公办,职业学校,凤台县城关农水路,0554-8612303 鲍继龙,安徽省,淮南市,
上海博航进修学院,上海市 静安区,全国重点,公办,职业学校,共和新路1207号4A3楼,021-51003406  虞波,上海市,上海市,静安区
上海大学国际交流学院,上海市 静安区,普通,公办,职业学校,延长路149号莘远楼,021-56331836,上海市,上海市,静安区
米泉市成人职业教育学校,上海市 静安区,全国重点,公办,职业学校,北京市西城区南礼士路44号月坛商务中心A座513,0791-3760690,上海市,上海市,静安区
北京东日经典翻糖蛋糕培训学校,北京市 朝阳区,普通,民办,职业学校,北京市朝阳区泰禾文化大厦一层,1059428110,北京市,北京市,朝阳区
固始县玲丽时尚化妆培训中心,河南省 信阳市 固始县,县重点,民办,职业学校,蓼北路交通巷以东50米玲丽教育二楼,15037661948,河南省,信阳市,固始县
康复理疗培训技术学院,浙江省 杭州市 拱墅区,省重点,私立,职业学校,中华北路138号,17888255240,浙江省,杭州市,拱墅区
西藏民族学院,西藏 拉萨市,普通,公办,职业学校,陕西省咸阳市文汇路,0910-33755000,西藏,拉萨市,
长春市宽城区教师进修学校,吉林省 长春市 宽城区,全国重点,公办,职业学校,吉林省长春市宽城区天津路12号,4311797005,吉林省,长春市,宽城区
江门市旅游职业技术学校,广东省 江门市 蓬江区,省重点,公办,职业学校,江门市蓬江区杜阮南田东路97号,0750-3676113 18922020062,广东省,江门市,蓬江区
陕西省唐信足球职业学校,陕西省 西安市,普通,公办,职业学校,西安市未央区谭家乡赵村围墙,029-86491316 齐燕,陕西省,西安市,
超时尚国际美容美发化妆美甲培训学校,广东省 深圳市 龙岗区,市重点,民办,职业学校,深圳市龙岗区坂田市场大新百货正对面二楼,0755-28761678,广东省,深圳市,龙岗区
徐汇区第二青少年业余体育学校,上海市 徐汇区,普通,公办,职业学校,上海市徐汇区天钥桥路400号,,上海市,上海市,徐汇区
嵩山少林寺第一武术学院,河南省,全国重点,公办,职业学校,少林大道市标东200米,0371-62867866,河南省,,
颍上县新庙高级职业中学,安徽省,全国重点,公办,职业学校,颍上县黄桥镇新庙,0558-4215810,安徽省,,
连云港市东海县中天驾驶员培训有限公司,江苏省 连云港市 东海县,全国重点,公办,职业学校,东海县环城东路鲁农机市场对面,0518-7299999,江苏省,连云港市,东海县
北京六一国际武术学校,北京市 海淀区,全国重点,公办,职业学校,定慧西里17号,010-88149516,北京市,北京市,海淀区
安徽艺鼎画社美术高考培训中心,安徽省 合肥市,全国重点,公办,职业学校,屯溪路与宣城路交叉路口,0551-4665442,安徽省,合肥市,
宣恩县委党校,湖北省 恩施 恩施市,全国重点,公办,职业学校,沿河南路320号,0718-5832989,湖北省,恩施,恩施市
安徽宣城市第十中学(原宣城双桥职高）,安徽省,全国重点,公办,职业学校,宣城市双溪办事处,0563-3364011 刘学忠,安徽省,,
吉林体育学院,吉林省 长春市 九台市,普通,公办,职业学校,长春市自由大路2476号,0431-85267942,吉林省,长春市,九台市
广德县横山高级职业中学,安徽省,普通,公办,职业学校,宣城桃州镇西门横山,0563-6050866,安徽省,,
云南省工业高级技校,云南省,全国重点,公办,职业学校,曲靖市麒麟西路392号,0874-3320804,云南省,,
武穴市工业技术培训学校,湖北省 襄阳市 保康县,全国重点,公办,职业学校,武穴市保康路,6234840,湖北省,襄阳市,保康县
濮阳市职业中等专业学校,河南省,全国重点,公办,职业学校,濮阳市石化路西段,8251058  8250407,河南省,,
承德石油高等专科学校,河北省 承德市,全国重点,公办,职业学校,河北省承德市双桥区南园路9号,0314-2157250,河北省,承德市,
