,中学名称,地区,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置
42,长沙市雅礼中学,湖南省 长沙市 雨花区,省重点,公办,中学,湖南省长沙市雨花区劳动西路428号,0731-5532038,湖南省,长沙市,雨花区
43,河南省实验中学,河南省 郑州市 金水区,省重点,公办,中学,河南省郑州市金水区农业路10号（河南博物院西200米）,0371-63943667,河南省,郑州市,金水区
44,中国人民大学附属中学（人大附中）,北京市 海淀区,全国重点,公办,中学,北京市海淀区中关村大街37号,010-62512094  62515003,北京市,北京市,海淀区
45,南京师范大学附属中学（南师附中）,江苏省 南京市 鼓楼区,省重点,公办,中学,南京市鼓楼区察哈尔路37号（校本部）,0527-82898588,江苏省,南京市,鼓楼区
46,华南师范大学附属中学（华师附中）,广东省 广州市 天河区,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区
47,湖北黄冈中学,湖北省 黄冈市 黄州区,全国重点,公办,中学,湖北黄冈开发区明珠大道,0713-8838888,湖北省,黄冈市,黄州区
48,武汉外国语学校（武汉外校）,湖北省 武汉市 江汉区,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区
49,宁夏银川一中,宁夏 银川市 兴庆区,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区
50,西安高新第一中学（高新一中）,陕西省 西安市 高新区,省重点,民办,中学,陕西省西安市高新区唐延路23号（西安海关南侧）,029-88323755,陕西省,西安市,高新区
51,海南省海南中学,海南省 海口市 琼山区,省重点,公办,中学,海南省海口市琼山区府城镇大路街板桥路,0898-65885933,海南省,海口市,琼山区
52,西安交通大学附属中学（西安交大附中）,陕西省 西安市 碑林区,省重点,公办,中学,陕西省西安市兴庆南路135号/西安市雁翔路99号,029-82668353,陕西省,西安市,碑林区
53,无锡学而思教育有限公司洛社分公司,江苏省 无锡市 惠山区,全国重点,民办,中学,洛社天奇城1-118民生银行往东50米,18626326075,江苏省,无锡市,惠山区
54,成都七中（林荫校区）,四川省 成都市 武侯区,全国重点,公办,中学,成都市林荫中街1号,028-85442231,四川省,成都市,武侯区
55,北京师范大学第二附属中学（师大二附）,北京市 西城区,市重点,公办,中学,北京市西城区新街口外大街12号,010-62354504,北京市,北京市,西城区
56,江苏省天一中学,江苏省 无锡市 锡山区,省重点,公办,中学,江苏省无锡锡山区东亭二泉中路18号,0510-88223001,江苏省,无锡市,锡山区
57,成都市树德中学（原成都九中）,四川省 成都市 青羊区,省重点,公办,中学,成都市宁夏街树德里４号,028-86697520,四川省,成都市,青羊区
58,天津市第一中学（天津一中）,天津市 和平区,市重点,公办,中学,天津市和平区西安道117号,022-23391126,天津市,天津市,和平区
59,河北衡水中学,河北省 衡水市 桃城区,全国重点,公办,中学,河北省衡水市英才路228号/南门口街128号  （东校区）程富路6号  　,0318-2126903,河北省,衡水市,桃城区
60,山西大学附属中学（山大附中）,山西省 太原市 小店区,省重点,公办,中学,山西省太原市小店区坞城西街9号,0351-7073436,山西省,太原市,小店区
61,青岛第二中学（青岛二中）,山东省 青岛市 崂山区,省重点,公办,中学,山东省青岛市崂山区松岭路70号,0532-88907255,山东省,青岛市,崂山区
62,长沙长郡中学,湖南省 长沙市 天心区,省重点,公办,中学,长沙市黄兴南路309号,0731-85287990,湖南省,长沙市,天心区
63,南宁市第二中学（南宁二中）,广西 南宁市 西乡塘区,省重点,公办,中学,广西南宁市新民路29号,0771--2804263,广西,南宁市,西乡塘区
64,南宁市第三中学,广西 南宁市 青秀区,省重点,公办,中学,广西南宁市青秀区青山路5号,0771--5311268,广西,南宁市,青秀区
65,华中师范大学第一附属中学（华师一附中）,湖北省 武汉市 东西湖区,全国重点,公办,中学,湖北省武汉市东湖高新技术开发区汤逊湖北路特1号,027—87920883,湖北省,武汉市,东西湖区
66,石家庄市第二中学（河北省实验中学）（高中部）,河北省 石家庄市 新华区,省重点,公办,中学,河北省石家庄市兴凯路187号,0311--7022964 7022492,河北省,石家庄市,新华区
67,复旦大学附属中学（复旦附中）,上海市 杨浦区,市重点,公办,中学,上海市杨浦区国权路383号,021-65640560,上海市,上海市,杨浦区
68,上海市七宝中学,上海市 闵行区,市重点,公办,中学,上海市徐汇区农南路22号,021-64592100,上海市,上海市,闵行区
69,上海张江集团学校,上海市 浦东新区,市重点,民办,中学,上海市浦东区浦东张江高科技园区藿香路38号,021-50802612 021-50278818-8005,上海市,上海市,浦东新区
70,华东师范大学第二附属中学（华师大二附中）,上海市 浦东新区,市重点,公办,中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,上海市,上海市,浦东新区
71,南京外国语学校（高中）,江苏省 南京市 玄武区,省重点,民办,中学,江苏省南京市玄武区北京东路30号,025-84555412,江苏省,南京市,玄武区
72,深圳中学,广东省 深圳市 罗湖区,省重点,公办,中学,广东省深圳市罗湖区人民北路深中街18号,0755-82222572,广东省,深圳市,罗湖区
73,重庆市巴蜀中学,重庆市 渝中区,全国重点,公办,中学,重庆市渝中区北区路51号,023-63002371,重庆市,重庆市,渝中区
74,郑州外国语学校,河南省 郑州市 高新区,省重点,公办,中学,河南省郑州市高新技术开发区枫杨街与银屏路交叉口,0371-7987877 0371-67998111,河南省,郑州市,高新区
75,天津市耀华中学,天津市 和平区,全国重点,公办,中学,天津市和平区南京路106号,022-23394521,天津市,天津市,和平区
76,合肥市第一中学（合肥一中）,安徽省 合肥市 包河区,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区
77,长沙市第一中学（长沙一中）,湖南省 长沙市 开福区,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区
78,长沙市湘郡中学,湖南省 长沙市,省重点,公办,中学,湖南省长沙市岳麓区 月华街101号,0731-85207900,湖南省,长沙市,
79,青岛二中,山东省 青岛市 崂山区,省重点,公办,中学,山东省青岛市崂山区松岭路70号,0532-88907429,山东省,青岛市,崂山区
80,广东地勘局韶关地质中学,广东省 韶关市 武江区,省重点,公办,中学,广东省韶关市韶关钢铁集团第一中学,0751-8791872,广东省,韶关市,武江区
81,北京市海淀国际学校,北京市 海淀区,市重点,公办,中学,北京市海淀区旱河路368号-2,010-88438003,北京市,北京市,海淀区
82,武汉市武昌楚才实验中学,湖北省 武汉市 武昌区,省重点,公办,中学,湖北省武汉市武昌区南湖花园松涛苑,027-88010039,湖北省,武汉市,武昌区
83,天津第一零九中学,天津市 南开区,市重点,公办,中学,天津市南开区湖镜道1号,022-23616831 27406125,天津市,天津市,南开区
84,宁夏平罗中学,宁夏 石嘴山市 平罗县,省重点,公办,中学,宁夏回族自治区石嘴山市平罗县团结西路185,0952-6093109,宁夏,石嘴山市,平罗县
85,四川乐山一中,四川省 乐山市,省重点,公办,中学,四川省乐山市中区文星路280号,0833-2605588,四川省,乐山市,
86,南京市第三高级中学,江苏省 南京市 白下区,省重点,公办,中学,南京市白下区白下路117号,025-84506950  025-86642872,江苏省,南京市,白下区
87,上海复旦大学附属中学国际部,上海市 杨浦区,市重点,公办,中学,上海市杨浦区国权路384号,021-55520127 021-65107760,上海市,上海市,杨浦区
88,上海实验学校,上海市 浦东新区,市重点,公办,中学,上海市浦东新区东明路300号,021-50866819,上海市,上海市,浦东新区
89,上海市平和双语学校国际部,上海市 浦东新区,区重点,民办,中学,上海市浦东新区黄杨路261号,021-50310417 021-58541617,上海市,上海市,浦东新区
90,湖北省水果湖第一中学（水果湖一中）,湖北省 武汉市 武昌区,省重点,公办,中学,湖北省武汉市武昌区水果湖东湖路89号,027-87234438,湖北省,武汉市,武昌区
91,天津市第三十一中学,天津市 南开区,市重点,公办,中学,天津市南开区北马路339号,（022）27274528,天津市,天津市,南开区
92,上海市鲁迅中学,上海市 虹口区,区重点,公办,中学,上海市虹口区广中路132号,021-56901325,上海市,上海市,虹口区
93,深圳实验中学中学部,广东省 深圳市 福田区,市重点,公办,中学,深圳福田区百花六路深圳实验学校本部,0755-83361223,广东省,深圳市,福田区
94,上海市平和双语学校（高中部）,上海市 浦东新区,市重点,民办,中学,上海市浦东新区黄杨路261号,021-50310417 021-58541617,上海市,上海市,浦东新区
95,济宁育才中学,山东省 济宁市 市中区,省重点,公办,中学,山东省济宁市市中区洸河路26号,0537-2347831,山东省,济宁市,市中区
96,上海市民立中学,上海市 静安区,市重点,公办,中学,上海市静安区威海路681号,021-62531592,上海市,上海市,静安区
97,大连市第八中学,辽宁省 大连市 沙河口区,省重点,公办,中学,大连市沙河口区抚顺街永明巷12号,0411-84643343,辽宁省,大连市,沙河口区
98,上海市川沙中学,上海市 浦东新区,市重点,公办,中学,上海市浦东区川沙镇新川路324号,021-58981232   021-58921330,上海市,上海市,浦东新区
99,保定第一中学（保定一中）,河北省 保定市 北市区,市重点,公办,中学,河北保定河北省保定市三丰路1号,0312-2136544,河北省,保定市,北市区
100,淄博市张店区湖田中学,山东省 淄博市 张店区,省重点,公办,中学,山东省淄博市张店区湖光路3号,0533-2061015,山东省,淄博市,张店区
101,上海格致中学奉贤校区,上海市 黄浦区,市重点,公办,中学,上海市黄浦区广西北路66号,021-63510228,上海市,上海市,黄浦区
102,内蒙古北方重工集团三中,内蒙古 包头市 青山区,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562 传真：0472-3158680 地址：内蒙古包头市青山区青山路117号,内蒙古,包头市,青山区
103,北方重工集团第三中学（北重三中）,内蒙古 包头市 青山区,市重点,公办,中学,内蒙古包头市青山区青山路117号,0472-3135562,内蒙古,包头市,青山区
104,深圳罗湖外语学校高中部,广东省 深圳市 罗湖区,省重点,公办,中学,广东省深圳市罗湖区仙湖路与国威路交汇处,0755-25739870,广东省,深圳市,罗湖区
105,西安市自立中学（原西安铁三中）,陕西省 西安市 新城区,省重点,公办,中学,陕西省西安市新城区建强路,029-86519833,陕西省,西安市,新城区
106,上海外国语大学附属外国语学校（高中部）,上海市 虹口区,市重点,公办,中学,上海市虹口区中山北一路295号,021-65423105,上海市,上海市,虹口区
107,杭州市绿城育华学校,浙江省 杭州市 西湖区,省重点,民办,中学,浙江省杭州市西湖区文一西路532号,0571—88477542  88477990,浙江省,杭州市,西湖区
108,苏州市平江中学,江苏省 苏州市 沧浪区,市重点,公办,中学,江苏省苏州市沧浪区学士街389号 	 三新路,0512-67264378,江苏省,苏州市,沧浪区
109,招远市第一中学（招远一中）,山东省 烟台市 招远市,省重点,公办,中学,山东省烟台市招远市文化路12号,0535-8214002,山东省,烟台市,招远市
110,上海市民办上宝中学（初中）,上海市 闵行区,市重点,民办,中学,上海闵行区农谊路1号,021-54866016,上海市,上海市,闵行区
111,淄博市桓台县渔洋中学,山东省 淄博市 桓台县,省重点,公办,中学,山东省淄博市桓台县渔洋路1819号,0533-8212733,山东省,淄博市,桓台县
112,日喀则地区第一高级中学（日喀则一高）,西藏 日喀则地区,市重点,公办,中学,西藏自治区日喀则地区山东路23号,0892-8822415,西藏,日喀则地区,
113,平度市第九中学,山东省 青岛市 平度市,省重点,公办,中学,山东省青岛市平度市杭州路37号,0532-8335772,山东省,青岛市,平度市
114,上海市西中学,上海市 静安区,市重点,公办,中学,上海市静安区愚园路404号,021-62521018,上海市,上海市,静安区
115,铜陵十五中学,安徽省 铜陵市,省重点,公办,中学,安徽省铜陵市长江中路999号,0562-2121790,安徽省,铜陵市,
116,枣庄市第一中学东校（枣庄一中东校）,山东省 枣庄市 峄城区,省重点,公办,中学,山东省枣庄市峄城区宏学路68号,0632-711474,山东省,枣庄市,峄城区
117,齐齐哈尔实验中学,黑龙江 齐齐哈尔市 建华区,省重点,公办,中学,齐齐哈尔市建华区中华西路142号,0452-6162170,黑龙江,齐齐哈尔市,建华区
118,吉林市朝鲜族中学,吉林省 吉林市 昌邑区,省重点,公办,中学,吉林省吉林市昌邑区江湾路200号,0432—66101450,吉林省,吉林市,昌邑区
119,上海市复兴高级中学,上海市 虹口区,市重点,公办,中学,上海市虹口区车站南路28号,021-65606715,上海市,上海市,虹口区
120,吉林省延边第二中学（延边二中）,吉林省 延边 延吉市,省重点,公办,中学,吉林省延边朝鲜族自治州延吉市,,吉林省,延边,延吉市
121,枣庄市吴林中学,山东省 枣庄市 峄城区,省重点,公办,中学,山东省枣庄市峄城区王屯村,0632-7561720,山东省,枣庄市,峄城区
122,上海民办凯慧初级中学,上海市 杨浦区,市重点,民办,中学,上海市杨浦区大连路1530号,021-65025518,上海市,上海市,杨浦区
123,山西省长治市第二中学（长治二中）,山西省 长治市 ,省重点,公办,中学,山西省长治市府上街25号,0355-2024118,山西省,长治市,
124,盘锦市高级中学,辽宁省 盘锦市 ,省重点,公办,中学,辽宁省盘锦市兴隆台区科技大街,0427-2216222,辽宁省,盘锦市,
125,青海乐都县第一中学（乐都一中）,青海省 海东地区 乐都县,省重点,公办,中学,青海省海东地区乐都县仓门街,0972-8622484,青海省,海东地区,乐都县
126,上海民办华育中学（华育中学）,上海市 徐汇区,区重点,民办,中学,上海市徐汇区龙吟路99号（老校区-罗秀路99号（,021-55350909,上海市,上海市,徐汇区
127,上海市建青实验学校,上海市 长宁区,市重点,公办,中学,上海市长宁区古羊路900号,021-62754970,上海市,上海市,长宁区
128,扬州市教育学院附属中学,江苏省 扬州市 广陵区,市重点,公办,中学,江苏省扬州市文峰路19号,0514-87825901,江苏省,扬州市,广陵区
129,云浮市云安中学,广东省 云浮市 云安县,省重点,公办,中学,广东省云浮市云安县六都镇白沙塘行政综合区,023-55711213,广东省,云浮市,云安县
130,青岛十六中,山东省 青岛市,省重点,公办,中学,青岛市北区鞍山路5号（近鞍山二路）,（0532）83101052,山东省,青岛市,
131,涿鹿县涿鹿中学,河北省 张家口市 涿鹿县,省重点,公办,中学,河北省张家口市涿鹿县城北环文化街2号,0313－6530076,河北省,张家口市,涿鹿县
132,扬州市新华中学,江苏省 扬州市 ,省重点,公办,中学,江苏省扬州维扬区扬子江中路72号,0514-87861313,江苏省,扬州市,
133,广西百色高级中学,广西 百色市,省重点,公办,中学,城乡路93号,0776-2824142,广西,百色市,
134,库尔勒华山中学,新疆,省重点,公办,中学,新疆库尔勒市建国路3号,0996-2163060,新疆,,
135,宜章第一中学（宜章一中）,湖南省 郴州市,省重点,公办,中学,湖南省宜章县文明北路4号　,0735-3727493,湖南省,郴州市,
136,三明市第一中学（三明一中）,福建省 三明市 三元区,省重点,公办,中学,福建省三明市三元区富兴路12号,0598-8337573,福建省,三明市,三元区
137,上海市市北初级中学,上海市 静安区,区重点,公办,中学,上海市闸北区西藏北路803号,021-56987118,上海市,上海市,静安区
138,江门市沙堆镇独联学校（中学部）,广东省 江门市 新会区,省重点,公办,中学,广东省新会市沙堆镇独联村,0750-6236596,广东省,江门市,新会区
139,黑龙江省实验中学,黑龙江 哈尔滨市,省重点,公办,中学,黑龙江省哈尔滨市南岗区海城街1号,0451-86431159,黑龙江,哈尔滨市,
140,邢台市任县中学,河北省 邢台市 任　县,省重点,公办,中学,河北省邢台市任县育才街,0319-7609229,河北省,邢台市,任　县
141,浙江省绍兴市诸暨中学,浙江省 绍兴市 诸暨市,省重点,公办,中学,浙江省绍兴市诸暨市暨阳路47号,0575-87011543,浙江省,绍兴市,诸暨市
142,韶关市始兴区墨江中学,广东省 韶关市 始兴县,省重点,公办,中学,广东省始兴县兴平路2号,（0751）3333175,广东省,韶关市,始兴县
143,北京161中学,北京市 西城区,市重点,公办,中学,北京市西城区西长安街1号,010-66055627,北京市,北京市,西城区
144,唐山第十中学,河北省 唐山市 路北区,省重点,公办,中学,河北省唐山市路北区山西南里,0315-5262486,河北省,唐山市,路北区
145,宁夏大学附属中学,宁夏 银川市,省重点,公办,中学,宁夏回族自治区银川市怀远东路89号,0951-2075875,宁夏,银川市,
146,江苏省怀仁中学,江苏省 无锡市 锡山区,市重点,公办,中学,江苏省无锡市锡山区东港镇东湖塘东港路88号,0510-88791510  0510-88792920,江苏省,无锡市,锡山区
147,福建省东山第一中学（东山一中）,福建省 漳州市 东山县,省重点,公办,中学,福建省漳州市东山县西埔镇白石街县府路008号,0596-2959839,福建省,漳州市,东山县
148,上海财经大学附属中学,上海市 杨浦区,区重点,公办,中学,上海市杨浦区宁武路151号,021-65435260,上海市,上海市,杨浦区
149,石家庄市第五中学,河北省 石家庄市,省重点,公办,中学,河北省石家庄市水源街109号,0311-87832934,河北省,石家庄市,
150,上海市向明初级中学,上海市 黄浦区,区重点,公办,中学,上海市卢湾区巨鹿路334号,021-62716638,上海市,上海市,黄浦区
151,温州外国语学校,浙江省 温州市 鹿城区,省重点,民办,中学,浙江省温州市学院西路166号,0577-88117367   0577-88117387,浙江省,温州市,鹿城区
152,贵州省思南中学,贵州省 铜仁地区 思南县,省重点,公办,中学,贵州省思南县思唐镇文化街197号,0856-7225114,贵州省,铜仁地区,思南县
153,大连市第二十三中学,辽宁省 大连市 甘井子区,省重点,公办,中学,大连市甘井子区华东路校园街3号,0411-86530806,辽宁省,大连市,甘井子区
154,江苏省锡东高级中学（羊尖高级中学）,江苏省 无锡市 锡山区,省重点,公办,中学,无锡市锡山区羊尖镇育才路1号,0510-88732180,江苏省,无锡市,锡山区
155,成都市树德中学（宁夏街校区）,四川省 成都市 青羊区,省重点,公办,中学,四川成都市宁夏街树德里４号,028-86630297  028-86244633,四川省,成都市,青羊区
156,江西金溪一中,江西省 抚州市,省重点,公办,中学,江西省南昌市抚州市金溪县,0794-5212311,江西省,抚州市,
157,山东师范大学第二附属中学（山师二附中）,山东省 济南市 历下区,市重点,公办,中学,山东省济南市历下区师东新村24号,0531－86180186,山东省,济南市,历下区
158,开封市第一中学（开封一中）,河南省 开封市,省重点,公办,中学,开封市万善街,0378—3972806,河南省,开封市,
159,上海市格致中学,上海市 黄浦区,市重点,公办,中学,上海市黄浦区广西北路66号,021-63615180 021-63510228,上海市,上海市,黄浦区
160,青岛市第十五中学,山东省 青岛市 市北区,省重点,公办,中学,山东省青岛市登州路22号乙,0532-82722107,山东省,青岛市,市北区
161,山东省招远市第一中学（招远一中）,山东省 烟台市,省重点,公办,中学,招远市文化路12号,0535-8163628,山东省,烟台市,
162,合肥科大附中,安徽省 合肥市 包河区,省重点,公办,中学,安徽省合肥市徽州大道1129号,861-0551-63606404,安徽省,合肥市,包河区
163,杭州市保俶塔实验学校初中部,浙江省 杭州市 西湖区,市重点,公办,中学,浙江省杭州市西湖区天目山路81号,0571-85213893,浙江省,杭州市,西湖区
164,福建省闽清县第一中学（闽清一中）,福建省 福州市 闽清县,省重点,公办,中学,福建省福州市闽清城西大路18号,0591-22373315,福建省,福州市,闽清县
165,陕西汉中市勉县一中,陕西省 汉中市 勉　县,省重点,公办,中学,陕西省汉中市勉县武侯镇莲水路3号,0916-3296333    0916-3299916,陕西省,汉中市,勉　县
166,汕头市潮阳第一中学（潮阳一中）,广东省 汕头市 潮阳区,省重点,公办,中学,汕头市潮阳区中山东路,0754-3824801,广东省,汕头市,潮阳区
167,海拉尔第二中学（海拉尔二中）,内蒙古 呼伦贝尔市 海拉尔区,市重点,公办,中学,海拉尔区兴安西路,0472-8323054,内蒙古,呼伦贝尔市,海拉尔区
168,开封高级中学（开封高中）,河南省 开封市,省重点,公办,中学,河南省开封铁路北沿街223号,0378-5951776,河南省,开封市,
169,湛江市吴川市第一中学（吴川一中 ）,广东省 湛江市 吴川市,省重点,公办,中学,广东省湛江市吴川市区,0759-5583032,广东省,湛江市,吴川市
170,深圳市实验学校（高中部）,广东省 深圳市 南山区,省重点,公办,中学,广东省深圳市南山区西丽街道同发路99号,0755-83361223,广东省,深圳市,南山区
171,青海省互助一中,青海省 海东地区 互助土族自治县,省重点,公办,中学,青海省互助县威远镇南街8号,0972-7311010,青海省,海东地区,互助土族自治县
172,杭州市采荷中学（濮家校区）,浙江省 杭州市 江干区,市重点,公办,中学,浙江省杭州江干区秋涛北路天运路1-1号,0571—56300579,浙江省,杭州市,江干区
173,茂名市第十五中北校区,广东省 茂名市 茂南区,省重点,公办,中学,广东省茂名市光华南路文光一街17号大院,0668-2830729,广东省,茂名市,茂南区
174,珠海市斗门区莲洲镇莲溪初级中学,广东省 珠海市 斗门区,省重点,公办,中学,珠海市斗门区莲洲镇莲溪江安路369号,0756-5510681,广东省,珠海市,斗门区
175,长春市十一高中,吉林省 长春市 绿园区,省重点,公办,中学,长春市景阳大路2666号,0431-87624714,吉林省,长春市,绿园区
176,上海协和双语学校（虹桥校区）,上海市 闵行区,市重点,民办,中学,上海市闵行区虹泉路999号,021-51753010  51753011,上海市,上海市,闵行区
177,本溪市高级中学,辽宁省 本溪市 平山区,省重点,公办,中学,辽宁省本溪市平山区东明路91号,0414-3286000,辽宁省,本溪市,平山区
178,佛山市高明区第一中学（高明一中）,广东省 佛山市 高明区,省重点,公办,中学,广东省佛山市高明区荷城街道星河路68号,0757－88630805,广东省,佛山市,高明区
