,地址,电话,网址,城市
北京顺义区牛栏山第二中学,北京市顺义区牛栏山镇京密路牛山段3号,010-69412537,www.shyedu.gov.cn:8080/level3.jsp?id=530,北京
平谷县马坊第二中学,,,,北京
北京铁路第二中学,北京市西城区月坛西街5号,010-68024439,http://www.bjt2z.cn,北京
首都师范大学第二附属中学 ,北京市海淀区增光路50号,010-68429728,http://www.cnu2school.bj...,北京
北京顺义区高丽营第二中学,北京市顺义区高丽营镇张喜庄,010-69491828,,北京
北京顺义区牛栏山第三中学,北京市顺义区牛栏山牛富路2号,01069413751,,北京
北京育才中学,,,,北京
北京外事服务职业高级中学,西城区西直门内大街南小街青年宫对面,010-66188663,,北京
信阳高级中学,,,,北京
农十二师高级中学,,,,北京
钱库高级中学,,,,北京
徐州高级中学,,,,北京
通州高级中学,,,,北京
北京一佳高级中学,,,,北京
北京中央工艺美术学院附属中学 ,东城区东直门外小街胡家园小区23号楼,010-64686672,www.gmfzh.com,北京
清华大学附属中学朝阳学校 ,北京市朝阳区新源街31号,010-64686990,,北京
北京中国人民大学附属中学,北京市海淀区中关村大街37号 100080,(010)62512094,http://www.rdfz.cn,北京
北京中央民族大学附属中学,北京市海淀区法华寺甲5号,010-68938228,http://www.mdfz.com.cn,北京
北京中国地质大学附属中学,北京市海淀区学院路甲31号,010-82310924,http://www.hddzfz.bjedu....,北京
北京赵全营中学,顺义区赵全营镇政府西侧,010-60431128,58.133.182.9,北京
平谷县靠山集中学,,,,北京
平谷县马坊中学,,,,北京
延庆县花盆中学,,,,北京
延庆县清泉铺中学,,,,北京
延庆县黑汉岭中学,,,,北京
延庆沙梁子中学,,,,北京
北京夏村中学 ,北京市房山区石楼镇夏村,010-69324314,,北京
昌平区下庄学校 ,北京市昌平区兴寿镇下庄村东南,010-89726143,,北京
房山区中院中学 ,北京市房山区岳各庄乡下中院村,010-80386342,,北京
北京杨庄中学,,,,北京
北京西城区月坛中学,北京市西城区南礼市路二条1号,010-68045321,http://www.bjytzhx.com,北京
北京西城区宏庙小学,,,,北京
北京精华学校,,,,北京
北京于家务民族中学,,,,北京
通州区运河中学,运河西大街107,010-81523528,,北京
通州区玉桥中学,通州区玉桥南里,010-81588780,,北京
北京华美学校,,,,北京
北京中加学校,,,,北京
北京尹家府中学,,,,北京
首都师范大学附属房山中学,,,,北京
北京太和中学,,,,北京
北京旬邑中学,,,,北京
北京求精中学,,,,北京
闻一多中学,,,,北京
北京张各长中学,,,,北京
平谷县夏各庄联办中学,,,,北京
首都师范大学附属密云中学,,,,北京
延庆县沈家营中学,,,,北京
北京延庆县八达岭中学,北京市延庆县八达岭镇西拨子村北,010-69129508,,北京
北京延庆县太平庄中学,,,,北京
北京逸仙中学,北苑155号,010-60539022 010-69531219,http://www.yixianedu.com,北京
北京首都师范大学附属丽泽中学,,,,北京
地安门中学,,,,北京
北京顺义区十一中学,,,,北京
北京育英学校,高碑店市五四路43号,010-68282370 6827036,http://www.yuying.org.cn...,北京
昌平区亭自庄学校,,,,北京
北京王府学校,,,,北京
北京翔宇中学,北京市东城区安定门外安德路西营房2号,010-84113312,http://www.xiangyu.com,北京
北京陶行知中学,北京市海淀区马甸西路2号,010-62370760,http://www.txzzx.com,北京
北京私立汇才中学,北京市东城区永外大街86号,010-67248120 67213148,http://www.huicai.org,北京
北京育英中学,北京市海淀区万寿路西街14号,010-68270347,http://www.yyzx.org,北京
北京万寿寺中学,北京市海淀区万寿寺北里14号,68726706,http://www.wsszx.com,北京
密云县大城子中学,,,,北京
北京延庆县西屯中学,,,,北京
北京徐悲鸿中学,北京市西城区右内西街甲10号,010-63514505 83536653,http://www.bjxbh.net/sho...,北京
北京太平路中学,北京市海淀区太平路8号,010-68156905,http://www.hdtplzx.bjedu...,北京
延庆县靳家堡中学,,,,北京
首都师范大学附属延庆中学,,,,北京
北京云岗中学,北京市丰台区云岗北区东里1号,010-68740542,http://www.ygzx.ftedu.cn...,北京
顺义区天竺中学,北京市顺义区天竺镇府前一街29号,010-64566163,,北京
北京世纪学校,,,,北京
北京坨里镇上万中学,,,,北京
北京玉渊潭中学,北京市海淀区羊坊店路皇亭子,010-63950313 010-63982111,http://www.hdyytzx.bjedu...,北京
北京樱花园中学,,,,北京
北京赵登禹中学,,,,北京
北京桃洼中学,,,,北京
北京延庆县新华民族中学,,,,北京
北京燕山星城中学,,,,北京
北京张镇中学,,,,北京
北京同仁中学,北京市朝阳区甘露园南里10号,010-85771449,,北京
北京孙村中学,,,,北京
北京朱庄中学,,,,北京
北京时代中学,,,,北京
延庆县旧县中学,,,,北京
密云焦家坞中学,,,,北京
延庆县四海中学,,,,北京
北京延庆县刘斌堡中学,,,,北京
北京私立君谊中学,,,,北京
北京沿河中学,,,,北京
平谷县黄松峪中学,,,,北京
北京文汇中学,,,,北京
北京小务中学,小务村西口555号,010-80551584,,北京
北京新源里职业中学,北京市朝阳区新源街三十一号,010-64673992 010-64674102,,北京
北京知春里中学,海淀区知春东里12号楼,010-62550874 010-82130874,http://www.hdzclzx.bjedu...,北京
北京卫国中学,北京市海淀区复兴路21号,68166309  88272507,,北京
北京中央音乐学院附属中学,丰台区芳群路芳群园一区2号楼（近蒲方路）,010-87680907 010-87684396,,北京
北京延庆县下屯中学,近郊延庆县大榆树镇下屯村北,010-61110625 010-69140749,,北京
大兴区兴华中学,海兴县城西,010-69243798 010-69294840,,北京
北京永定路中学,海淀区金沟河路13号,010-68180760 010-68188316,,北京
北京石窝中学,北京市房山区大石窝镇石窝村,010-61323884 010-69865684,,北京
北京西藏中学,高原街1,,,北京
北京阳坊中学,北京市昌平区阳坊镇西大街18号,,,北京
北京永乐店中学,北京市通州区永乐店镇,010-69568463 010-69568650,http://www.yongzhong.net,北京
北京中滩中学,中国北京市昌平区中滩村北一街,,,北京
北京小汤山中学,北京市昌平区小汤山镇西,010-61781232,,北京
北京小店中学,北京市顺义区杨镇小店村,010-61411023 010-61412881,,北京
北京师范大学附属实验中学 ,北京市西城区二龙路甲14号,010-66036431,http://www.sdsz.com.cn,北京
北京海淀区教师进修学校附属实验学校 ,北京市海淀区八里庄北里20号/北京市海淀区远大路34号,01088116295,http://www.eshttc.cn,北京
北京教育科学研究院附属实验中学 ,北京市朝阳区望京新城428楼,010-64748559,http://www.cyjkyfz.com,北京
北京海淀外国语实验学校,北京市海淀区杏石口路20号,88430704   88459224,http://www.bjfles.com,北京
北京丰台实验学校,北京市丰台区程庄路90号,63826021,http://www.bjfes.com,北京
北京师范大学密云实验中学,,,,北京
北京西城区实验学校,北京市西城区德胜门外六铺炕一巷2号,010-62014512,http://www.bjxcsy.net,北京
北京科迪实验中学 ,海淀区苏家坨镇苏三四村三星庄路,010-62480991 陈老师、刘老师,http://www.bjkedi.com,北京
北京第一七一中学,北京市东城区和平里北街8号(本部) 安外大街兴化路9号（北校）,64212702(本部)  842806,www.171sch.com,北京
北京第一七七中学,北京市东城区安定门外青年湖南街23号,010-84121145,www.bjyqqz.cn,北京
北京第一九六中学,北京市东城区东直门内北小街北官厅11号,010-64042897,www.ezjy.cn/vipcom/bjdyjlzx,北京
北京第一二五中学,北京市东城区崇内大街后沟胡同乙2号,010-65246227,www.bj125z.bj001.net,北京
北京西城区第一六一中学,北京市西城区西长安街1号,010-66054717,www.bj161zhx.org,北京
北京第一四二中学,北京市东城区和平里中街43号,010-64216781,,北京
北京第一五九中学,北京市西城区王府仓胡同23号,010-66039705,www.bj159zx.com,北京
北京第一五四中学,北京市西城区百万庄南街14号,010-68320823,www.bj154zhx.org,北京
北京第一零第九中学,北京市东城区幸福大街43号,(010)67144555,http://www.bj109.com,北京
北京第一六六中学,北京市东城区同福夹道3号     100006,010-65134839,www.bj166z.cn,北京
北京第一六三中学,东中街铜厂子8号,010-64168936,,北京
北京第一一四中学,北京市东城区永外西革新里114号,010-67223113 8722893,,北京
北京第一四零中学,北京市西城区大川淀24号,010-63522647,,北京
北京怀柔区第一职业中学,近郊怀柔区雁栖工业开发区,010-61667352,,北京
北京第一一九中学,北京市朝阳区建国门外永安里10号,010-65681296,http://www.bjd-119.com,北京
北京第一五六中学,北京市西城区太平仓胡同16号,010-66175408,http://bj156.xchedu.cn,北京
北京三里屯第一中学,北京市朝阳区北三里屯,010-64172628 64156006,http://www.sltyz.com,北京
北京丰台区东铁匠营第一中学,北京市丰台区蒲黄榆12巷3号,010-67645147,,北京
北京顺义区牛栏山第一中学,北京市顺义区新城顺安路99号,010-81480901,,北京
北京和平街第一中学,北京市朝阳区北苑家园莲葩圆1号,010-64215780,http://www.phs.bj.cn/ind...,北京
北京丰台区东高地第一中学,,,,北京
北京丰台区右安门第二中学,,,,北京
北京师范大学第二附属中学 ,北京市西城区新街口外大街12号(100088),(010)62042244,http://www.shsbnu.net,北京
北京密云县第二中学,北京市密云县康复路5号,010-69041191-8041,,北京
平谷县东高村第二中学,,,,北京
北京密云县第三中学,,,,北京
北京师范大学第三附属中学,北京市北三环中路甲36号,010-62027296,http://www.hd123z.bjedu....,北京
北京古城高级中学,北京市石景山区古城南路6号,010-68872365,http://www.bjgcxx.cn,北京
北京师范大学附属高级中学,,,,北京
北京师范大学珠海附属高级中学,,,,北京
北京劲松职业高级中学,,,,北京
北京东城区古城职业高级中学,,,,北京
北京潞河中学分校,,,,北京
北京第四中学顺义分校,,,,北京
北京第五十中学分校,,,,北京
北京黄庄职业中学,鲁谷东街29,010-68638293 010-68652190-8049,,北京
北京第五十七中学,北京市海淀区羊坊店北蜂窝中路6号,010-63466177 63269986,http://www.57class.net,北京
北京第五十六中学,西城区文兴街3号（近新大都饭店）,010-88374025 68368028,http://www.bj56zhx.org,北京
北京劲松第四中学,北京市朝阳区华威西里甲48号,010-67779121,http://www.jssz.bjchyedu...,北京
北京第五十中学,北京市东城区夕照寺街13号；北京市东城区天坛东路58号,010-67121822,http://www.bj50.com,北京
北京劲松职业中学,双龙小区135号楼,010-67710311 010-67786615,,北京
平谷县第四中学,,,,北京
北京密云县第六中学,,,,北京
北京第四十七中学,北京市海淀区苏家坨镇环谷园路8号,010-62450147,http://www.bj47.com,北京
北京第四十四中学,北京市西城区三里河南横街1号,010-68552688,http://www.bj44zhx.org,北京
北京教育学院附属中学,北京市西城区新街口四条48号,010-62215653,www.xjfyfzh.org,北京
北京清华大学附属中学,北京市海淀区圆明园东路,010-62789541,,北京
北京师范大学良乡附属中学,,,,北京
北京理工大学附属中学,北京市海淀区西三环紫竹桥西车道沟,(010)68422080,http://www.lgfz.com.cn,北京
北京化工大学附属中学,朝阳区惠新里38号（近对外经贸大学）,010-64936658,http://www.bjhdfz.com,北京
北京农业大学附属中学,北京市海淀区圆明园西路3号,010-62818575,http://www.bjndfz.com,北京
北京工业大学附属中学,北京市朝阳区双井富力城小区工大附中,010-58768366,http://www.bjgdfz.com,北京
北京航空航天大学附属中学 ,北京市海淀区学院路37号,010-82328079,http://www.bhfz.com,北京
北京马坡中学,北京市顺义区马坡中学位于北京市顺义区马坡镇,101301,www.mpzx.shy.bjedu.cn,北京
北京龙湾屯中学,北京市顺义区龙湾屯镇府南路5号,60461319,,北京
北京沙岭中学,,,,北京
北京上地中学 ,北京市海淀区圆明园东路厢白旗甲36号,010-62619108,,北京
顺义区李桥中学,北京市顺义区李桥镇,010-81473876,,北京
北京和平北路学校 ,和平里中街18号（地坛体育中心院内）,010-64265449,,北京
顺义区南法信中学 ,北京市顺义区西海洪村电话：010-69472787,010-69472787,,北京
北京平西府中学 ,北京市昌平区北七家镇平西府村北,010-81786529,,北京
北京门头沟育园中学,北京市门头沟区新桥南大街甲21号,,,北京
北京怀柔庙城中学 ,北京市怀柔区庙城镇庙城村,010-60691447,,北京
通州区潞州中学 ,北京市通州区宋庄镇徐辛庄,01089569796,,北京
北京仁德中学,,,,北京
北京虎城中学,,,,北京
北京海淀区明光中学,北京市海淀区学院南路1号,010-62233058 62217479,http://www.hdmgzx.bjedu....,北京
北京丰台区南顶中学,,,,北京
北京丰台第五小学,,,,北京
北京丰台区王佐中学,,,,北京
通州区潞河中学,通州区新城南关31号（潞河医院斜对面）,010-69541896,,北京
北京木林中学,,,,北京
北京南尚乐中学,,,,北京
北京上苑中学,,,,北京
北京满井中学,,,,北京
北京高崖口中学,,,,北京
北京前锋学校,,,,北京
北京南口铁道北中学,,,,北京
北京怀北中学,,,,北京
北京怀柔区第3小学,,,,北京
北京庙城学校,,,,北京
北京门头沟区新桥路中学,北京市门头沟区新桥大街64号,010-69842618,,北京
密云县新城子中学,,,,北京
北京六一中学,,,,北京
北京丰台区左安门中学,南三环东路7号,,,北京
北京牛堡屯中学,,,,北京
北京葫芦垡中学,,,,北京
北京交道中学,,,,北京
北京东直门中学 ,北京市东直门内北顺城街2号,010-64014988,http://www.dzmzx.com.cn,北京
北京景山学校 ,北京市东城区灯市口大街53号,010-81783411 817834,http://www.bjjsschool.ne...,北京
北京沙河中学,泰清宫大街46号,010-69731742,,北京
北京汇成中学,北京市东城区东直门北大街甲2号,010-84515187,http://site.dcjy.net/sch...,北京
北京立新学校,北京市海淀区阜成路甲3号,010-68351747,http://www.hdlxzx.bjedu....,北京
北京密云县太师庄中学,,,,北京
北京丰盛中学,北京市西城区西廊下胡同65号,010-66171420,,北京
北京海淀区清华园兴起中学,,,,北京
北京门头沟区永定中学 ,北京市门头沟区石龙北路52号电话：010-69804543,010-69804543,,北京
北京力迈学校,,,,北京
北京门头沟区清水中学 ,北京市门头沟区清水镇上清水村电话：010-60855074,010-60855074,,北京
北京阜成路中学,,,,北京
北京门头沟区坡头中学,坡头南街1号,,,北京
北京龙潭中学,北京市东城区板厂南里3号,010-67148924,,北京
北京南召中学,,,,北京
北京密云县不老屯中学,北京市密云县不老屯中学,,,北京
北京密云县新城子中学,,,,北京
北京郎府中学,,,,北京
北京日坛中学,朝阳区建外光华西里4号（近贵友大厦）,010-65072260,http://rtzx.bjchyedu.cn,北京
北京密云县第四中学,,,,北京
北京密云县第五中学,,,,北京
北京延庆县康庄中学,近郊延庆县康庄镇榆林东侧,010-61161203 010-69131203,,北京
北京礼文中学,石景山区老山东里（一线地铁八角游乐园站）,010-88977433,,北京
北京古城中学,,,,北京
北京二龙路中学,北京市西城区大木仓胡同39号,010-66072961,http://www.bjellzhx.org,北京
北京明德中学 ,北京市丰台区骆驼湾37号,010-63408696,,北京
北京和平门中学,北京市西城区南新华街15号,010-63014680-207,,北京
北京门头沟区军庄中学,北京市门头沟区军庄镇军庄中学,010-60811869,,北京
北京密云县塘子中学,,,,北京
北京鲁迅中学,西城区新文化街正45号（近长安街）,010-66035483,http://www.lxzx.org,北京
北京门头沟区潭柘寺中学,,,,北京
北京华夏女子中学,北京市西城区区广安门外红莲中里12号,010-63261984,http://www.hxgs.net,北京
北京门头沟区雁翅中学,,,,北京
北京密云县北庄中学,北京市密云县北庄镇,010-81001727,,北京
北京门头沟区西辛房中学,,,,北京
密云河南寨中学,近郊密云县顺密路河南寨,010-61088688,,北京
北京十一学校,北京市海淀区玉泉路66号,,http://www.bjshiyi.org.cn,北京
北京科兴实验中学,北京市海淀区文慧园北路24号,010-62231952 010-62250350,,北京
北京东城综合中学,东城区地安门东大街127号,010-64043985 010-64079133,,北京
北京红螺寺中学,怀柔区怀柔镇小中富乐一区190号,010-89683814,http://www.hlszx.com,北京
北京钢铁学院附属中学,北京市海淀区志新路36号,010-82380909,http://www.bjgyfz.bjedu.cn,北京
北京第五十五中学,北京市东城区新中街12号,010-64173343,www.bj55.cn,北京
北京马昌营中学,平谷区马昌营镇马昌营村,010-61981679,,北京
北京广渠门中学 ,北京市东城区白桥大街甲1号,010-67126226,http://gqmzx.30edu.com,北京
北京汇文中学,北京市东城区培新街6号,010-67117375,http://www.pka.edu.cn,北京
北京第五十四中学,北京市东城区区和平里六区九号,010-84222813,site.dcjy.net/school/54,北京
北京佳汇中学,石景山区模式口南里,010-88291534 010-88734740,,北京
北京黄村镇狼垡中学,黄村镇狼垡村,010-61222224,,北京
北京三帆中学,北京市西城区德外新风7号,010-62059161,,北京
北京密云水库中学,近郊密云县溪翁庄镇溪翁庄村东,010-69012434 010-69012599,,北京
北京广安中学,宣武区西砖胡同55号,010-63034591 010-63549074,,北京
北京喇叭沟门满族中学,北京市怀柔区喇叭沟门满族乡喇叭沟门村西,010-60623515,,北京
北京航天中学,丰台区万源北路3号,010-67991659 010-88531017,http://www.fthtzx.bjedu....,北京
北京南梨园中学,房山区阎村镇南梨园村,010-89318519,,北京
北京俸伯中学 ,北京市顺义区南彩镇政府东200米路南,010-89477257,,北京
北京垡上中学,大兴区青云店镇垡上村,010-80211947,,北京
北京君谊中学,大兴区香园路4号,010-60258950 010-60259042,,北京
北京电业中学,G107/昊天大街75号,010-69352050 010-69352050-5404,,北京
北京黄松峪中学,黄松峪东大街343号,010-60971702 010-60971708,,北京
北京甘棠中学,通州区武兴路21号,,,北京
北京丰台路中学,丰台区西四环中路103号,010-63812202,,北京
北京师达中学,北京市海淀区闵庄路70号,010-62859660,http://www.bjsdschool.cn,北京
北京丰台区角门中学,北京市丰台区马家堡路122号,,,北京
北京仁和中学,顺义区双河大街17号-23号,010-89493698,,北京
北京渠头中学,通州区九德路,,,北京
北京昌平区实验中学,昌平区城北办事处永安里振兴路子101号(近高科技园区昌平园),010-69744508,,北京
北京房山区实验中学 ,北京市房山区城关大石河兴东大街267号,010-89349823,,北京
北京西城区外国语学校,北京市西城区百万庄大街37号    100037,010-68358185,http://www.xjfls.org/index.aspx,北京
北京朝阳外国语学校 ,北京市朝阳区亚运村慧忠北里203号（高中部）北京市朝阳区亚运村慧忠里232号（初中部）慧忠里206（小学部）,010-64885151,,北京
北京昌平区第一中学,,,,北京
北京怀柔区第一中学,,,,北京
北京第二十五中学,北京市东城区灯市口大街55号,010-65257525,www.bj25schooledu.com.cn,北京
北京第二一四中学,北京市西城区月坛北街18号,010-68522558,www.bj214zx.cn,北京
东城区第二十四中学,北京市东城区东堂子胡同30号,010-85111090,www.bj24.com.cn,北京
北京第二十九中学,,,,北京
北京顺义区第二中学,顺义区石门北街,010-69421643,,北京
北京房山区良乡第二中学,,,,北京
北京怀柔区第二中学,,,,北京
北京平谷区第二中学,,,,北京
北京大兴区第二职业中学,,,,北京
北京昌平区第二中学,,,,北京
北京第二十一中学,北京市东城区交道口北三条57号,010-64043394,http://site.dcjy.net/sch...,北京
北京第二十中学,北京市海淀区清河小营西路11号,01062920533,http://www.bj20zx.com/in...,北京
北京第二十七中学,北京市东城区东华门智德前巷11号,010-65288342,http://www.bj27zx.com,北京
北京第二十二中学,北京市东城区交道口东大街77号,010-64042225,http://www.bj22z.com,北京
北京第三十一中学,北京市西城区西绒线胡同33号,010-66056317,www.bj31.org/default.htm,北京
北京第三十五中学,北京市西城区二龙路小口袋胡同19号,66036682,www.bj35.com,北京
北京顺义区第三中学,,010-69422509,,北京
北京大兴区黄村第三中学,,,,北京
北京昌平区第三中学,,,,北京
北京怀柔区第三中学,,,,北京
北京平谷区第三中学,北京市平谷区文化南街5号,010-69961891,,北京
北京第三十七中学电子技术职业高级中学,,,,北京
北京通州区第三中学,,,,北京
北京第三十中学,,,,北京
北京第三十九中学,北京市西城区西黄城根北街6号,010-66175807,http://www.bj39zhx.org,北京
北京第三十三中学,,,,北京
北京第三十八中学,王府仓胡同25号,010-66021023 010-66021584,,北京
北京诚明高级中学,,,,北京
北京第十五中学分校,,,,北京
北京第二中学通州分校,,,,北京
北京第十五中学,北京市西城区育新街2号,010-63520235,http://www.bj15.cn,北京
北京第十三中学,西城区柳荫街27号     100009,010-64041517,http://www.bj13zhx.com,北京
北京第九中学,北京市石景山区模式口大街16号,010-88736036 88753160,,北京
北京大兴区黄村第七中学,大兴区黄村镇兴丰北大街2段215号,010-69248582,,北京
北京延庆县第四中学,北京市延庆县香苑街10号,010-69171746,,北京
北京第八一中学,北京市海淀区苏州街29号,(010)58839011,http://www.bayims.cn,北京
北京第十中学,北京市丰台区长辛店南关东里1号,010-83876111,http://www.bj10z.com.cn,北京
北京第十四中学,北京市西城区广安门外大街305号,010-63017883,http://www.bj14.com.cn/i...,北京
北京第七中学,北京市西城区安德路69号,010-62006685,http://www.bj7zhx.org,北京
北京东城区第六十五中学,北京市东城区北河沿大街115号,010-65251745,http://www.bj65z.com,北京
北京第十七中学,北京市朝阳区高碑店西店村甲1号,85767123,http://www.bj17z.com,北京
北京第十一中学,北京市东城区金鱼池西区1号,010-67023669,,北京
北京第六十三中学,北京市西城区白广路33号,010-63540870,,北京
北京第六十七中学,北京市海淀区厢红旗东门外甲3号,010-62876377,http://www.67zx.cn,北京
北京第六十六中学,北京市西城区枣林前街111号（东）、西城区广安门外红居南街4号（西）,010-63541344-841,http://www.bj66zx.com,北京
密云第三中学,,,,北京
北京延庆第二中学,,,,北京
延庆县第三中学,,,,北京
北京延庆第一中学,三清观29号,010-69188660,,北京
北京第六十二中学,北京市西城区太平街西巷4号,010-63530367,,北京
北京通州区第六中学,,,,北京
北京丰台第七中学,北京市丰台区新村四里3号,010-63736870,,北京
北京第十八中学,,,http://www.bj18.net,北京
北京第十九中学,北京市海淀区万泉河路83号,010-82518546,http://www.bj19zx.cn,北京
北京顺义区第四中学,近郊顺义区光明南街2号,010-69446143,,北京
北京第九十中学,,,,北京
北京第九十四中学,北京市朝阳区花家地北里十九楼,010-64734825,http://www.bj94zhong.cn,北京
北京第十二中学,"No.15,YiZe Road,FengTai ...",010-83824113,http://www.bj12hs.com.cn...,北京
北京第九十六中学,北京市东城区崇文门西小街3号,010-65121991,,北京
延庆县第六中学,,,,北京
通州区北苑学校 ,北京市通州区北苑南路22号,(010)69542948,,北京
北京北小营中学 ,北京市顺义区北小营镇府西路一号,010-60483730,,北京
北京第161中学,,,,北京
北京朝阳区呼家楼中学,北京市朝阳区呼家楼西里南街2号,010-65071942,http://www.hjlzx.com,北京
北京顺义区第十中学,,,,北京
北京顺义区第八中学,北京市顺义区光明北街18号电话：010-69429480,010-69429480,,北京
北京仇家店中学,,,,北京
北京顺义区第九中学,北京市顺义区仁和镇河南村北,010-89498802,,北京
北京房山区房山第五中学,,,,北京
北京大兴区黄村第四中学,,,,北京
北京大兴红星中学,,,,北京
北京大兴区黄村第五中学,,,,北京
北京大兴区黄村第六中学,,,,北京
北京昌平区十三陵中学,,,,北京
北京昌平区第六中学,,,,北京
北京长陵中学,,,,北京
北京茶坞铁路中学,,,,北京
门头沟区大峪中学,近郊门头沟区滨河德露苑18号,,,北京
延庆县第八中学,,,,北京
北京延庆县第五中学,北京市延庆县第五中学,010-81198943,,北京
北京第22中学,,,,北京
北京通州区第四中学,北京市通州区新华大街北侧,010-69522231,,北京
北京大兴区黄村第八中学,,,,北京
北京陈经纶中学,朝阳区朝阳门外大街38号（东大桥蓝岛大厦南侧）,010-85611621,http://www.bjcjl.net,北京
北京昌平区第五中学,,,,北京
北京海淀区翠微中学,北京市海淀区翠微路1号,010-68273011,http://www.cwzx.org,北京
北京平谷区第六中学,,,,北京
北京平谷区第四中学,,,,北京
北京大华山中学,,,,北京
北京创新园中学,,,,北京
北京垂杨柳中学,朝阳区松榆里20号楼（近京体游泳馆）,010-67303941,http://www.chylzhx.org,北京
北京晨曦中学,,,,北京
北京大成学校,北京市丰台区青塔小区c区,010-68671697,,北京
北京延庆县第七中学,,,,北京
北京大东流中学,大东流村109号,010-61711480,,北京
北京陈庄中学,,,,北京
北京房山区第二职业中学,房山区京深路,010-69391470 010-69391471,,北京
北京第十四中学分校,宣武区老墙根65号,,,北京
北京大学附属中学,北京市海淀区海淀黄庄大泥湾路,010-62555594,http://www.pkuschool.edu.cn,北京
北京第八十中学,北京市朝阳区平房乡平房村1861号,010-64783366 010-65921329,http://www.bj80.com,北京
北京第九十二中学,东城区安乐林路14号,010-67222143 010-67222280,,北京
