网页id,学校名称,省份,城市,区县,办学类型,办学性质,官方地址,官方网址,官方电话,电子邮箱,创建时间,占地面积(亩),隶属于,学校地址,学历证书,电子简章,国家级示范学校,国家级重点学校,省级示范学校,省级重点学校,市级重点学校,省级高水平中等职业学校,市级示范学校,其他可补充字段,职业
11,安徽明珠学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.mzedu.net,0551-63851255,--,1998,65,--,合肥市经开区耕云路17号,--,--,,,,,,,,,"{'电子商务类': ['电子商务'], '表演艺术类': ['舞蹈表演'], '文化服务类': ['社会文化艺术'], '公共服务类': ['老年人服务与管理']}"
12,安徽生物工程学校,安徽,合肥市,庐阳区,中等专业学校,公办,安徽合肥市庐阳区,--,0551-65146430,--,1986,--,安徽省农业农村厅,安徽省合肥市农科南路48号,--,--,,,,,,,,,"{'农业类': ['农产品贮藏与加工'], '畜牧业类': ['宠物养护与经营', '畜禽生产技术'], '渔业类': ['淡水养殖'], '自动化类': ['机电技术应用'], '电子信息类': ['物联网技术应用'], '计算机类': ['计算机应用'], '中医药类': ['中药制药'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理']}"
13,安徽省淮北卫生学校,安徽,淮北市,濉溪县,中等专业学校,公办,安徽淮北市濉溪县,http://www.hbwx.ah.cn,0561-6062754,hbwxzsb@126.com,1958,130,--,安徽省淮北市濉溪县濉河中路,--,--,,是,,,,,,,"{'食品类': ['食品加工工艺'], '药品与医疗器械类': ['医疗器械维修与营销'], '护理类': ['护理'], '药学类': ['药剂'], '中医药类': ['中药', '中医康复技术'], '医学技术类': ['医学影像技术', '医学检验技术', '口腔修复工艺'], '康复治疗类': ['康复技术']}"
14,安徽省淮南卫生学校,安徽,淮南市,田家庵区,中等专业学校,公办,安徽淮南市田家庵区,http://www.ahhnwx.com.cn,0554-3311793,--,1958,192,安徽省卫生厅,淮南市田家庵区国庆东路1号,--,--,,是,,,,,,,"{'护理类': ['护理'], '药学类': ['药剂'], '医学技术类': ['医学影像技术', '医学检验技术', '口腔修复工艺'], '康复治疗类': ['康复技术'], '健康管理与促进类': ['婴幼儿托育'], '眼视光类': ['眼视光与配镜']}"
15,安徽省霍邱师范学校,安徽,六安市,霍邱县,中等专业学校,公办,安徽六安市霍邱县,http://www.ahhqsf.cn/,0564-6070312,--,--,--,--,安徽省霍邱县城关镇烈士塔东,--,,,,,,,,,,{'教育类': ['幼儿保育']}
16,安徽省马鞍山工业学校,安徽,马鞍山市,雨山区,中等专业学校,公办,安徽马鞍山市雨山区,http://www.masgyxx.com,0555-3105020,--,1991,112,马鞍山市教育局,马鞍山市雨山区向山镇西山村88号,--,--,是,是,,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械制造技术', '模具制造技术', '数控技术应用'], '机电设备类': ['智能设备运行与维护'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '水上运输类': ['港口机械运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子信息技术'], '计算机类': ['计算机应用', '数字媒体技术应用']}"
17,安徽省桐城中华职业学校,安徽,安庆市,桐城市,中等专业学校,民办,安徽安庆市桐城市,http://www.ahtczhzx.com/,0556-6187508,--,1993,108,--,安庆市桐城市龙眠街道同康路18号,--,--,,,是,,,,,,"{'自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '计算机类': ['计算机平面设计', '计算机应用'], '财务会计类': ['会计事务'], '艺术设计类': ['首饰设计与制作'], '文化服务类': ['社会文化艺术'], '教育类': ['幼儿保育'], '公共服务类': ['智慧健康养老服务']}"
18,安徽天柱山旅游学校,安徽,安庆市,潜山县,中等专业学校,公办,安徽安庆市潜山县,http://tzslvyou.com,0556-8932039,--,1984,307,--,安徽省潜山市区舒州大道399号 ,--,--,,是,,,,,,,"{'林业类': ['园林技术'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '药品与医疗器械类': ['制药技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '护理类': ['护理'], '财务会计类': ['会计事务'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育']}"
19,安徽新华学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.xhschool.cn/,0551-65872033,--,1997,--,--,合肥市望江西路555号,--,--,,是,,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '自动化类': ['工业机器人技术应用', '机电技术应用'], '航空装备类': ['无人机操控与维护'], '汽车制造类': ['新能源汽车制造与检测'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['电子信息技术']}"
20,安徽兴鹏科技学校,安徽,合肥市,蜀山区,中等专业学校,民办,安徽合肥市蜀山区,http://www.ahxpxy.com,0551-64281666,--,1988,--,--,合肥市新站高新区东方大道2399号,--,--,,,是,,,,,,"{'土建施工类': ['建筑工程施工'], '机械设计制造类': ['数控技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '文化服务类': ['社会文化艺术']}"
21,安徽玉成汽车职业学校,安徽,铜陵市,郊区,中等专业学校,民办,安徽铜陵市郊区,http://www.ahycqcedu.com/,0562-2621028,--,2008,320,--,铜陵市郊区横港滨江大道南段1259号,--,--,,,,,,,,,"{'林业类': ['园林技术'], '土建施工类': ['建筑工程施工'], '机械设计制造类': ['机械加工技术'], '汽车制造类': ['汽车制造与检测'], '道路运输类': ['汽车美容与装潢', '汽车服务与营销', '汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['跨境电子商务'], '旅游类': ['旅游服务与管理']}"
22,安庆大别山科技学校,安徽,安庆市,岳西县,中等专业学校,公办,安徽安庆市岳西县,http://www.ahyxzj.com,0556-2172982,--,2007,251,--,安庆市岳西县天堂西路58号,--,--,,,是,,,,,,"{'农业类': ['茶叶生产与加工', '作物生产技术'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '餐饮类': ['中餐烹饪'], '文化服务类': ['社会文化艺术'], '文秘类': ['文秘']}"
23,安庆工业学校,安徽,安庆市,宜秀区,中等专业学校,公办,安徽安庆市宜秀区,http://www.aqgyedu.com,0556-5055955,aqgyxx@163.com,1962,134,安庆市教育体育局,安庆市宜秀区集贤北路394号,--,--,是,是,,,,,,,"{'机械设计制造类': ['数控技术应用'], '计算机类': ['计算机应用', '计算机网络技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '文化服务类': ['社会文化艺术'], '教育类': ['幼儿保育'], '文秘类': ['文秘']}"
24,安庆立人中等专业学校,安徽,安庆市,望江县,中等专业学校,民办,安徽安庆市望江县,http://www.aqliren.cn/,0556-7171477,--,2007,104,--,安庆市望江县华阳镇望江县职教中心,--,--,,,是,,,,,,"{'畜牧业类': ['畜禽生产技术'], '自动化类': ['机电技术应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '公共事业类': ['社区公共事务管理']}"
25,安庆皖江中等专业学校,安徽,安庆市,望江县,中等专业学校,民办,安徽安庆市望江县,http://www.ahwjxx.com,0556-7183957,wjzx7181488@163.com,2005,125,--,安庆市望江县华阳镇翠岭街1号,--,--,,,是,,,,,,"{'林业类': ['园林技术'], '自动化类': ['机电技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '物流类': ['物流服务与管理'], '旅游类': ['旅游服务与管理'], '文化服务类': ['社会文化艺术'], '教育类': ['幼儿保育']}"
26,蚌埠商贸学校,安徽,蚌埠市,淮上区,中等专业学校,公办,安徽蚌埠市淮上区,http://www.ahbbsmxx.cn,0552-3733908,--,1978,--,蚌埠市教育局,蚌埠市淮上区双墩路1199号（蚌埠职教园),--,--,,,,,,,,,"{'铁道运输类': ['铁道运输服务(高铁乘务)'], '计算机类': ['计算机应用', '计算机与数码设备维修'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '物流类': ['物流服务与管理'], '旅游类': ['高星级饭店运营与管理', '旅游服务与管理'], '餐饮类': ['中餐烹饪', '西餐烹饪'], '艺术设计类': ['美发与形象设计', '数字影像技术'], '文化服务类': ['文物保护技术'], '教育类': ['幼儿保育(幼师)']}"
27,池州江南工业学校,安徽,池州市,贵池区,中等专业学校,民办,安徽池州市贵池区,--,--,--,2017,70,--,江南产业集中区池州大道与龙腾大道交叉口,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '计算机类': ['计算机网络技术'], '电子商务类': ['电子商务'], '文化服务类': ['社会文化艺术']}"
28,池州生态经济学校,安徽,池州市,石台县,中等专业学校,公办,安徽池州市石台县,http://www.stzjzx.com,0566-6027484,--,--,80,--,安徽省池州市石台县仁里镇滨河大道1号,--,--,,,是,,,,,,"{'农业类': ['农村电气技术', '作物生产技术', '农资营销与服务'], '畜牧业类': ['特种动物养殖'], '机械设计制造类': ['机械加工技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '文秘类': ['文秘']}"
29,池州市旅游学校,安徽,池州市,青阳县,中等专业学校,公办,安徽池州市青阳县,http://www.ahqyzj.com,0566-5030691,--,--,120,--,池州市青阳县蓉城镇庙前路432号,--,--,,,是,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子电器应用与维修', '电子技术应用'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '教育类': ['幼儿保育']}"
30,滁州市旅游商贸学校,安徽,滁州市,琅琊区,中等专业学校,公办,安徽滁州市琅琊区,http://www.czezg.cn,0550-2181837,ahczsdegjzyzx@163.com,1983,150,滁州市南谯区教育体育局,滁州市凤阳北路338号,--,--,,,是,,,,,,"{'林业类': ['园林技术'], '机械设计制造类': ['机械加工技术'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '铁道运输类': ['铁道运输服务'], '计算机类': ['计算机应用', '计算机平面设计'], '财务会计类': ['会计事务'], '工商管理类': ['客户信息服务'], '电子商务类': ['电子商务', '直播电商服务'], '物流类': ['物流服务与管理'], '旅游类': ['旅游服务与管理', '高星级饭店运营与管理']}"
31,滁州市应用技术学校,安徽,滁州市,全椒县,中等专业学校,公办,安徽滁州市全椒县,http://www.czsyyjsxx.cn,0550-5013595,--,1986,300,--,安徽省滁州市全椒县城大石潭路999号,--,--,,,是,,,,,,"{'农业类': ['作物生产技术'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '电子信息类': ['电子电器应用与维修'], '计算机类': ['计算机应用', '计算机网络技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '物流类': ['物流服务与管理'], '旅游类': ['旅游服务与管理']}"
32,砀山县铁路中等专业学校,安徽,宿州市,砀山县,中等专业学校,民办,安徽宿州市砀山县,https://www.dstlzz.com,0557-8888011,dstlzz@163.com,,,--,--,--,,,,,,,,,,"{'农业类': ['作物生产技术'], '畜牧业类': ['畜禽生产技术'], '自动化类': ['机电技术应用'], '生物技术类': ['生物化工技术应用'], '纺织服装类': ['服装制作与生产管理'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用', '物联网技术应用'], '计算机类': ['计算机应用', '计算机网络技术'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务']}"
33,阜阳工商贸易学校,安徽,阜阳市,颍州区,中等专业学校,民办,安徽阜阳市颍州区,http://www.gsmyxx.cn/,0558-2225008,--,1994,--,--,阜阳市颍州区卜子东路617号,--,--,,,是,,,,,,"{'林业类': ['园林技术'], '机械设计制造类': ['数控技术应用'], '自动化类': ['工业机器人技术应用', '机电技术应用'], '道路运输类': ['新能源汽车运用与维修', '汽车美容与装潢', '汽车运用与维修'], '计算机类': ['计算机应用'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '文化服务类': ['社会文化艺术'], '广播影视类': ['动漫与游戏制作']}"
34,阜阳计算机学校,安徽,阜阳市,颍州区,中等专业学校,民办,安徽阜阳市颍州区,http://www.fyjsjxx.cn/,0558-2330777,--,1996,70,--,阜阳市颍州区颍西街道清河西路569号,--,--,,,是,,,,,,"{'土建施工类': ['建筑工程施工'], '航空装备类': ['无人机操控与维护'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机与数码设备维修', '计算机平面设计', '计算机应用', '计算机网络技术'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '文化服务类': ['社会文化艺术'], '体育类': ['运动训练'], '公共服务类': ['老年人服务与管理']}"
35,阜阳科技工程学校,安徽,阜阳市,界首市,中等专业学校,公办,安徽阜阳市界首市,http://fykjgcxx.com/,0558-4812660,--,,,--,--,--,,,,是,,,,,,{}
36,阜阳农业学校,安徽,阜阳市,颍泉区,中等专业学校,公办,安徽阜阳市颍泉区,http://www.fynx.net.cn/,0558-2616164,gsmlzyy@163.com,,,--,--,--,,,是,,,,,,,{}
37,阜阳市医药管理学校,安徽,阜阳市,颍州区,中等专业学校,公办,安徽阜阳市颍州区,http://fyyyxx.com,--,fyyyxxedu@126.com,,,--,--,--,,,,,,,,,,{}
38,阜阳市医药科技工程学校,安徽,阜阳市,太和县,中等专业学校,公办,安徽阜阳市太和县,http://www.thyzg.org.cn/,0558-8186636,--,,,--,--,--,,,,是,,,,,,{}
39,阜阳乡镇企业中专学校,安徽,阜阳市,颍州区,中等专业学校,民办,安徽阜阳市颍州区,http://www.fyxqxx.com,0558-2567219,--,,,--,--,--,,,,,,,,,,{}
40,固镇县职业技术学校,安徽,蚌埠市,固镇县,中等专业学校,公办,安徽蚌埠市固镇县,--,--,--,--,--,--,安徽省蚌埠市固镇县谷城路附近,--,--,,,,,,,,,"{'农业类': ['作物生产技术', '农机设备应用与维修'], '机械设计制造类': ['焊接技术应用', '数控技术应用'], '自动化类': ['机电技术应用'], '船舶与海洋工程装备类': ['船体修造技术'], '纺织服装类': ['服装设计与工艺'], '铁道运输类': ['铁道运输服务'], '道路运输类': ['汽车运用与维修'], '电子信息类': ['电子技术应用'], '计算机类': ['网站建设与管理', '计算机应用'], '财务会计类': ['会计事务']}"
41,合肥八一科技学校,安徽,合肥市,肥西县,中等专业学校,民办,安徽合肥市肥西县,http://www.hfbykj.com/,0551-65393955,byzx8888@yeah.net,--,--,--,合肥市肥西县官亭镇金桥街道,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '汽车制造类': ['新能源汽车制造与检测'], '粮食类': ['粮油储运与检验技术'], '道路运输类': ['新能源汽车运用与维修', '汽车运用与维修'], '计算机类': ['计算机应用'], '工商管理类': ['客户信息服务'], '电子商务类': ['电子商务'], '物流类': ['物流服务与管理'], '旅游类': ['旅游服务与管理']}"
42,合肥飞跃学校,安徽,合肥市,庐阳区,中等专业学校,民办,安徽合肥市庐阳区,http://www.hffyxx.cn/,0551-65226966,--,1986,--,--,安徽省合肥市庐阳区阜阳北路1305号阜阳北路与连水路交叉口西南角,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '汽车制造类': ['汽车制造与检测'], '航空运输类': ['航空服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['客户信息服务'], '电子商务类': ['电子商务'], '旅游类': ['高星级饭店运营与管理'], '文化服务类': ['社会文化艺术']}"
43,合肥工业经济学校,安徽,合肥市,包河区,中等专业学校,公办,安徽合肥市包河区,http://hfgyjj.com/,0551-63365958,--,--,--,--,合肥市包河区包河大道228号,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '纺织服装类': ['服装设计与工艺'], '道路运输类': ['汽车运用与维修'], '城市轨道交通类': ['城市轨道交通运营服务'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '文化服务类': ['社会文化艺术']}"
44,合肥理工学校,安徽,合肥市,肥东县,中等专业学校,民办,安徽合肥市肥东县,http://www.hflg.cc/page/12170/show,0551-67799399,--,2006,305,--,合肥市肥东县双桥村331省道北,--,--,,,,,,,,,{}
45,合肥汽车机械技术学校,安徽,合肥市,长丰县,中等专业学校,公办,安徽合肥市长丰县,https://www.hfqx.net/index.php/index/index,0551-62721940,--,,,--,--,--,,,,是,是,,,,,"{'农业类': ['农机设备应用与维修', '作物生产技术'], '畜牧业类': ['畜禽生产技术'], '机械设计制造类': ['机械制造技术', '数控技术应用'], '汽车制造类': ['新能源汽车制造与检测', '汽车制造与检测'], '航空运输类': ['航空服务'], '城市轨道交通类': ['城市轨道交通运营服务'], '电子信息类': ['物联网技术应用'], '计算机类': ['移动应用技术与服务', '计算机平面设计', '计算机应用'], '电子商务类': ['电子商务'], '文化服务类': ['社会文化艺术']}"
46,合肥市工程技术学校,安徽,合肥市,巢湖市,中等专业学校,公办,安徽合肥市巢湖市,http://www.hfgcxx.com/index.htm,0551-82363189,--,2018,122,--,合肥市巢湖市半汤路15号,--,--,,是,是,,,,,,"{'林业类': ['园林绿化'], '土建施工类': ['建筑工程施工'], '建设工程管理类': ['建筑工程造价'], '机械设计制造类': ['数控技术应用', '机械制造技术'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用'], '财务会计类': ['会计事务'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理']}"
47,合肥市经贸旅游学校,安徽,合肥市,瑶海区,中等专业学校,公办,安徽合肥市瑶海区,https://www.hfsjmlyxx.com,0551-65972830,--,,,--,--,--,,,,,,,,,,"{'新能源发电工程类': ['光伏工程技术与应用'], '房地产类': ['物业服务'], '机械设计制造类': ['数控技术应用', '增材制造技术应用'], '机电设备类': ['制冷和空调设备运行与维护'], '自动化类': ['工业机器人技术应用', '机电技术应用'], '汽车制造类': ['汽车制造与检测', '汽车电子技术应用'], '铁道运输类': ['铁道运输服务'], '道路运输类': ['新能源汽车运用与维修', '汽车服务与营销'], '航空运输类': ['航空服务'], '电子信息类': ['电子技术应用']}"
48,合肥市通用技术学校,安徽,合肥市,肥东县,中等专业学校,公办,安徽合肥市肥东县,--,0551-67711889,--,--,--,--,合肥市肥东县店埠镇撮镇路95号,--,--,,是,是,,,,,,{}
49,怀远县中等职业技术学校,安徽,蚌埠市,怀远县,中等专业学校,公办,安徽蚌埠市怀远县,http://www.hyzyxx.cn,0552-2227100,hyzzxx2020@163.com,,,--,--,--,,,,,,,,,,"{'农业类': ['农机设备应用与维修', '作物生产技术'], '畜牧业类': ['畜禽生产技术'], '建筑设计类': ['建筑装饰技术'], '机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用', '工业机器人技术应用'], '航空装备类': ['无人机操控与维护'], '汽车制造类': ['汽车电子技术应用'], '生物技术类': ['生物化工技术应用'], '化工技术类': ['化学工艺'], '铁道运输类': ['高速铁路乘务']}"
50,淮北市树人中等专业学校,安徽,淮北市,杜集区,中等专业学校,民办,安徽淮北市杜集区,http://zz.srschool.net/,0561-3190690,--,1998,160,--,淮北市杜集区光明路与开渠中路交叉路口往东约180米,--,--,,,,,,,,,"{'艺术设计类': ['绘画'], '体育类': ['运动训练']}"
51,淮南市精锐科技学校,安徽,淮南市,田家庵区,中等专业学校,民办,安徽淮南市田家庵区,http://www.jrkjedu.cn/,0554-6807968,--,--,60,--,淮南市田家庵区国庆西路99号,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '自动化类': ['机电技术应用'], '道路运输类': ['汽车运用与维修'], '计算机类': ['计算机应用', '数字媒体技术应用', '网络安防系统安装与维护'], '通信类': ['通信运营服务'], '健康管理与促进类': ['婴幼儿托育'], '财务会计类': ['会计事务'], '工商管理类': ['市场营销'], '电子商务类': ['电子商务', '直播电商服务'], '艺术设计类': ['绘画']}"
52,,,,,,,--,--,--,--,,,--,--,--,,,,,,,,,,{}
53,黄山市当代职业学校,安徽,黄山市,屯溪区,中等专业学校,民办,安徽黄山市屯溪区,--,--,--,1996,15,--,黄山市屯溪区高枧街65号,--,--,,,,,,,,,"{'航空运输类': ['航空服务'], '电子商务类': ['电子商务']}"
54,黄山炎培职业学校,安徽,黄山市,屯溪区,中等专业学校,公办,安徽黄山市屯溪区,http://hsypzx.hsedu.cn,0559-2577990,--,2016,113,--,黄山市屯溪区戴震路93号,--,--,,,,,,,,,"{'机械设计制造类': ['数控技术应用'], '汽车制造类': ['汽车制造与检测'], '航空运输类': ['航空服务'], '计算机类': ['计算机平面设计', '计算机应用'], '护理类': ['护理'], '健康管理与促进类': ['营养与保健'], '电子商务类': ['电子商务'], '旅游类': ['旅游服务与管理'], '广播影视类': ['播音与主持']}"
