学校名称,属性,性质,类型,学校地址,联系电话,省级位置,地级位置,县级位置,官网
本溪市高级中学,省重点,公办,中学,辽宁省本溪市平山区东明路91号,0414-3286000,辽宁省,本溪市,平山区,https://jyj.benxi.gov.cn/bxsgjzx/
襄阳市第五中学,省重点,公办,中学,湖北省襄阳市高新区邓城大道66号,0710-3530727,湖北省,襄阳市,襄州区,http://www.xf5z.com
天津市南开中学,全国重点,公办,中学,天津市南开区南开四马路22号,022—27483391,天津市,天津市,南开区,
华南师范大学附属中学,全国重点,民办,中学,广东省广州市天河区中山大道西1号,020-38630561 38630511,广东省,广州市,天河区,http://www.hsfz.net.cn/homepage/index.jsp
湖南长沙市第一中学,省重点,公办,中学,湖南省长沙市开福区清水塘路53号,（0731）82774885,湖南省,长沙市,开福区,http://www.hnfms.com.cn/
天津市杨村第一中学,市重点,公办,中学,天津市武清新城南东路282号,022－59689168  82171242,天津市,天津市,武清区,
衡水市第二中学,省重点,公办,中学,河北省衡水市问津北街98号/衡水市新华西路256号,0318-2135271 2817707,河北省,衡水市,,http://www.hsez.net/
北京市第一七一中学,普通,公办,中学,北京市东城区和平里北街8号,010-64279121,北京市,北京市,东城区,http://www.171sch.com/
浙江省温州中学,省重点,公办,中学,浙江省温州市瓯海区梧田大道2号,0577-86760802　,浙江省,温州市,瓯海区,http://www.wzms.com/
北京市第八十中学,区重点,公办,中学,北京市朝阳区望京北路甲16号,010-58047000-7009（校长）010-58047000-7023（教学处）,北京市,北京市,朝阳区,http://www.bj80.com/
北京市第十二中学,普通,公办,中学,北京市丰台区益泽路15号,（010）63807904,北京市,北京市,丰台区,http://www.bj12hs.com.cn/
西北师范大学附属中学,省重点,公办,中学,甘肃省兰州市安宁区十里店南街21号,（0931）7752517,甘肃省,兰州市,安宁区,http://www.nwnusch.cn/
北京市第十三中学,市重点,公办,中学,北京市第十三中学坐落在西城区柳荫街27号,010 - 6185970,北京市,北京市,西城区,http://www.bj13zhx.com/
景山学校,市重点,公办,中学,北京市东城区灯市口大街53号,010-65252555,北京市,北京市,东城区,http://jscy.bjchyedu.cn/
襄阳市第四中学,省重点,公办,中学,湖北省襄阳市襄城东街26号,0710-3511057（校办） 0710-3553666（招办）,湖北省,襄阳市,襄州区,www.xf4hs.com
北京市八一中学,市重点,公办,中学,北京市海淀区苏州街29号,010-62566896,北京市,北京市,海淀区,https://byxx.bjhdedu.cn/
汇文中学,市重点,公办,中学,北京市东城区培新街6号,010-67117375,北京市,北京市,东城区,http://www.huiwen.edu.cn/
北京师范大学附属中学,省重点,公办,中学,北京市西城区南新华街18号,010-63014680-207,北京市,北京市,西城区,https://www.bjsdfz.com/
吉林大学附属中学,省重点,公办,中学,吉林省长春市南关区解放大路3059号,0431-88499352,吉林省,长春市,,http://fszx.jlu.edu.cn/
交通大学附属中学,普通,公办,中学,上海市宝山区殷高路42号,021-65911010,上海市,上海市,宝山区,https://fz.sjtu.edu.cn/
哈尔滨市第三中学,省重点,公办,中学,黑龙江省哈尔滨市南岗区果戈里大街415号,0451-53636578,黑龙江,哈尔滨市,南岗区,
福州第一中学,省重点,公办,中学,福建省福州市东街附近,0591-87551426,福建省,福州市,鼓楼区,http://www.fzyz.net/#/
北京市一六一中学,市重点,公办,中学,北京市西城区西长安街1号,010-66054717,北京市,北京市,西城区,http://www.bj161zhx.cn/
乐成公立寄宿学校,市重点,公办,中学,浙江省温州市乐清市城南街道朋岙村,0577-27882222 27886111 27886101,浙江省,温州市,乐清市,
云南师范大学附属中学,省重点,公办,中学,云南省昆明市高新开发区洪源路36号,0871-68312226  0871-68313609,云南省,昆明市,,https://www.ynsdfz.net/
合肥市第一中学,省重点,公办,中学,安徽省合肥市滨湖新区西藏路2356号,0551-2911006 180-9663-1182,安徽省,合肥市,包河区,http://www.hfyz.net/
辽宁省实验中学,省重点,公办,中学,辽宁省沈阳市皇姑区黄河南大街 89 号/于洪区西江北街117号（北校）,024-86233600  024-89293107,辽宁省,沈阳市,皇姑区,http://www.lnsyzx.com/Index.html
牛栏山一中,市重点,公办,中学,北京市顺义区顺安路99号,010 - 81480932,北京市,北京市,顺义区,http://www.nlsyz.com.cn/
武汉外国语学校,全国重点,公办,中学,武汉市经济技术开发区龙阳大道太子湖1号,027 - 84897315 85764750,湖北省,武汉市,江汉区,http://www.wfls.com.cn/
宁夏银川一中,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区,http://www.ycyz.com.cn/index.jsp
福建省厦门双十中学,省重点,公办,中学,福建省厦门市镇海路33号/厦门市湖里区枋湖路789,0592-2117888,福建省,厦门市,思明区,http://www.sszx.cn/
乌鲁木齐市第一中学,省重点,公办,中学,新疆乌鲁木齐市健康路一巷9号,9912826965,新疆,乌鲁木齐市,天山区,
成都外国语学校,省重点,民办,中学,成都市高新西区百草路东段35号,028-87820768、87822188,四川省,成都市,高新区,http://www.cfls.net.cn/
福建省厦门第一中学,省重点,公办,中学,福建省厦门市思明区文园路93号,0592-2021908,福建省,厦门市,思明区,https://xmyz.xmedu.cn/index.html
北京市第十五中学,市重点,公办,中学,北京市西城区育新街2号,010-63520235,北京市,北京市,西城区,
广渠门中学,区重点,公办,中学,北京市白桥大街甲1号,010-67183773,北京市,北京市,东城区,
延安中学,市重点,公办,中学,上海市长宁区茅台路1111号,021-62901188,上海市,上海市,长宁区,http://shyahs.chneic.sh.cn/WebSite.Net/
大庆实验中学,省重点,公办,中学,大庆市高新技术产业开发园区秀水路6号,0459—8156179,黑龙江,大庆市,,
宝坻区第一中学,市重点,公办,中学,天津市宝坻区海滨街北城路东段1号,022-29228996,天津市,天津市,宝坻区,
贵阳市第一中学,省重点,公办,中学,贵州省贵阳市金阳新区兴筑东路1号,0851-7986565,贵州省,贵阳市,乌当区,https://www.gyyz.com.cn/
天津市静海县第一中学,市重点,公办,中学,天津市静海县地纬路中段,022-68600800,天津市,天津市,静海区,
新疆生产建设兵团第二中学,省重点,公办,中学,新疆乌鲁木齐市五星南路376号,0991-2633933  0991-2630704,新疆,乌鲁木齐市,,
海南中学,普通,公办,中学,上海市虹口区百官街1号,63242016,上海市,上海市,虹口区,https://www.haizhong.edu.cn/web/pages/page/index.jsp
曲靖第一中学,省重点,公办,中学,云南省曲靖市麒麟区内环东路86号,0874-3122416,云南省,曲靖市,麒麟区,
呼和浩特市第二中学,省重点,公办,中学,内蒙古呼和浩特市呼伦南路1号,0471-6920044,内蒙古,呼和浩特市,,
汕头市金山中学,省重点,公办,中学,广东省汕头市石海关顶,0754-87374368,广东省,汕头市,濠江区,https://www.stjszx.net/
广东广雅中学,省重点,公办,中学,广东省广州市荔湾区西湾路1号,020-81261232,广东省,广州市,荔湾区,http://www.gyzx.edu.cn/
广州市执信中学,省重点,公办,中学,广州市越秀区执信南路152号,020-87778382,广东省,广州市,越秀区,http://www.zhxhs.net/
汕头市潮阳实验学校,省重点,民办,中学,广东省汕头市潮阳区棉北街道城北四路东段,0754-88726528 88722222,广东省,汕头市,潮阳区,https://www.cysy.com.cn/
郑州市第一中学,省重点,公办,中学,郑州市中原西路182号,0371-67882208,河南省,郑州市,中原区,http://www.zzyz.com.cn/
河南省实验中学,省重点,公办,中学,河南省郑州市金水区农业路10号（河南博物院西200米）,0371-63943667,河南省,郑州市,金水区,http://syzx.haedu.gov.cn/
邯郸县第一高级中学,市重点,公办,中学,河北省邯郸市邯郸县雪驰路96号,0310-8015396,河北省,邯郸市,邯郸县,
南阳市第一中学,省重点,公办,中学,河南省南阳市建设东路1366号,0377-63035139,河南省,南阳市,,http://www.nyyz.ha.cn/
河南省开封高级中学,省重点,公办,中学,河南省开封铁路北沿街223号,0378-5951776,河南省,开封市,,http://www.kaigao.com/?S=uu6kpbsvnaq
安阳市第一中学,省重点,公办,中学,河南省安阳市文明大道327号,0372-2988976,河南省,安阳市,,http://www.ayyz.cn/
林州市第一中学,省重点,公办,中学,河南省安阳市林州市龙山路中路35号,0372-6811510,河南省,安阳市,林州市,http://www.lzsdyzx.cn/
河南师范大学附属中学,省重点,公办,中学,河南省新乡市建设路164号,0373-3383049,河南省,新乡市,,http://www.hnsdfz.cn/main.htm
河南省信阳高级中学,省重点,公办,中学,河南省信阳市浉河区文化街6号,0376-6682186,河南省,信阳市,狮河区,http://www.xygz.com.cn/
天津市杨村一中,市重点,公办,中学,天津市武清新城南东路282号,022－59689168  82171242,天津市,天津市,武清区,
天津市新华中学,全国重点,公办,中学,天津市河西区马场道99号,022-23288278,天津市,天津市,河西区,http://xhzx.tj.edu.cn/
天津市第四中学,市重点,公办,中学,天津市河西区隆昌路11号,022-28323157,天津市,天津市,河西区,
天津市第十二中学,,,,常德道58号,,天津市,天津市,,
天津市宝坻区第一中学,市重点,公办,中学,天津市宝坻区海滨街北城路东段1号,022-29228996,天津市,天津市,宝坻区,
天津市静海区第一中学,市重点,公办,中学,天津市静海县地纬路中段,022-68600800,天津市,天津市,静海区,
曲靖市第一中学,省重点,公办,中学,云南省曲靖市麒麟区内环东路86号,0874-3122416,云南省,曲靖市,麒麟区,
昆明市第一中学,省重点,公办,中学,云南省昆明市五华区西昌路233号,0871-5325970 15887078301,云南省,昆明市,五华区,
玉溪市第一中学,省重点,公办,中学,云南省玉溪市太极路21号,0877-2024003  0877-8882095,云南省,玉溪市,,
昆明市第三中学,省重点,公办,中学,云南昆明市书林街131号,（0871）3103131,云南省,昆明市,,https://www.kmsz.net/#/
大理市下关第一中学,省重点,公办,中学,云南省大理市下关龙溪路69号,0872—2121847,云南省,大理,大理市,
昭通市第一中学,省重点,公办,中学,云南省昭通市昭阳区学生路181号,0870-2168019,云南省,昭通市,昭阳区,
腾冲市第一中学,省重点,公办,中学,云南省腾冲县腾越镇山源社区沙家巷小区1号,0875-5131137,云南省,保山市,腾冲县,
云天化中学,省重点,民办,中学,云南省昭通市水富县,0870-8667010,云南省,昭通市,水富县,
临沧市第一中学,省重点,公办,中学,云南省临沧市灵山路1号,0883-2123988,云南省,临沧市,,http://www.lcyzh.com/
重庆市第八中学,市重点,公办,中学,重庆市沙坪坝区小龙坎正街96号,023-61703000,重庆市,重庆市,沙坪坝区,https://cqbz.cn/
西南大学附属中学,市重点,公办,中学,重庆市北碚区杜家街43号,023-68356002,重庆市,重庆市,北碚区,https://cqbz.cn/
重庆市育才中学校,市重点,公办,中学,重庆市九龙坡区谢家湾正街92号,023-68822468 023-86051188,重庆市,重庆市,九龙坡区,http://www.cqyc.com
重庆市第十一中学校,市重点,公办,中学,重庆市南岸区弹子石,023-62511889,重庆市,重庆市,南岸区,http://www.cqsyz.com/
江苏省天一中学,省重点,公办,中学,江苏省无锡锡山区东亭二泉中路18号,0510-88223001,江苏省,无锡市,锡山区,http://www.tyzx.com.cn/
江苏省常州高级中学,省重点,公办,中学,江苏省常州市罗汉路8号,0519-88111202,江苏省,常州市,,http://www.scz.czedu.cn/
江苏省海门中学,省重点,公办,中学,江苏省海门市海门镇育才路1号,0513-82212218,江苏省,南通市,海门市,http://www.jsshmzx.com/
无锡市大桥实验学校,市重点,民办,中学,江苏省无锡市学前街38号/江苏无锡菱湖大道和具区路交界口,0510-82758311,江苏省,无锡市,滨湖区,https://www.daqiao.org.cn/
南京市金陵中学,省重点,公办,中学,江苏省南京市鼓楼区中山路169号,025-84786227  025-84786296,江苏省,南京市,鼓楼区,http://www.jlhs.net/index2.jsp
江苏省淮阴中学,省重点,公办,中学,江苏省淮安市解放东路99号,0517-83518888,江苏省,淮安市,淮阴区,http://www.huaizhong.com.cn/
江苏省海安高级中学,省重点,公办,中学,江苏海安市新华东路1号,0513-88826048,江苏省,南通市,海安县,http://www.hazx.org.cn/
江西师范大学附属中学,省重点,公办,中学,江西省南昌市青山湖区北京西路194号,0791-8507088,江西省,南昌市,青山湖区,http://www.jxsdfz.com/
临川市第一中学,省重点,公办,中学,江西省抚州市临川区上顿渡镇建设路205号,0794-8441447   0794-8430071,江西省,抚州市,临川区,http://www.lcyz.net/
南昌市第二中学,普通,公办,中学,南昌市苏圃路1号,,江西省,南昌市,南昌县,http://2z.nceduc.cn/
临川第二中学,省重点,公办,中学,江西省抚州临川区上顿渡镇龙津路67号,0794-8441448,江西省,抚州市,临川区,http://www.lcez.com.cn/
九江市第一中学,省重点,公办,中学,江西省九江市滨湖路1号,0792-8238623,江西省,九江市,九江县,http://www.jjyz.cn/
南昌县莲塘一中,省重点,公办,中学,江西省南昌县莲塘镇澄湖西路1566号,0791-5715981,江西省,南昌市,南昌县,http://www.ncxltyz.cn/
吉安市第一中学,省重点,公办,中学,江西省吉安市吉州区沿江路97-1号,0796---8263254,江西省,吉安市,吉州区,
江西省鹰潭市第一中学,省重点,公办,中学,江西省鹰潭市胜利西路8号,0701-6221343  0701—6289277,江西省,鹰潭市,,https://www.ytsyz.com.cn/
余江区第一中学,省重点,私立,中学,江西省鹰潭市余江县白塔路,0701-5885968,江西省,鹰潭市,余江县,http://www.jxyjyz.com/
新余市第一中学,普通,公办,中学,江西省新余市沿江路358号,0790-6660011/0790-6660039,江西省,新余市,,
成都市石室中学,省重点,公办,中学,四川省成都市青羊区文庙前街93号,028-86119108 028-86139976,四川省,成都市,青羊区,https://www.cdshishi.net/
四川省绵阳中学,省重点,公办,中学,四川省绵阳市剑门路西段26号,0816-2366440,四川省,绵阳市,涪城区,http://www.scmyzx.com.cn/pcweb/index.htm
成都市树德中学,省重点,公办,中学,成都市宁夏街树德里４号,028-86697520,四川省,成都市,青羊区,http://www.sdzx.net/
成都市外国语学校,省重点,民办,中学,成都市高新西区百草路东段35号,028-87820768、87822188,四川省,成都市,高新区,http://www.cfls.net.cn/
四川省绵阳南山中学,省重点,公办,中学,四川省绵阳市南塔路3号,0816-2862314,四川省,绵阳市,,http://www.scmyns.com/
绵阳东辰国际学校,市重点,民办,中学,四川省绵阳市科创园区,0816-2324410,四川省,绵阳市,,http://www.mydcis.net/
成都实验外国语学校,市重点,民办,中学,成都市羊犀线高新西区百草路,028-87855781  028-87857591,四川省,成都市,温江区,http://www.cefls.cn/
四川省南充高级中学,省重点,公办,中学,四川省南充市涪江路27号,0817-2224270,四川省,南充市,,http://www.scncgz.net/
绵阳中学实验学校,市重点,公办,中学,四川省绵阳市园艺山教育园区,0816-8119666 / 8119777,四川省,绵阳市,涪城区,http://www.myzxsx.com/
银川市第一中学,省重点,公办,中学,宁夏银川市兴庆区民族南街656号,0951－4102908  0951-4104858,宁夏,银川市,兴庆区,http://www.ycyz.com.cn/index.jsp
银川市第二中学,省重点,公办,中学,宁夏回族自治区银川市兴庆区中山北街英才巷151号,18209510188,宁夏,银川市,兴庆区,http://www.nxyc2z.com/site/yinchuanindex/index.html
六盘山高级中学,省重点,公办,中学,宁夏银川市金凤区长城中路423号,0951-751861051,宁夏,银川市,金凤区,http://www.nxlpsgz.com/
固原市第一中学,市重点,公办,中学,宁夏固原市文化街8号,0954-7285516,宁夏,固原市,,
石嘴山市第三中学,市重点,公办,中学,宁夏石嘴山市大武口区台湾北路199号,0952-5815333,宁夏,石嘴山市,大武口区,https://sz.nxeduyun.com/
吴忠高级中学,省重点,公办,中学,"宁夏吴忠市市区文卫街中段与朝阳街交 	      宁夏吴忠市利通区明珠西路439号 汇处","0953—2121561 	      0953-2039855",宁夏,吴忠市,,
银川唐徕回民中学,省重点,公办,中学,宁夏回族自治区银川市兴庆区,"0951-6085027,0951-5045303",宁夏,银川市,兴庆区,http://www.tanglai.com/
宁夏平罗中学,省重点,公办,中学,宁夏回族自治区石嘴山市平罗县团结西路185,0952-6093109,宁夏,石嘴山市,平罗县,
中卫市第一中学,市重点,公办,中学,宁夏中卫市沙坡头区中央大道,0955-7012582,宁夏,中卫市,,http://www.nxzw.gov.cn/zwgk/bmxxgkml/sjyj/fdzdgknr_49236/gkxx_49237/zsdw_49240/202107/t20210726_2941403.html
石嘴山市第一中学,,,,,,宁夏,石嘴山市,,
华东师范大学第二附属中学,市重点,公办,中学,上海市浦东新区张江镇晨晖路555号（近地铁二号线张江高科站）,021-50801890,上海市,上海市,浦东新区,http://www.hsefz.cn/
武汉市汉铁高级中学,省重点,公办,中学,湖北省武汉市江岸区后湖大道341号,（027）82354585,湖北省,武汉市,江岸区,
武汉市育才高级中学,市重点,公办,中学,武汉市蔡家田小区阳电里44号,027-82624996,湖北省,武汉市,江岸区,
武汉市第一中学,省重点,公办,中学,武汉市江汉区红旗渠路特1号,027-85626682 65691217,湖北省,武汉市,江汉区,http://www.whyz.cn/
武汉市第十二中学,市重点,公办,中学,武汉市江汉区航空小路15号,（027）83613972、83633082、83633180,湖北省,武汉市,江汉区,
宜昌市一中,省重点,公办,中学,宜昌市西陵二路4号,0717-6774074,湖北省,宜昌市,西陵区,https://www.ycyz.com/
湖北省荆州中学,省重点,公办,中学,湖北省荆州市荆州区人民路,（0716）8495766,湖北省,荆州市,荆州区,http://www.hbjzzx.com/
湖北省黄冈中学,全国重点,公办,中学,湖北黄冈开发区明珠大道,0713-8838888,湖北省,黄冈市,黄州区,http://www.hbshgzx.com/
襄阳市致远中学,市重点,公办,中学,襄阳市襄城区,0710-3230592 3230258,湖北省,襄阳市,襄州区,
湖北省天门中学,省重点,公办,中学,湖北省天门市竟陵元春街52号,0728-5338111,湖北省,湖北直辖,天门市,
大连市育明高级中学,省重点,公办,中学,辽宁省大连市沙河口区杨树街70号,0411-84759193  0411-84759866 0411-8475,辽宁省,大连市,沙河口区,http://www.dlymgz.cn/index.do;jsessionid=499CB689DD56442E319C4D8BC05ADB0F
鞍山市第一中学,省重点,公办,中学,辽宁省鞍山市高新区鞍千路300号,0412-5227777,辽宁省,鞍山市,,http://www.asyzonline.com/
盘锦市高级中学,省重点,公办,中学,辽宁省盘锦市兴隆台区科技大街,0427-2216222,辽宁省,盘锦市,,
辽河油田第一高级中学,省重点,公办,中学,辽宁省盘锦市兴隆台区,0427-2884403   0427-2885424,辽宁省,盘锦市,,
阜新市实验中学,省重点,公办,中学,辽宁省阜新市中华路95号,0418-6519437  0418-6519467,辽宁省,阜新市,,
丹东市第二中学,,,,丹东市振兴区兴三路141号,0415-5123672,辽宁省,丹东,,
抚顺市第二中学,,,,抚顺市新抚区公园五路14号,0413-2422008,辽宁省,抚顺,,http://fs2z.com/
锦州市锦州中学,,,,辽宁省锦州市凌海市南海路,,辽宁省,锦州,,
乌鲁木齐八一中学,省重点,公办,中学,乌鲁木齐市青年路15号,0991-8844839 8835514 8873444,新疆,乌鲁木齐市,天山区,
新疆哈密地区第二中学,省重点,公办,中学,新疆哈密地区哈密市爱国南路5号,0902-2258614,新疆,哈密地区,哈密市,
新疆兵团农二师华山中学,,,,,,新疆,,,
乌鲁木齐市第八中学,省重点,公办,中学,乌鲁木齐市东风路125号,0991-2616907,新疆,乌鲁木齐市,,
乌鲁木齐市第七十中学,省重点,公办,中学,新疆乌鲁木齐新市区南纬一路54号,（0991）3696357,新疆,乌鲁木齐市,新市区,
新疆师范大学附属中学,市重点,公办,中学,乌鲁木齐市银川路107号,0991-4332282,新疆,乌鲁木齐市,,https://fz.xjnu.edu.cn/
新疆实验中学,省重点,公办,中学,新疆乌鲁木齐延安路65号,0991-2879212,新疆,乌鲁木齐市,,
石河子市第一中学,市重点,公办,中学,新疆维吾尔族自治区石河子市12小区北四路159号,0993-2037304,新疆,,,
东营市胜利第一中学,市重点,公办,中学,山东东营市济南路55、66号,0546-8232013,山东省,东营市,,http://www.sldyzx.cn/
济南市历城第二中学,省重点,公办,中学,山东省济南市历城区董家843号,0531－88722886,山东省,济南市,历城区,https://www.lcez.cn/
山东省青岛第五十八中学,省重点,公办,中学,青岛市李沧区九水路20号,0532-87895410,山东省,青岛市,李沧区,http://www.qd58.qdedu.net/Portal
东营市第一中学,省重点,公办,中学,山东省东营市东营区新区新泰路17号,0546-8261775,山东省,东营市,东营区,http://www.dyyz.net/f/index.html
日照第一中学,省重点,公办,中学,山东省日照市东港区日照北路30号,0633-8222086,山东省,日照市,东港区,
宁波市镇海中学,省重点,公办,中学,浙江省宁波市镇海区鼓楼东路32号,0574-86272378,浙江省,宁波市,镇海区,
慈溪中学,省重点,公办,中学,浙江省慈溪市浒山镇环城北路110号,0574-63023049,浙江省,宁波市,慈溪市,https://www.cxms.net/
乐青市知临中学,省重点,民办,中学,浙江省乐清市城南街道朋岙村,0577-27882222,浙江省,温州市,乐清市,
杭州高级中学,省重点,公办,中学,浙江省杭州市下城区凤起路238号,0571-85155827 / 85155951 / 85179872,浙江省,杭州市,下城区,http://www.hanggao.net/
浙江省诸暨中学,普通,公办,中学,诸暨市暨阳路47号,0575—87011543   邮编：311800地址：诸暨市暨阳路47号,浙江省,绍兴市,诸暨市,
绍兴市第一中学,省重点,公办,中学,浙江省绍兴市胜利西路1199号,0575-85173853,浙江省,绍兴市,,http://www.sxyz.net/
吉林省实验中学,省重点,公办,中学,吉林省长春市人民大街6465号,0431-85376541,吉林省,长春市,朝阳区,http://www.jlssyzx.cn/
长春外国语学校,省重点,公办,中学,吉林省长春市红旗街1946号,0431-85936780,吉林省,长春市,,http://www.ccfls.cn/
吉林市第一中学,省重点,公办,中学,吉林省吉林市船营区松江西路155号,0432-64826007,吉林省,吉林市,船营区,http://www.jlyz.com.cn/XJ_PRO/index.aspx
辽源市第五中学,,,,,,吉林省,辽源市,,
通化市第一中学,,,,,,吉林省,通化市,,
长白市第二中学,,,,,,吉林省,长白市,,
吉林油田高级中学,省重点,公办,中学,吉林省松原市锦江大街1608号,0438—622446,吉林省,松原市,宁江区,
松原市实验高中,省重点,公办,中学,吉林省松原市宁江区长宁南街358号,0438—5082988,吉林省,松原市,宁江区,
京北师范大学长白山实验中学,,,,,,吉林省,,,
唐山市第一中学,省重点,公办,中学,河北省唐山市路南区友谊路2号,0315-2595128,河北省,唐山市,路北区,http://www.ts-edu.net.cn/
河北正定中学,省重点,公办,中学,河北省正定县正定镇府西街80号,0311--8022837,河北省,石家庄市,正定县,http://www.zhengzhong.cn/
河北武邑中学,省重点,公办,中学,河北省衡水市武邑县城新区宏达路1号,0318--5738058,河北省,衡水市,武邑县,http://www.hbwyzx.cn/
河北翼州中学,,,,,,河北省,,,
邯郸市第一中学,省重点,公办,中学,河北省邯郸市丛台路21号,0310--3122208,河北省,邯郸市,丛台区,
石家庄外国语学校,普通,民办,中学,河北省石家庄市鹿泉区山前大道66号,,河北省,石家庄市,鹿泉市,http://www.sjzfls.com/
南宁市第二中学,省重点,公办,中学,广西南宁市新民路29号,0771--2804263,广西,南宁市,西乡塘区,http://www.nnez.cn/s/loading/
南宁市第三中学,省重点,公办,中学,广西南宁市青秀区青山路5号,0771--5311268,广西,南宁市,青秀区,http://www.nnsz.com/
南宁市武鸣区武鸣高级中学,市重点,公办,中学,广西南宁市武鸣县灵水路6号,0771-6226071,广西,南宁市,武鸣县,
柳州高级中学,市重点,公办,中学,东台路44号,0772-2822557,广西,柳州市,,http://www.lzgz.net.cn/
柳州市第一中学,省重点,公办,中学,广西柳州市城站路391号,0772--3953677,广西,柳州市,柳南区,http://www.lzsyz.cn/
桂林市桂林中学,省重点,公办,中学,解放西路58号,0773--2825101,广西,桂林市,,https://glzx.gxeduyun.edu.cn/
桂林市第十八中学,省重点,公办,中学,广西桂林市横塘路17号,0773-5865365,广西,柳州市,,
