数据源名称,来源,地区,内容说明,网址
辽宁省高中名单一览,买购网,辽宁省,辽宁省高中排行，辽宁省各城市高中名单,https://www.maigoo.com/news/487178.html
新疆十大高中排行榜,买购网,新疆维吾尔自治区,新疆十大高中排行榜,https://www.maigoo.com/top/402683.html
山东十大高中排行榜,买购网,山东省,山东十大高中排行榜,https://www.maigoo.com/top/402700.html
浙江十大高中排行榜,买购网,浙江省,浙江十大高中排行榜,https://www.maigoo.com/top/400730.html
吉林省重点高中名单一览,买购网,吉林省,吉林省各城市重点高中名单,https://www.maigoo.com/news/487183.html
河北十大高中排行榜,买购网,河北省,河北十大高中排行榜,https://www.maigoo.com/top/402601.html
广西示范性普通高中名单,广西壮族自治区教育厅,广西壮族自治区,广西各城市示范性普通高中名单（不含市级重点高中），数据截至2022年8月5日,https://www.maigoo.com/news/486952.html
甘肃十大高中排行榜,买购网,甘肃省,甘肃十大高中排行榜,https://www.maigoo.com/top/400320.html
贵州十大高中排行榜,买购网,贵州省,贵州十大高中排行榜,https://www.maigoo.com/top/402694.html
贵州省高中名单一览,买购网,贵州省,贵州省各城市高中名单一览,https://www.maigoo.com/news/486975.html
山西十大高中排行榜,买购网,山西省,山西十大高中排行榜,https://www.maigoo.com/top/402699.html
黑龙江省高中名单,买购网,黑龙江省,黑龙江十大高中排行榜，黑龙江各城市高中名单,https://www.maigoo.com/news/487160.html
安徽省高中名单,买购网,安徽省,安徽省十大高中排行榜，安徽省各城市重点高中名单,https://www.maigoo.com/news/487824.html
北京市高中名单一览,买购网,北京市,北京十大高中榜单，北京市完全中学名单，北京市高级中学名单，北京市十二年一贯制学校名单,https://www.maigoo.com/news/479460.html
全国各省市地区重点高中前十排名,郁金香,全国,全国各省市地区重点高中前十排名,https://www.yjxdezx.com/b/183089.html
内蒙古重点高中名单及排名,高职招生网,内蒙古自治区,内蒙古重点高中名单及排名,https://www.52souxue.com/plus/view.php?aid=170557
2020青海十大高中排行榜,高职招生网,青海省,2020青海十大高中排行榜,https://www.52souxue.com/plus/view.php?aid=287098
2022年西藏最好的十大高中排名,考试信息网,西藏自治区,2022年西藏最好的十大高中排名,https://m.gdlsgz.com/jiaoyuzixun/zkzx/284500.html
